split,threshold,candidate_rows,candidate_days,trades_executed,start_budget_usd,end_budget_usd,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,median_trade_ret_pct,avg_holding_days,target_hit_rate_pct
test,0.05780417989877422,569,213,216,10000.0,12529.163013971565,25.29163013971565,16.508118728959452,-28.27760843985734,49.53703703703704,0.4012227904319527,0.0,4.091145833333333,14.351851851851851
test,0.05974219081320654,455,192,174,10000.0,11953.39245416524,19.533924541652393,12.877908139124528,-26.27980558422446,50.57471264367817,0.43214084513271034,0.04703480772040303,4.031728927203065,16.666666666666664
test,0.0639782046308528,337,166,125,10000.0,10754.312925791697,7.543129257916981,5.119521148678263,-24.3023989696329,48.8,0.2914704883333834,0.0,3.6806666666666663,20.8
test,0.0683423461471943,261,141,99,10000.0,11164.3140786319,11.643140786319005,8.592659897025822,-19.471197942002117,50.505050505050505,0.4536266572313456,0.06330038467157184,3.711910774410774,24.242424242424242
test,0.07650983249207965,200,117,85,10000.0,11137.40591436477,11.374059143647708,8.593355719775332,-19.41690951242714,51.76470588235295,0.480596424071381,0.3824091778202643,3.567156862745098,25.882352941176475
test,0.08911307330993715,146,89,57,10000.0,10941.835914696983,9.418359146969824,7.131021287078987,-17.503409483577283,52.63157894736842,0.6784546227617866,0.41977611940298143,3.5526315789473686,31.57894736842105
test,0.10355673262259815,113,72,45,10000.0,10973.97824285515,9.739782428551491,7.371777504665222,-14.401429517419295,57.77777777777777,0.9146177722885792,0.9404388714733702,3.387037037037038,35.55555555555556
test,0.11631536746410098,97,65,40,10000.0,10784.317336994936,7.843173369949374,5.948744927874783,-14.570104290241071,55.00000000000001,0.8536131278754961,1.1374792222135555,3.371875,37.5
test,0.13393644617052508,73,52,33,10000.0,10746.033345583406,7.460333455834056,5.660788866701227,-8.370009441899517,54.54545454545454,0.9633938480433284,0.9404388714733702,3.500631313131313,36.36363636363637
test,0.1459087614410223,63,45,26,10000.0,10435.156044251089,4.351560442510882,3.400382467099461,-8.37000944189954,50.0,0.7570924600291066,0.536711483604807,3.670673076923076,38.46153846153847
test,0.159691572388751,57,40,22,10000.0,10247.015959432207,2.4701595943220633,1.9638706639167225,-7.9009433962264115,54.54545454545454,0.5461829517843916,1.4780705972876729,3.9166666666666656,36.36363636363637
test,0.1889748917299272,53,39,21,10000.0,10326.45019167587,3.264501916758711,2.824312766812098,-7.9009433962264115,57.14285714285714,0.7187118102942711,1.621621621621605,3.9950396825396814,38.095238095238095
test,0.21962051863135099,38,27,18,10000.0,10762.292331890709,7.622923318907082,6.576639582444455,-7.900943396226423,61.111111111111114,1.789700766343523,3.1512259338489335,4.049768518518518,38.88888888888889
test,0.2738987312561397,19,15,12,10000.0,11347.73420082458,13.477342008245795,11.58536178169507,-7.9999999999999964,75.0,4.459745801816635,7.780299762650577,2.8020833333333335,58.333333333333336
test,0.3190312178857911,12,10,7,10000.0,11406.073418304044,14.060734183040434,18.15757612139155,-1.046423135464225,85.71428571428571,7.675461698823271,6.288416075650116,2.7916666666666665,57.14285714285714
test,0.46816322398361154,2,2,1,10000.0,10086.206896551725,0.8620689655172376,184.2912161777518,0.0,100.0,3.4482758620689724,3.4482758620689724,3.0,0.0
validation,0.05780417989877422,725,225,264,10000.0,10115.980503130533,1.1598050313053276,0.988295650029003,-19.04558817495896,48.10606060606061,0.03941196509595013,0.0,4.193102904040404,14.772727272727273
validation,0.05974219081320654,580,211,213,10000.0,9966.75533459081,-0.3324466540918891,-0.2835955031942894,-19.68592324018322,46.009389671361504,-0.08611362257209793,-0.15071590052749828,4.127543035993741,17.370892018779344
validation,0.0639782046308528,435,182,165,10000.0,9100.511102514427,-8.99488897485573,-7.723867298136932,-23.8490235409346,48.484848484848484,-0.060557083030820046,0.0,3.8671717171717166,21.818181818181817
validation,0.0683423461471943,363,172,140,10000.0,9658.541958303049,-3.414580416969515,-2.919527479634032,-17.129477889662482,45.714285714285715,-0.17392459386223597,-0.3089743589743621,3.7279761904761903,25.71428571428571
validation,0.07650983249207965,290,148,110,10000.0,10145.547800976996,1.4554780097699505,1.2428978448499217,-13.963379693168608,44.54545454545455,-0.16874734658603074,-0.7873318183863554,3.639015151515151,29.09090909090909
validation,0.08911307330993715,218,127,89,10000.0,9401.201924008039,-5.987980759919608,-5.1650986600028865,-16.891190270465863,42.69662921348314,-0.18084166316485356,-0.9900990099009799,3.4435861423220975,28.08988764044944
validation,0.10355673262259815,145,98,66,10000.0,10465.700790495066,4.65700790495065,3.9868145679577527,-12.473082407957303,50.0,0.36178928306861885,0.2336448598130758,3.277462121212121,34.84848484848485
validation,0.11631536746410098,116,82,59,10000.0,10954.455082281784,9.544550822817843,8.28595138356607,-12.473082407957282,55.932203389830505,0.7059125388031784,0.5589519650655017,3.3089689265536726,33.89830508474576
validation,0.13393644617052508,87,64,44,10000.0,10262.30610138327,2.623061013832695,2.2867817035602256,-12.47308240795727,47.72727272727273,0.3498634784849261,-0.05549389567147678,3.234848484848485,34.090909090909086
validation,0.1459087614410223,73,54,35,10000.0,10466.36316849625,4.663631684962488,4.0606218499272595,-12.606414357357544,57.14285714285714,0.6474988718162552,0.5589519650655017,3.0226190476190475,37.142857142857146
validation,0.159691572388751,58,43,28,10000.0,9944.959262779577,-0.5504073722042313,-0.5236015541231542,-12.606414357357565,53.57142857142857,0.059880345160727204,0.4706116844576336,3.168154761904762,28.57142857142857
validation,0.1889748917299272,44,33,22,10000.0,9917.42839844733,-0.8257160155267007,-0.8330966549670138,-13.303321658428413,54.54545454545454,0.021280738677231105,0.5999452261134408,3.2348484848484844,27.27272727272727
validation,0.21962051863135099,29,21,16,10000.0,10380.016959326522,3.8001695932652124,4.552496867711731,-10.449370462097496,62.5,1.149831919139599,1.570303285944119,2.6471354166666665,37.5
validation,0.2738987312561397,15,10,6,10000.0,10091.891735615241,0.9189173561524155,1.097815871332286,-4.1666666666666625,66.66666666666666,0.7420961828997612,1.5375460026622823,3.2118055555555554,33.33333333333333
validation,0.3190312178857911,8,7,4,10000.0,9892.575403828592,-1.074245961714082,-1.3328410870283802,-5.014684801813507,50.0,-0.9030835397950305,-1.7697769776977732,3.317708333333333,25.0
validation,0.46816322398361154,2,2,1,10000.0,9583.333333333334,-4.1666666666666625,-97.37263706755938,-4.1666666666666625,0.0,-16.666666666666664,-16.666666666666664,4.270833333333333,0.0
