ticker,candidate_id,lot_id,status,entry_trade_day,opened_at,due_exit_at,signal_score,estimated_decile_score,entry_fill_qty,entry_fill_count,prev_close_day,prev_close,buy_day_open,overnight_gap_pct,entry_avg_price,outcome_day,outcome_basis,outcome_close,actual_return_pct,current_mark_return_pct,realized_return_pct,last_mark_price
ABTC,ABTC|2026-03-03|2026-03-08 14:52:23,lot_f28208eac75146c0,closed,2026-03-09,2026-03-09T13:32:20+00:00,2026-03-11T09:30:00-04:00,1.6363958610902496,0.9825156656686638,144,1,2026-03-06,1.09,1.11,1.8348623853211121,1.1,2026-03-11,tplus2_close,1.137,3.3636363636363464,4.545454545454519,4.805505050505029,1.15
ABTC,ABTC|2026-03-05|2026-03-09 10:52:46,lot_aeb22c2b3ef344e7,closed,2026-03-09,2026-03-09T13:32:25+00:00,2026-03-11T09:30:00-04:00,1.0845158303992788,0.9561323904905108,123,1,2026-03-06,1.09,1.11,1.8348623853211121,1.1,2026-03-11,tplus2_close,1.137,3.3636363636363464,4.545454545454519,4.697719881744256,1.15
AIRS,AIRS|2026-03-03|2026-03-08 14:52:23,lot_44964d9fe8ba41e6,closed,2026-03-09,2026-03-09T13:34:08+00:00,2026-03-11T09:30:00-04:00,1.51128651793098,0.979277147628608,74,1,2026-03-06,2.09,2.12,1.435406698564612,2.09,2026-03-11,tplus2_close,2.1,0.4784688995215447,-7.655502392344493,-8.311412129833187,1.93
ENTX,ENTX|2026-03-05|2026-03-09 12:52:45,lot_a6e9bf69359e45c8,closed,2026-03-09,2026-03-09T13:33:17+00:00,2026-03-11T09:30:00-04:00,1.067694934499056,0.954631646673076,95,1,2026-03-06,1.25,1.3,4.0000000000000036,1.38,2026-03-11,tplus2_close,1.56,13.043478260869579,7.246376811594213,5.744832189168583,1.48
EOSE,EOSE|2026-03-02|2026-03-08 14:52:23,lot_46060d61c7b544b6,closed,2026-03-09,2026-03-09T13:32:21+00:00,2026-03-11T09:30:00-04:00,1.3608479724365072,0.9731835613599336,24,1,2026-03-06,6.13,6.05,-1.3050570962479635,6.04,2026-03-11,tplus2_close,6.605,9.35430463576159,5.3807947019867575,5.267190949227383,6.365
EOSE,EOSE|2026-03-04|2026-03-08 14:52:23,lot_d65bdc36e8cb4f88,closed,2026-03-09,2026-03-09T13:32:29+00:00,2026-03-11T09:30:00-04:00,0.9098323397058944,0.9372079768282944,19,1,2026-03-06,6.13,6.05,-1.3050570962479635,6.04,2026-03-11,tplus2_close,6.605,9.35430463576159,5.3807947019867575,5.582341408156136,6.365
FBLG,FBLG|2026-03-02|2026-03-08 14:52:23,lot_49c96d28975c44fd,closed,2026-03-09,2026-03-09T13:32:19+00:00,2026-03-11T09:30:00-04:00,1.9069251149727489,0.9876402909465058,362,1,2026-03-06,0.435,0.457,5.057471264367819,0.45,2026-03-11,tplus2_close,0.376451,-16.34422222222223,-12.333333333333329,-13.487777777777785,0.3945
FBLG,FBLG|2026-03-02|2026-03-08 14:52:23,lot_b5fd04910cec4473,closed,2026-03-09,2026-03-09T13:33:04+00:00,2026-03-11T09:30:00-04:00,1.9069251149727489,0.9876402909465058,2163,8,2026-03-06,0.435,0.457,5.057471264367819,0.4475277392510402,2026-03-11,tplus2_close,0.376451,-15.882085738414942,-11.849039646075287,-12.95474732761537,0.3945
HYMC,HYMC|2026-03-04|2026-03-08 14:52:23,lot_e51e5b013ccc4919,closed,2026-03-09,2026-03-09T13:32:40+00:00,2026-03-11T09:30:00-04:00,1.1729085078812869,0.9634576945795328,3,1,2026-03-06,38.79,37.89,-2.3201856148491795,37.82,2026-03-11,tplus2_close,43.74,15.653093601269163,10.259122157588575,9.694531112286267,41.7
LAW,LAW|2026-02-27|2026-03-08 14:52:23,lot_39f06e718a61452e,closed,2026-03-09,2026-03-09T13:32:22+00:00,2026-03-11T09:30:00-04:00,1.3551245182833975,0.9729391293971384,31,1,2026-03-06,4.79,4.75,-0.8350730688935326,4.82,2026-03-11,tplus2_close,4.385,-9.024896265560178,-11.82572614107884,-12.49902623477447,4.25
NAUT,NAUT|2026-03-04|2026-03-08 14:52:23,lot_d39b8bc23f2e4c2b,closed,2026-03-09,2026-03-09T13:32:24+00:00,2026-03-11T09:30:00-04:00,1.171043084011092,0.9633096693785764,55,1,2026-03-06,2.47,2.45,-0.8097165991902799,2.56,2026-03-11,tplus2_close,2.42,-5.46875,-11.71875000000001,-5.795969460227276,2.26
