max_gap_pct,lots_kept,lots_dropped,capital_kept_usd,capital_dropped_usd,pnl_kept_usd_est,pnl_dropped_usd_est,return_kept_pct_est,avg_trade_return_pct,median_trade_return_pct,winrate_pct
-999.0,0,47,0.0,15089.3993,0.0,-96.66026800000029,,,,
-3.144654,3,44,1478.3,13611.0993,161.18987499999992,-257.8501430000002,10.903732327673673,11.176900584795325,11.66666666666667,100.0
-2.515723,5,42,1722.44,13366.9593,157.61466499999992,-254.27493300000023,9.150662142077513,6.514447060142373,10.197368421052634,60.0
-2.320186,5,42,1722.44,13366.9593,157.61466499999992,-254.27493300000023,9.150662142077513,6.514447060142373,10.197368421052634,60.0
-2.205882,7,40,1952.45,13136.9493,185.60530499999993,-282.2655730000002,9.506276985326124,7.7442692695052875,10.197368421052634,71.42857142857143
-1.986755,7,40,1952.45,13136.9493,185.60530499999993,-282.2655730000002,9.506276985326124,7.7442692695052875,10.197368421052634,71.42857142857143
-1.88383,9,38,2181.92,12907.4793,191.75594499999997,-288.41621300000025,8.788404020312383,7.70392716522794,10.197368421052634,77.77777777777779
-1.631393,10,37,2291.1200000000003,12798.2793,203.75399499999997,-300.41426300000023,8.893204851775547,8.549834815005513,10.93201754385965,80.0
-1.305057,12,35,2550.84,12538.5593,217.79560999999998,-314.45587800000027,8.538191732919351,8.683913118464858,9.775836528407112,83.33333333333334
-0.835073,13,34,2700.26,12389.1393,199.11956499999994,-295.77983300000017,7.374088606282355,7.321697012001393,9.35430463576159,76.92307692307693
-0.809717,13,34,2700.26,12389.1393,199.11956499999994,-295.77983300000017,7.374088606282355,7.321697012001393,9.35430463576159,76.92307692307693
0.0,15,32,3183.76,11905.6393,202.45883999999995,-299.11910800000015,6.359111239540667,6.294086515546622,9.35430463576159,73.33333333333333
1.0,15,32,3183.76,11905.6393,202.45883999999995,-299.11910800000015,6.359111239540667,6.294086515546622,9.35430463576159,73.33333333333333
1.009951,18,29,4207.22,10882.1793,160.81944000000001,-257.47970800000024,3.822463289297921,4.722241046060541,5.3412712808685985,61.111111111111114
1.435407,19,28,4361.88,10727.5193,147.96501,-244.6252780000003,3.392230185149523,4.49888461729533,4.697986577181212,63.1578947368421
1.531678,20,27,4519.2768,10570.1225,170.81389000000004,-267.4741580000003,3.7796731105295445,5.032634337006433,5.3412712808685985,65.0
1.588331,21,26,4934.6768,10154.7225,186.89389000000008,-283.5541580000003,3.7873582723796635,5.104044990697372,5.984555984555984,66.66666666666666
1.704545,21,26,4934.6768,10154.7225,186.89389000000008,-283.5541580000003,3.7873582723796635,5.104044990697372,5.984555984555984,66.66666666666666
1.834862,22,25,5287.8668,9801.532500000001,183.03389000000007,-279.6941580000003,3.461393732535019,4.88446222038003,5.3412712808685985,68.18181818181817
2.0,24,23,5581.5668000000005,9507.8325,197.00182500000003,-293.66209300000025,3.5295076106587135,4.757726732318056,4.030811470408779,70.83333333333334
2.684564,26,21,6279.576799999999,8809.8225,170.66182500000008,-267.3220930000003,2.7177281277935816,4.053092697272787,3.3636363636363464,65.38461538461539
2.702703,27,20,6580.986799999999,8508.4125,153.8318250000001,-250.49209300000038,2.3375191240316746,3.714972888781956,3.3636363636363464,62.96296296296296
3.0,27,20,6580.986799999999,8508.4125,153.8318250000001,-250.49209300000038,2.3375191240316746,3.714972888781956,3.3636363636363464,62.96296296296296
3.252033,28,19,6882.1268,8207.2725,163.39182500000013,-260.0520930000004,2.37414726215158,3.6568417708719427,2.8703757966449306,64.28571428571429
3.618421,28,19,6882.1268,8207.2725,163.39182500000013,-260.0520930000004,2.37414726215158,3.6568417708719427,2.8703757966449306,64.28571428571429
3.913043,30,17,8385.1868,6704.212500000001,158.47182500000005,-255.1320930000003,1.8899021426690226,3.4142525377019743,2.232208408477554,66.66666666666666
4.0,31,16,8754.9068,6334.4925,150.67182500000004,-247.3320930000003,1.720998617598077,3.229254871792709,2.087301587301593,64.51612903225806
4.376368,34,13,9169.206800000002,5920.192499999999,150.19160000000008,-246.85186800000034,1.6379999194695887,2.6922344854936058,1.282885243411569,61.76470588235294
4.740558,34,13,9169.206800000002,5920.192499999999,150.19160000000008,-246.85186800000034,1.6379999194695887,2.6922344854936058,1.282885243411569,61.76470588235294
4.825737,35,12,9603.006800000001,5486.392499999999,190.05300000000003,-286.7132680000003,1.979098879738375,2.8813452462255342,2.087301587301593,62.857142857142854
5.0,36,11,9882.036800000002,5207.362499999999,192.183,-288.8432680000003,1.9447711427263654,2.8189782203726477,1.3617169514116068,63.888888888888886
5.057471,36,11,9882.036800000002,5207.362499999999,192.183,-288.8432680000003,1.9447711427263654,2.8189782203726477,1.3617169514116068,63.888888888888886
5.477284,39,8,11371.459300000004,3717.9399999999996,37.83973200000006,-134.50000000000034,0.3327605631055642,1.750387393643985,0.4784688995215447,58.97435897435898
6.0,39,8,11371.459300000004,3717.9399999999996,37.83973200000006,-134.50000000000034,0.3327605631055642,1.750387393643985,0.4784688995215447,58.97435897435898
6.818182,41,6,12130.179300000002,2959.2200000000003,-41.170268,-55.49000000000029,-0.33940362283020825,1.198580339995643,0.2732240437158362,56.09756097560976
7.662835,41,6,12130.179300000002,2959.2200000000003,-41.170268,-55.49000000000029,-0.33940362283020825,1.198580339995643,0.2732240437158362,56.09756097560976
8.0,43,4,13087.1393,2002.2600000000002,-62.93026800000009,-33.73000000000019,-0.48085579711068016,1.0454397361482584,0.01800327332242,53.48837209302325
8.032129,44,3,13367.4193,1721.98,-94.78026800000013,-1.8800000000001553,-0.7090393880290726,0.7744837563125391,0.01800327332242,52.27272727272727
8.490566,44,3,13367.4193,1721.98,-94.78026800000013,-1.8800000000001553,-0.7090393880290726,0.7744837563125391,0.01800327332242,52.27272727272727
10.0,45,2,13704.049299999999,1385.35,-53.62026800000017,-43.040000000000106,-0.39127316916468025,1.038689794139267,0.01800327332242,53.333333333333336
14.253394,47,0,15089.3993,0.0,-96.66026800000029,0.0,-0.6405839363002362,0.9118626721411899,0.01800327332242,51.06382978723404
