max_gap_pct,kept_names,dropped_names,days_with_positions,starting_cash_usd,allocated_capital_usd,estimated_pnl_usd,estimated_return_pct,ending_cash_usd
-3.144654,1,32,1,10000.0,4000.0,436.1492931069469,10.903732327673673,10436.149293106948
-2.515723,2,31,1,10000.0,5000.0,297.8237745324303,5.956475490648606,10297.82377453243
-2.320186,2,31,1,10000.0,5000.0,297.8237745324303,5.956475490648606,10297.82377453243
-2.205882,4,29,1,10000.0,5000.0,372.55379872050935,7.4510759744101875,10372.55379872051
-1.986755,4,29,1,10000.0,5000.0,372.55379872050935,7.4510759744101875,10372.55379872051
-1.88383,6,27,1,10000.0,5000.0,348.3981308205496,6.9679626164109925,10348.39813082055
-1.631393,7,26,1,10000.0,5000.0,375.1726018203223,7.503452036406447,10375.172601820323
-1.305057,8,25,1,10000.0,5000.0,376.40646168391163,7.528129233678232,10376.406461683913
-0.835073,9,24,1,10000.0,5000.0,311.194773235198,6.22389546470396,10311.194773235198
-0.809717,9,24,1,10000.0,5000.0,311.194773235198,6.22389546470396,10311.194773235198
0.0,11,22,2,10000.0,9226.886788774082,425.4503245170698,4.610984552608743,10425.45032451707
1.0,11,22,2,10000.0,9226.886788774082,425.4503245170698,4.610984552608743,10425.45032451707
1.009951,12,21,2,10000.0,10283.608485967603,225.55145562597707,2.193310411746529,10225.551455625977
1.435407,13,20,2,10000.0,10251.515358419667,193.81097186017507,1.8905592498673505,10193.810971860175
1.531678,14,19,2,10000.0,10289.300493464012,231.18091854649663,2.246808893309587,10231.180918546497
1.588331,15,18,3,10000.0,14289.300493464012,386.0196282239164,2.701459237983577,10386.019628223916
1.704545,15,18,3,10000.0,14289.300493464012,386.0196282239164,2.701459237983577,10386.019628223916
1.834862,16,17,3,10000.0,14289.300493464012,392.9032058386317,2.749632188212064,10392.903205838631
2.0,17,16,3,10000.0,14299.96068887732,403.4601388745927,2.821407328681741,10403.460138874592
2.684564,18,15,3,10000.0,15299.96068887732,212.83323686607167,1.3910704817744792,10212.83323686607
2.702703,19,14,3,10000.0,15299.96068887732,170.0108239816654,1.111184711116669,10170.010823981665
3.0,19,14,3,10000.0,15299.96068887732,170.0108239816654,1.111184711116669,10170.010823981665
3.252033,20,13,3,10000.0,15299.96068887732,199.11367823264703,1.3013999335135389,10199.113678232647
3.618421,20,13,3,10000.0,15299.96068887732,199.11367823264703,1.3013999335135389,10199.113678232647
3.913043,21,12,3,10000.0,15299.96068887732,211.427216810289,1.381880784595683,10211.42721681029
4.0,22,11,3,10000.0,15299.960688877321,205.64062379111238,1.3440598180138321,10205.640623791112
4.376368,24,9,3,10000.0,15277.692972147333,183.58860830096506,1.2016775611060146,10183.588608300965
4.740558,24,9,3,10000.0,15277.692972147333,183.58860830096506,1.2016775611060146,10183.588608300965
4.825737,25,8,3,10000.0,15277.692972147333,238.51634276180206,1.5612065460186935,10238.516342761803
5.0,26,7,3,10000.0,15277.692972147332,235.48458821402505,1.541362224279121,10235.484588214025
5.057471,26,7,3,10000.0,15277.692972147332,235.48458821402505,1.541362224279121,10235.484588214025
5.477284,28,5,3,10000.0,15067.174351669675,18.19445837792008,0.12075561052961369,10018.19445837792
6.0,28,5,3,10000.0,15067.174351669675,18.19445837792008,0.12075561052961369,10018.19445837792
6.818182,29,4,3,10000.0,15067.174351669673,-133.59163450183132,-0.8866402643507428,9866.40836549817
7.662835,29,4,3,10000.0,15067.174351669673,-133.59163450183132,-0.8866402643507428,9866.40836549817
8.0,30,3,3,10000.0,15067.174351669673,-110.77326866924102,-0.7351960366541166,9889.22673133076
8.032129,31,2,3,10000.0,15067.174351669673,-145.11856741063787,-0.9631438783646683,9854.881432589364
8.490566,31,2,3,10000.0,15067.174351669673,-145.11856741063787,-0.9631438783646683,9854.881432589364
10.0,32,1,3,10000.0,15067.174351669673,-101.83166620295628,-0.6758511173110024,9898.168333797044
14.253394,33,0,3,10000.0,15067.174351669673,-95.43764589043028,-0.6334143593410686,9904.56235410957
inf,33,0,3,10000.0,15067.174351669673,-95.43764589043028,-0.6334143593410686,9904.56235410957
