ticker,sector,market_type,is_tradable
AE,Unknown,NON_TRADABLE,0
AEBI,Industrials,NASDAQ,1
AEC,Unknown,NON_TRADABLE,0
AEE,Utilities,NON_TRADABLE,0
AEGN,Unknown,NON_TRADABLE,0
AEGR,Unknown,NON_TRADABLE,0
AEHR,Health Care,NASDAQ,1
AEI,Real Estate,NASDAQ,1
AEIS,Information Technology,NASDAQ,1
AEL,Unknown,NON_TRADABLE,0
AENT,Industrials,NASDAQ,1
AEO,Consumer Discretionary,NYSE,1
AEON,Health Care,AMEX,1
AEP,Utilities,NON_TRADABLE,0
AEPI,Unknown,NON_TRADABLE,0
AER,Unknown,NON_TRADABLE,0
AERI,Unknown,NON_TRADABLE,0
AERO,Unknown,NON_TRADABLE,0
AERT,Industrials,NASDAQ,1
AES,Utilities,NYSE,1
AESE,Unknown,NON_TRADABLE,0
AESI,Energy,NYSE,1
AET,Unknown,NON_TRADABLE,0
AETI,Unknown,NON_TRADABLE,0
AEVA,Consumer Discretionary,NASDAQ,1
AEY,Unknown,NON_TRADABLE,0
AEYE,Information Technology,NASDAQ,1
AF,Unknown,NON_TRADABLE,0
AFAM,Unknown,NON_TRADABLE,0
AFB,Unknown,NYSE,1
AFBI,Financials,NASDAQ,1
AFCB,Unknown,NON_TRADABLE,0
AFCE,Unknown,NON_TRADABLE,0
AFCG,Real Estate,NASDAQ,1
AFCO,Unknown,NON_TRADABLE,0
AFG,Financials,NYSE,1
AFH,Unknown,NON_TRADABLE,0
AFI,Unknown,NON_TRADABLE,0
AFIB,Unknown,OTC,1
AFIN,Unknown,NON_TRADABLE,0
AFJK,Real Estate,NON_TRADABLE,0
AFL,Financials,NYSE,1
AFRM,Financials,NASDAQ,1
AFSI,Unknown,NON_TRADABLE,0
AFTM,Unknown,NON_TRADABLE,0
AG,Unknown,NON_TRADABLE,0
AGAE,Consumer Discretionary,NASDAQ,1
AGCB,Unknown,NON_TRADABLE,0
AGCO,Industrials,NYSE,1
AGE,Unknown,NON_TRADABLE,0
AGEN,Health Care,NASDAQ,1
AGFS,Unknown,NON_TRADABLE,0
AGFY,Unknown,NON_TRADABLE,0
AGIG,Energy,AMEX,1
AGII,Unknown,NON_TRADABLE,0
AGIO,Health Care,NON_TRADABLE,0
AGL,Health Care,NYSE,1
AGLE,Unknown,NON_TRADABLE,0
AGM,Financials,NYSE,1
AGN,Unknown,NON_TRADABLE,0
AGNC,Real Estate,NASDAQ,1
AGNU,Unknown,NON_TRADABLE,0
AGO,Financials,NON_TRADABLE,0
AGR,Unknown,NON_TRADABLE,0
AGRX,Unknown,NON_TRADABLE,0
AGS,Unknown,NON_TRADABLE,0
AGTC,Unknown,NON_TRADABLE,0
AGTI,Unknown,NON_TRADABLE,0
AGTX,Unknown,NON_TRADABLE,0
AGX,Industrials,NYSE,1
AGYS,Information Technology,NASDAQ,1
AHC,Unknown,NON_TRADABLE,0
AHCO,Health Care,NASDAQ,1
AHH,Real Estate,NYSE,1
AHL,Unknown,NON_TRADABLE,0
AHNR,Unknown,NON_TRADABLE,0
AHP,Unknown,NON_TRADABLE,0
AHPI,Unknown,NON_TRADABLE,0
AHRO,Unknown,NON_TRADABLE,0
AHT,Real Estate,NYSE,1
AI,Information Technology,NYSE,1
AIB,Unknown,NON_TRADABLE,0
AIG,Financials,NYSE,1
AIKI,Unknown,NON_TRADABLE,0
AIM,Health Care,AMEX,1
AIMC,Unknown,NON_TRADABLE,0
AIMD,Health Care,NASDAQ,1
AIMT,Unknown,NON_TRADABLE,0
AIN,Consumer Discretionary,NYSE,1
AINC,Unknown,NON_TRADABLE,0
AIOT,Information Technology,NASDAQ,1
AIP,Information Technology,NASDAQ,1
AIPG,Unknown,NON_TRADABLE,0
AIPT,Unknown,NON_TRADABLE,0
AIQ,Unknown,NON_TRADABLE,0
AIR,Industrials,NYSE,1
AIRC,Unknown,NON_TRADABLE,0
AIRG,Information Technology,NASDAQ,1
AIRI,Industrials,AMEX,1
AIRJ,Industrials,NASDAQ,1
AIRM,Unknown,NON_TRADABLE,0
AIRS,Health Care,NASDAQ,1
AIRT,Industrials,NASDAQ,1
AIRW,Unknown,NON_TRADABLE,0
AISP,Information Technology,NASDAQ,1
AIT,Industrials,NON_TRADABLE,0
AIV,Real Estate,NYSE,1
AIVN,Unknown,NON_TRADABLE,0
AIZ,Financials,NON_TRADABLE,0
AJG,Financials,NYSE,1
AJRD,Unknown,NON_TRADABLE,0
AJSB,Unknown,NON_TRADABLE,0
AJX,Unknown,NON_TRADABLE,0
AKA,Consumer Discretionary,NYSE,1
AKAM,Consumer Discretionary,NASDAQ,1
AKAN,Unknown,NASDAQ,1
AKAO,Unknown,NON_TRADABLE,0
AKBA,Health Care,NON_TRADABLE,0
AKCA,Unknown,NON_TRADABLE,0
AKER,Unknown,NON_TRADABLE,0
AKICU,Unknown,NON_TRADABLE,0
AKP,Unknown,NON_TRADABLE,0
AKR,Real Estate,NYSE,1
AKRO,Unknown,NON_TRADABLE,0
AKRX,Unknown,NON_TRADABLE,0
AKS,Unknown,NON_TRADABLE,0
AKTS,Unknown,NASDAQ,1
AKTX,Health Care,NASDAQ,1
AKU,Unknown,NON_TRADABLE,0
AKUS,Unknown,NON_TRADABLE,0
AKYA,Unknown,NON_TRADABLE,0
AL,Consumer Discretionary,NYSE,1
ALAB,Information Technology,NASDAQ,1
ALAN,Unknown,NON_TRADABLE,0
ALB,Materials,NYSE,1
ALBO,Unknown,NON_TRADABLE,0
ALCO,Consumer Staples,NON_TRADABLE,0
ALCS,Unknown,NON_TRADABLE,0
ALDR,Unknown,NON_TRADABLE,0
ALDW,Unknown,NON_TRADABLE,0
ALDX,Health Care,NASDAQ,1
ALEC,Health Care,NON_TRADABLE,0
ALEX,Real Estate,NON_TRADABLE,0
ALG,Industrials,NYSE,1
ALGM,Information Technology,NASDAQ,1
ALGN,Health Care,NASDAQ,1
ALGS,Health Care,NASDAQ,1
ALGT,Industrials,NON_TRADABLE,0
ALH,Industrials,NYSE,1
ALHC,Financials,NASDAQ,1
ALID,Unknown,OTC,1
ALIM,Unknown,NON_TRADABLE,0
ALIT,Consumer Discretionary,NYSE,1
ALJ,Unknown,NON_TRADABLE,0
ALJJ,Unknown,NON_TRADABLE,0
ALK,Industrials,NYSE,1
ALKS,Health Care,NASDAQ,1
ALKT,Information Technology,NASDAQ,1
ALL,Financials,NON_TRADABLE,0
ALLE,Consumer Discretionary,NYSE,1
ALLK,Unknown,NON_TRADABLE,0
ALLM,Unknown,NON_TRADABLE,0
ALLO,Health Care,NASDAQ,1
ALLY,Financials,NYSE,1
ALMG,Unknown,NON_TRADABLE,0
ALMS,Health Care,NASDAQ,1
ALNA,Unknown,NON_TRADABLE,0
ALNT,Health Care,NASDAQ,1
ALNY,Health Care,NON_TRADABLE,0
ALOT,Industrials,NASDAQ,1
ALPN,Unknown,NON_TRADABLE,0
ALQA,Unknown,NON_TRADABLE,0
ALR,Unknown,NON_TRADABLE,0
ALRM,Information Technology,NASDAQ,1
ALRN,Unknown,NON_TRADABLE,0
ALRS,Financials,NASDAQ,1
ALRT,Unknown,NON_TRADABLE,0
ALSK,Unknown,NON_TRADABLE,0
ALSN,Consumer Discretionary,NYSE,1
ALSO,Unknown,NON_TRADABLE,0
ALT,Health Care,NASDAQ,1
ALTA,Unknown,NON_TRADABLE,0
ALTD,Unknown,NON_TRADABLE,0
ALTG,Industrials,NYSE,1
ALTI,Financials,NASDAQ,1
ALTM,Unknown,NON_TRADABLE,0
ALTO,Materials,NASDAQ,1
ALTS,Financials,NASDAQ,1
ALTV,Unknown,NON_TRADABLE,0
ALUR,Health Care,NYSE,1
ALV,Consumer Discretionary,NYSE,1
ALVR,Unknown,NON_TRADABLE,0
ALX,Real Estate,NON_TRADABLE,0
ALXA,Unknown,NON_TRADABLE,0
ALXN,Unknown,NON_TRADABLE,0
ALXO,Health Care,NASDAQ,1
ALZN,Health Care,NASDAQ,1
AM,Utilities,NYSE,1
AMAG,Unknown,NON_TRADABLE,0
AMAL,Financials,NASDAQ,1
AMAM,Unknown,NON_TRADABLE,0
AMAR,Unknown,NON_TRADABLE,0
