scored_at,event_key,ticker,company_name,owner_name,title,trade_date,buy_price,score_1d,score_3d,score_5d,score_10d,pred_mean4,estimated_decile_score,decile_strength,advised_allocation_fraction,advised_allocation_pct,market_type,is_tradable,raw_alert_threshold,decile_score_threshold,threshold_source,alert_score_column
2026-03-03 21:31:21,LRHC|2026-02-27,LRHC,La Rosa Holdings Corp.,Hrt Financial LP,10%,2026-02-27,1.0501,2.39782189576,0.9024397739265484,,,2.39782189576,0.99330186275,0.933018627499,0.483254656875,48.3254656875,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 15:36:44,FBLG|2026-03-02,FBLG,"Fibrobiologics, Inc.",Davis Jason,CFO,2026-03-02,0.4212,2.30026620053,0.6944121541424095,,,2.30026620053,0.992363960269,0.923639602685,0.480909900671,48.0909900671,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 15:36:44,EOSE|2026-03-02,EOSE,"Eos Energy Enterprises, Inc.",Mastrangelo Joe,CEO,2026-03-02,5.86,1.41408820125,0.4452658596281258,,,1.41408820125,0.975424429639,0.754244296393,0.438561074098,43.8561074098,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 15:36:44,RDZN|2026-03-02,RDZN,Roadzen Inc.,Malhotra Rohan,"See Remarks, 10%",2026-03-02,1.32,1.00559184983,0.5653075826342334,,,1.00559184983,0.948193854741,0.481938547407,0.370484636852,37.0484636852,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,EHTH|2026-02-27,EHTH,"Ehealth, Inc.",Duke Derrick A,CEO,2026-02-27,1.24,2.67500680518,0.9092868362148081,,,2.67500680518,0.995150073359,0.951500733592,0.487875183398,48.7875183398,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,LRMR|2026-02-27,LRMR,"Larimar Therapeutics, Inc.",Thomas Frank E,Dir,2026-02-27,5.23,1.98503874141,0.509130270429933,,,1.98503874141,0.988890341842,0.888903418421,0.472225854605,47.2225854605,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,EDSA|2026-02-26,EDSA,"Edesa Biotech, Inc.",Nijhawan Pardeep,"CEO, 10%",2026-02-26,2.28,1.52724428561,0.6224565483105787,,,1.52724428561,0.979909676881,0.799096768814,0.449774192204,44.9774192204,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,ISPR|2026-02-27,ISPR,Ispire Technology Inc.,Wang Michael Xue,Co-CEO,2026-02-27,2.32,1.31931839839,0.590162394994154,,,1.31931839839,0.971409954893,0.71409954893,0.428524887232,42.8524887232,NASDAQ,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,LAW|2026-02-26,LAW,"Cs Disco, Inc.",Srinivasan Krishna,Dir,2026-02-26,3.52,1.19896250765,0.199943725408735,,,1.19896250765,0.965352161734,0.653521617336,0.413380404334,41.3380404334,NYSE,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
2026-03-03 08:38:56,LAW|2026-02-27,LAW,"Cs Disco, Inc.",Friedrichsen Eric,CEO,2026-02-27,3.52,1.16244700176,0.28568659922634304,,,1.16244700176,0.962627552663,0.626275526634,0.406568881659,40.6568881659,NYSE,1,0.712991714092,0.9,backtest/out/investable_decile_score_sweep_0005.csv (decile_score=0.90 -> raw_cut=0.713),pred_mean4
