split,scenario,n_trades,mean_ret_pct,median_ret_pct,win_rate_pct
test,second_day_close,82,4.829928864314877,1.3117283950617287,57.3170731707317
test,next_day_close,82,4.446675114055795,1.1106526508825376,58.536585365853654
test,same_day_close,82,1.064743490834634,0.0,41.46341463414634
val,next_day_close,76,1.931080780880642,0.0,47.368421052631575
val,second_day_close,76,1.8838432566411065,0.1474926253687281,50.0
val,same_day_close,76,0.29493445825240927,0.0,36.84210526315789
