strategy,params,val_n_trades,val_return_pct,val_max_drawdown_pct,val_win_rate_pct,val_mean_trade_ret_pct,val_std_trade_ret_pct,val_sharpe_trade,val_sortino_trade,val_cvar5_trade_ret_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_win_rate_pct,test_mean_trade_ret_pct,test_std_trade_ret_pct,test_sharpe_trade,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
baseline_pred_gt_0p8,"{""pred_threshold"": 0.8}",475,5277.3170903926075,-13.503263699380119,61.89473684210526,3.905982602105263,8.838399225832942,0.44193326215552997,1.0664132518349907,-11.707983333333331,5270.565458542917,457,1087.119930981316,-10.613336977779596,53.82932166301969,2.378519912472647,8.269879194270732,0.2876124132648099,0.6758440325326066,-11.853873913043477,1081.8132624924262
ticker_lossrate_cap,"{""pred_threshold"": 0.8, ""lossrate_cap_quantile"": 0.9, ""lossrate_cap_value"": 0.6666666666666666}",454,3747.623602622917,-8.451848128317396,61.89427312775331,3.7182184052863434,8.670773289817532,0.42882200710435014,1.0162385017042972,-11.67156956521739,3743.3976785587583,433,753.649431189457,-13.881660365557813,54.27251732101617,2.3179221709006925,8.227810747213221,0.2817179736038263,0.6472734485901861,-11.955145454545454,746.7086010066781
vol_cap,"{""pred_threshold"": 0.8, ""vol_cap_quantile"": 0.9, ""vol_cap_value"": 2.076876607274869}",359,1084.096494205845,-13.997360476118615,61.00278551532033,3.2219162116991638,8.20743262402064,0.3925607871905768,0.9527892650072768,-10.946172222222224,1077.0978139677857,378,402.74893146838576,-9.231050937767993,54.232804232804234,1.9591008888888886,7.972466443456643,0.24573335024781567,0.556596834814952,-11.881163157894736,398.13340599950175
combined_vol_and_lossrate_cap,"{""pred_threshold"": 0.8, ""vol_cap_quantile"": 0.9, ""vol_cap_value"": 2.076876607274869, ""lossrate_cap_quantile"": 0.9, ""lossrate_cap_value"": 0.6666666666666666}",345,867.8204201412759,-9.832150000000006,60.86956521739131,3.10981776231884,8.006267800473166,0.3884229006348066,0.9715168568271846,-10.261772222222223,862.9043451412759,362,295.5043692288828,-14.545013978678622,53.31491712707182,1.808397900552486,7.896493997996805,0.22901276199427786,0.5069612640459227,-11.791405263157895,288.2318622395435
