decile_score_threshold,raw_pred_mean4_cutoff,val_n_trades,val_return_pct,val_max_drawdown_pct,val_win_rate_pct,val_mean_trade_ret_pct,val_std_trade_ret_pct,val_sharpe_trade,val_sortino_trade,val_cvar5_trade_ret_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_win_rate_pct,test_mean_trade_ret_pct,test_std_trade_ret_pct,test_sharpe_trade,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
0.005,-0.6093645376416407,588,646.0589525097928,-22.05845670873551,51.70068027210885,1.4853537482993195,7.026769200736948,0.2113850200378774,0.40758365626274884,-12.072750000000001,635.029724155425,623,775.7986045142301,-14.891536814211692,53.93258426966292,1.702705791332263,7.472897161990683,0.2278508260481246,0.4708598358272009,-11.784834374999999,768.3528361071242
0.01,-0.34491192337001747,588,646.0589525097928,-22.05845670873551,51.70068027210885,1.4853537482993195,7.026769200736948,0.2113850200378774,0.40758365626274884,-12.072750000000001,635.029724155425,623,775.7986045142301,-14.891536814211692,53.93258426966292,1.702705791332263,7.472897161990683,0.2278508260481246,0.4708598358272009,-11.784834374999999,768.3528361071242
0.015,-0.1859637104355258,588,646.0589525097928,-22.05845670873551,51.70068027210885,1.4853537482993195,7.026769200736948,0.2113850200378774,0.40758365626274884,-12.072750000000001,635.029724155425,623,777.7883470584858,-14.891536814211692,53.93258426966292,1.7043022600321025,7.4741721512819295,0.2280255559459906,0.4713013172585418,-11.784834374999999,770.3425786513799
0.02,-0.09530243253554163,589,634.539722416677,-22.05845670873551,51.61290322580645,1.4724696162988113,7.025778992124334,0.20958097571093556,0.4047651336167392,-12.072750000000001,623.5104940623092,623,777.7883470584858,-14.891536814211692,53.93258426966292,1.7043022600321025,7.4741721512819295,0.2280255559459906,0.4713013172585418,-11.784834374999999,770.3425786513799
0.025,-0.05972580473057249,593,627.7473446197112,-22.05845670873551,52.4451939291737,1.4989784215851598,7.0187352118960895,0.21356816810022036,0.41193875917584394,-12.072750000000001,616.7181162653434,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
0.03,-0.048301112324651715,593,627.7473446197112,-22.05845670873551,52.4451939291737,1.4989784215851598,7.0187352118960895,0.21356816810022036,0.41193875917584394,-12.072750000000001,616.7181162653434,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
0.035,-0.04306095103987435,593,627.7473446197112,-22.05845670873551,52.4451939291737,1.4989784215851598,7.0187352118960895,0.21356816810022036,0.41193875917584394,-12.072750000000001,616.7181162653434,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
0.04,-0.038912085028710006,593,627.7473446197112,-22.05845670873551,52.4451939291737,1.4989784215851598,7.0187352118960895,0.21356816810022036,0.41193875917584394,-12.072750000000001,616.7181162653434,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
0.045,-0.0351917744698684,593,627.7473446197112,-22.05845670873551,52.4451939291737,1.4989784215851598,7.0187352118960895,0.21356816810022036,0.41193875917584394,-12.072750000000001,616.7181162653434,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
0.05,-0.030714023163949642,588,622.1757781699763,-22.05845670873551,52.21088435374149,1.5019312993197278,7.050993084614792,0.21300989538579032,0.41309724292733385,-12.072750000000001,611.1465498156085,644,749.0932386274519,-14.928781747740283,53.881987577639755,1.7587510931677015,7.467202798604173,0.23553010954737438,0.48964991212613723,-11.718145454545455,741.6288477535818
