candidate,arm_gain_pct,trail_drawdown_pct,reentry_mode,val_n_trades,val_n_stopped,val_stop_rate_pct,val_n_reentered,val_reentry_rate_among_stopped_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_stopped,test_stop_rate_pct,test_n_reentered,test_reentry_rate_among_stopped_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
trail_after_1_dd_1_reclaim_entry_else_close,1.0,1.0,reclaim_entry_else_close,763,546,71.55963302752293,546,100.0,2.9791496671035387,2.2163979381715073,-0.7627517289320314,59.37090432503277,55.70117955439057,-3.6697247706421976,838,598,71.36038186157518,598,100.0,1.5601256467780427,1.092917219436653,-0.4672084273413897,53.22195704057279,51.78997613365155,-1.4319809069212397
trail_after_2_dd_0.5_reclaim_entry_else_close,2.0,0.5,reclaim_entry_else_close,763,469,61.46788990825688,469,100.0,2.9791496671035387,2.191355168417019,-0.7877944986865195,59.37090432503277,56.356487549148106,-3.014416775884662,838,503,60.023866348448685,503,100.0,1.5601256467780427,1.1611267299278234,-0.39899891685021927,53.22195704057279,51.78997613365155,-1.4319809069212397
trail_after_2_dd_1_reclaim_entry_else_close,2.0,1.0,reclaim_entry_else_close,763,463,60.68152031454783,463,100.0,2.9791496671035387,2.1898502372738395,-0.7892994298296991,59.37090432503277,56.356487549148106,-3.014416775884662,838,488,58.233890214797135,488,100.0,1.5601256467780427,1.120665452463886,-0.4394601943141567,53.22195704057279,52.02863961813843,-1.1933174224343617
trail_after_2_dd_1.5_reclaim_entry_else_close,2.0,1.5,reclaim_entry_else_close,763,455,59.63302752293578,455,100.0,2.9791496671035387,2.1618891148346324,-0.8172605522689063,59.37090432503277,56.09436435124508,-3.276539973787685,838,470,56.085918854415276,470,100.0,1.5601256467780427,1.0957967012662608,-0.46432894551178183,53.22195704057279,52.50596658711218,-0.7159904534606127
trail_after_0.5_dd_1_reclaim_entry_else_close,0.5,1.0,reclaim_entry_else_close,763,613,80.34076015727392,613,100.0,2.9791496671035387,2.158823769267178,-0.8203258978363608,59.37090432503277,55.04587155963303,-4.32503276539974,838,661,78.8782816229117,661,100.0,1.5601256467780427,1.1116454949842502,-0.4484801517937924,53.22195704057279,52.38663484486874,-0.8353221957040518
trail_after_2_dd_2_reclaim_entry_else_close,2.0,2.0,reclaim_entry_else_close,763,437,57.27391874180865,437,100.0,2.9791496671035387,2.156334546098877,-0.8228151210046617,59.37090432503277,56.74967234600262,-2.6212319790301493,838,447,53.341288782816235,447,100.0,1.5601256467780427,1.083341617060655,-0.47678402971738776,53.22195704057279,51.90930787589498,-1.3126491646778078
trail_after_1_dd_0.5_reclaim_entry_else_close,1.0,0.5,reclaim_entry_else_close,763,558,73.13237221494103,558,100.0,2.9791496671035387,2.1506455156820343,-0.8285041514215044,59.37090432503277,55.17693315858454,-4.193971166448229,838,616,73.50835322195705,616,100.0,1.5601256467780427,1.1547549424714627,-0.40537070430657995,53.22195704057279,51.551312649164686,-1.6706443914081035
trail_after_1_dd_2_reclaim_entry_else_close,1.0,2.0,reclaim_entry_else_close,763,511,66.97247706422019,511,100.0,2.9791496671035387,2.135356126744832,-0.8437935403587065,59.37090432503277,55.70117955439057,-3.6697247706421976,838,552,65.8711217183771,552,100.0,1.5601256467780427,1.006751117154461,-0.5533745296235817,53.22195704057279,50.95465393794749,-2.2673031026252985
trail_after_1_dd_1.5_reclaim_entry_else_close,1.0,1.5,reclaim_entry_else_close,763,531,69.59370904325033,531,100.0,2.9791496671035387,2.1310868699979997,-0.848062797105539,59.37090432503277,55.43905635648755,-3.9318479685452203,838,579,69.09307875894987,579,100.0,1.5601256467780427,1.0449988024799097,-0.5151268442981329,53.22195704057279,51.90930787589498,-1.3126491646778078
trail_after_0.5_dd_1.5_reclaim_entry_else_close,0.5,1.5,reclaim_entry_else_close,763,594,77.85058977719528,594,100.0,2.9791496671035387,2.0963765666885408,-0.8827731004149979,59.37090432503277,54.78374836173001,-4.587155963302756,838,639,76.25298329355608,639,100.0,1.5601256467780427,1.0698226334068608,-0.4903030133711819,53.22195704057279,52.14797136038186,-1.0739856801909298
trail_after_2_dd_0.5_reclaim_entry_else_out,2.0,0.5,reclaim_entry_else_out,763,469,61.46788990825688,452,96.37526652452026,2.9791496671035387,2.094545586869964,-0.8846040802335748,59.37090432503277,56.09436435124508,-3.276539973787685,838,503,60.023866348448685,489,97.21669980119285,1.5601256467780427,1.1003306857324564,-0.45979496104558626,53.22195704057279,51.19331742243437,-2.0286396181384205
trail_after_0.5_dd_0.5_reclaim_entry_else_close,0.5,0.5,reclaim_entry_else_close,763,625,81.91349934469201,625,100.0,2.9791496671035387,2.091964923294618,-0.8871847438089207,59.37090432503277,54.39056356487549,-4.980340760157276,838,678,80.90692124105013,678,100.0,1.5601256467780427,1.1436009693989242,-0.41652467737911847,53.22195704057279,51.551312649164686,-1.6706443914081035
