split,entry_time_bucket,n_trades,mean_delta_second_vs_next_pct,median_delta_second_vs_next_pct,pct_second_beats_next,mean_delta_next_vs_same_pct,pct_next_beats_same,scenario,scenario_mean_ret_pct,scenario_median_ret_pct,scenario_win_rate_pct
test,09:46-10:59,12,0.08617953445879552,-1.0052730467120796,50.0,1.3535338262199053,58.333333333333336,second_day_close,6.184500053710369,2.7158564820308317,58.333333333333336
test,09:46-10:59,12,0.08617953445879552,-1.0052730467120796,50.0,1.3535338262199053,58.333333333333336,next_day_close,6.098320519251573,1.9434816976772462,50.0
test,09:46-10:59,12,0.08617953445879552,-1.0052730467120796,50.0,1.3535338262199053,58.333333333333336,same_day_close,4.744786693031665,-1.0126193442690667,50.0
test,11:00-12:59,23,0.2908240435464564,0.0,43.47826086956522,2.395228927175391,56.52173913043478,second_day_close,4.192406019007774,3.2608695652173836,60.86956521739131
test,11:00-12:59,23,0.2908240435464564,0.0,43.47826086956522,2.395228927175391,56.52173913043478,next_day_close,3.901581975461317,0.7838983050847403,56.52173913043478
test,11:00-12:59,23,0.2908240435464564,0.0,43.47826086956522,2.395228927175391,56.52173913043478,same_day_close,1.5063530482859258,0.0,43.47826086956522
test,13:00-15:59,47,0.5043340448121424,-0.7272727272727098,38.297872340425535,4.382674933286434,57.446808510638306,second_day_close,4.796060165789718,0.6538461538461604,55.319148936170215
test,13:00-15:59,47,0.5043340448121424,-0.7272727272727098,38.297872340425535,4.382674933286434,57.446808510638306,next_day_close,4.291726120977577,1.3937282229965264,61.702127659574465
test,13:00-15:59,47,0.5043340448121424,-0.7272727272727098,38.297872340425535,4.382674933286434,57.446808510638306,same_day_close,-0.09094881230885832,0.0,38.297872340425535
val,09:46-10:59,8,-2.0315065824188476,-1.9611910029498636,12.5,0.2937490042968699,50.0,next_day_close,2.2840240228064146,1.6399336283185906,62.5
val,09:46-10:59,8,-2.0315065824188476,-1.9611910029498636,12.5,0.2937490042968699,50.0,same_day_close,1.990275018509545,0.1474926253687281,50.0
val,09:46-10:59,8,-2.0315065824188476,-1.9611910029498636,12.5,0.2937490042968699,50.0,second_day_close,0.2525174403875674,-0.321257374631273,50.0
val,11:00-12:59,21,2.812157793578857,1.2072920439454293,57.14285714285714,1.9665384349996262,42.857142857142854,second_day_close,3.970280380581312,2.2900763358778553,57.14285714285714
val,11:00-12:59,21,2.812157793578857,1.2072920439454293,57.14285714285714,1.9665384349996262,42.857142857142854,next_day_close,1.158122587002456,0.0,42.857142857142854
val,11:00-12:59,21,2.812157793578857,1.2072920439454293,57.14285714285714,1.9665384349996262,42.857142857142854,same_day_close,-0.8084158479971703,0.0,28.57142857142857
val,13:00-15:59,47,-0.9870917627236141,0.0,42.5531914893617,1.7170174755399688,46.808510638297875,next_day_close,2.2163696348388484,-0.17825311942958333,46.808510638297875
val,13:00-15:59,47,-0.9870917627236141,0.0,42.5531914893617,1.7170174755399688,46.808510638297875,second_day_close,1.229277872115234,0.0,46.808510638297875
val,13:00-15:59,47,-0.9870917627236141,0.0,42.5531914893617,1.7170174755399688,46.808510638297875,same_day_close,0.4993521592988792,0.0,38.297872340425535
