strategy,n,freq_pct,avg_ret,sum_ret,win_pct,exp_daily
Baseline,671,100.0,2.0958480178837555,1406.31402,55.439642324888226,3.995210284090909
A: T<=+8% (prune run-aways),505,75.26080476900148,1.938606598019802,978.9963319999999,56.03960396039604,2.7812395795454545
A: T<=0%  (at/below insider price),287,42.77198211624441,2.791677756097561,801.211516,58.88501742160279,2.2761690795454546
B_fixed best X,106,15.797317436661698,5.110315262054502,541.6934177777772,73.58490566037736,1.5389017550505033
B_var global k,496,73.91952309985098,2.1355366017096897,1059.2261544480061,57.056451612903224,3.0091652115000174
B_var per-segment k,450,67.06408345752608,2.1853521252388477,983.4084563574816,57.55555555555556,2.793774023742845
C: T<=+8% + B_var,341,50.81967213114754,2.190515074400195,746.9656403704665,58.94428152492669,2.1220614783251888
C: T<=0%  + B_var,189,28.166915052160952,2.8379680808940924,536.3759672889835,60.84656084656085,1.5237953616164304
