section,scope,level,feature,n_obs,pearson_corr,spearman_corr,mean_target_pct,bucket,mean_improvement_pct,median_improvement_pct,stop_rate_pct,baseline_mean_ret_pct
correlation,all,trade,benchmark_same_day_ret_pct,11863,0.00861408703775067,0.02709639497445741,0.2113919147409867,,,,,
correlation,all,trade,benchmark_prev_day_ret_pct,11863,-0.023707459363796073,-0.029464063130778755,0.2113919147409867,,,,,
correlation,all,trade,benchmark_prev_5d_ret_pct,11863,0.002498958374129128,-0.007749683907699087,0.2113919147409867,,,,,
sign_bucket,all,trade,benchmark_same_day_ret_pct,6995,,,,positive,0.17823550466940738,0.0,38.57040743388134,0.5000517203716939
sign_bucket,all,trade,benchmark_same_day_ret_pct,4868,,,,non_positive,0.25903552370785154,0.0,32.8266228430567,0.3454726688578471
sign_bucket,all,trade,benchmark_prev_day_ret_pct,6975,,,,positive,0.18676356502517932,0.0,34.58064516129033,0.48189233605734766
sign_bucket,all,trade,benchmark_prev_day_ret_pct,4888,,,,non_positive,0.24653568300362114,0.0,38.54337152209493,0.37201794026186574
sign_bucket,all,trade,benchmark_prev_5d_ret_pct,7235,,,,positive,0.2462110207955858,0.0,35.438838977194195,0.3765431259156876
sign_bucket,all,trade,benchmark_prev_5d_ret_pct,4628,,,,non_positive,0.1569588481236522,0.0,37.42437337942956,0.5305387251512532
correlation,all,date,benchmark_same_day_ret_pct,509,0.038952305712765735,0.06473796449430924,0.2420092370756887,,,,,
correlation,all,date,benchmark_prev_day_ret_pct,509,-0.04428443873159386,-0.032519037915170385,0.2420092370756887,,,,,
correlation,all,date,benchmark_prev_5d_ret_pct,509,0.019729332719658904,0.010946055942964883,0.2420092370756887,,,,,
sign_bucket,all,date,benchmark_same_day_ret_pct,294,,,,positive,0.22287121955879977,0.2721617968979362,38.074271917149495,0.42854149028774924
sign_bucket,all,date,benchmark_same_day_ret_pct,215,,,,non_positive,0.2681793633545972,0.15544508886358324,32.7224992729703,0.3538867456311213
sign_bucket,all,date,benchmark_prev_day_ret_pct,294,,,,positive,0.2671645463742318,0.22091639560877077,34.19022646511539,0.3877071369790059
sign_bucket,all,date,benchmark_prev_day_ret_pct,215,,,,non_positive,0.20761081412791335,0.20868383096897913,38.03370561203088,0.40972534969051916
sign_bucket,all,date,benchmark_prev_5d_ret_pct,320,,,,positive,0.29829100028267697,0.2639623991366379,35.18420396984377,0.339493748349899
sign_bucket,all,date,benchmark_prev_5d_ret_pct,189,,,,non_positive,0.14671736286279857,0.1667011164355646,36.87951331735746,0.4943854443561994
correlation,val,trade,benchmark_same_day_ret_pct,5902,0.021170276015222478,0.03709188964183692,0.18246023881516582,,,,,
correlation,val,trade,benchmark_prev_day_ret_pct,5902,-0.03028295606160384,-0.04405440453554555,0.18246023881516582,,,,,
correlation,val,trade,benchmark_prev_5d_ret_pct,5902,-0.01592464242133503,-0.03346387830153527,0.18246023881516582,,,,,
sign_bucket,val,trade,benchmark_same_day_ret_pct,3636,,,,positive,0.15842162923007794,0.0,37.321232123212326,0.43035096479647955
sign_bucket,val,trade,benchmark_same_day_ret_pct,2266,,,,non_positive,0.22103234139741618,0.0,33.097969991173876,0.28399536628420124
sign_bucket,val,trade,benchmark_prev_day_ret_pct,3542,,,,positive,0.14051901862592675,0.0,34.387351778656125,0.47716265725578766
sign_bucket,val,trade,benchmark_prev_day_ret_pct,2360,,,,non_positive,0.2454076125059644,0.0,37.66949152542372,0.21956757457627116
sign_bucket,val,trade,benchmark_prev_5d_ret_pct,3570,,,,positive,0.17693366880421957,0.0,34.20168067226891,0.36472291652661054
sign_bucket,val,trade,benchmark_prev_5d_ret_pct,2332,,,,non_positive,0.19092072549573103,0.0,37.99313893653517,0.38860583018867917
correlation,val,date,benchmark_same_day_ret_pct,269,0.08075726304955987,0.10973851232894222,0.20594554645070642,,,,,
correlation,val,date,benchmark_prev_day_ret_pct,269,-0.02854814281213043,-0.03818959166266105,0.20594554645070642,,,,,
correlation,val,date,benchmark_prev_5d_ret_pct,269,-0.03407523285066202,-0.012376199474185914,0.20594554645070642,,,,,
sign_bucket,val,date,benchmark_same_day_ret_pct,157,,,,positive,0.22092661532686653,0.3305597538795289,37.131855631873,0.3283474995760551
sign_bucket,val,date,benchmark_same_day_ret_pct,112,,,,non_positive,0.18494529811537488,0.15038271423230787,33.03264803310441,0.3623214722231985
