"ticker","market_category","market","primary_exchange","active","found"
"HUMA","NASDAQ","stocks","XNAS","True","True"
"IAUX","AMEX","stocks","XASE","True","True"
"IBIO","NASDAQ","stocks","XNAS","True","True"
"ICHR","NASDAQ","stocks","XNAS","True","True"
"IMMX","NASDAQ","stocks","XNAS","True","True"
"IMRX","NASDAQ","stocks","XNAS","True","True"
"IMUX","NASDAQ","stocks","XNAS","True","True"
"INIS","OTC","otc","OTC Link","True","True"
"INUV","AMEX","stocks","XASE","True","True"
"INV","NASDAQ","stocks","XNAS","True","True"
"IOBT","NASDAQ","stocks","XNAS","True","True"
"IOVA","NASDAQ","stocks","XNAS","True","True"
"IPSC","NASDAQ","stocks","XNAS","True","True"
"IPWR","NASDAQ","stocks","XNAS","True","True"
"IRIX","NASDAQ","stocks","XNAS","True","True"
"ITGR","NYSE","stocks","XNYS","True","True"
"JSPR","NASDAQ","stocks","XNAS","True","True"
"JUNS","NASDAQ","stocks","XNAS","True","True"
"KDOZF","OTC","otc","OTC Link","True","True"
"KTTA","NASDAQ","stocks","XNAS","True","True"
"LAC","NYSE","stocks","XNYS","True","True"
"LAKE","NASDAQ","stocks","XNAS","True","True"
"LBRA","non tradable","","","","False"
"LBSR","OTC","otc","OTC Link","True","True"
"LCGMF","OTC","otc","OTC Link","True","True"
"LENZ","NASDAQ","stocks","XNAS","True","True"
"LEXX","NASDAQ","stocks","XNAS","True","True"
"LFT","NYSE","stocks","XNYS","True","True"
"LIDR","NASDAQ","stocks","XNAS","True","True"
"LIVE","NASDAQ","stocks","XNAS","True","True"
"LOOP","NASDAQ","stocks","XNAS","True","True"
"LPRO","NASDAQ","stocks","XNAS","True","True"
"LPTH","NASDAQ","stocks","XNAS","True","True"
"LUCY","NASDAQ","stocks","XNAS","True","True"
"LUMN","NYSE","stocks","XNYS","True","True"
"MAIA","AMEX","stocks","XASE","True","True"
"MASS","NASDAQ","stocks","XNAS","True","True"
"MAT","NASDAQ","stocks","XNAS","True","True"
"MBRX","NASDAQ","stocks","XNAS","True","True"
"MEI","NYSE","stocks","XNYS","True","True"
"MGLD","AMEX","stocks","XASE","True","True"
"MKZR","NASDAQ","stocks","XNAS","True","True"
"MLTX","NASDAQ","stocks","XNAS","True","True"
"MNTR","OTC","otc","OTC Link","True","True"
"MRAI","OTC","otc","OTC Link","True","True"
"MRMD","OTC","otc","OTC Link","True","True"
"MRVI","NASDAQ","stocks","XNAS","True","True"
"MTVA","NASDAQ","stocks","XNAS","True","True"
"MXCT","NASDAQ","stocks","XNAS","True","True"
"MYCB","OTC","otc","OTC Link","True","True"
"MYO","AMEX","stocks","XASE","True","True"
