label,n_trades,freq_pct,avg_ret,sum_ret,win_rate,expected_daily,dip_threshold_pct
B_X0pct_baseline,659,100.0,2.000385462822458,1318.2540199999999,54.93171471927162,3.7450398295454543,0
B_X1pct,282,42.792109256449166,2.6007383480191995,733.4082141414143,59.21985815602837,2.083546062901745,1
B_X2pct,240,36.41881638846737,2.9443946938775527,706.6547265306126,60.416666666666664,2.0075418367346947,2
B_X3pct,201,30.500758725341427,3.2311116171718743,649.4534350515468,60.19900497512438,1.845038167760076,3
B_X5pct,145,22.003034901365705,3.678414751361165,533.3701389473689,60.0,1.5152560765550254,5
B_X7pct,99,15.022761760242792,4.674289475399159,462.7546580645167,60.60606060606061,1.3146439149560134,7
B_X10pct,58,8.801213960546281,5.9175389272030605,343.2172577777775,72.41379310344827,0.975049027777777,10
