candidate,family,loss_mode,loss_param,train_n_trades,train_mean_ret_pct,train_std_ret_pct,train_median_ret_pct,train_win_rate_pct,train_risk_adj_mean_over_std,train_n_stopped,train_stop_rate_pct,train_n_profit_trail_stops,train_n_loss_stops,train_delta_mean_ret_pct,train_delta_std_ret_pct,val_n_trades,val_mean_ret_pct,val_std_ret_pct,val_median_ret_pct,val_win_rate_pct,val_risk_adj_mean_over_std,val_n_stopped,val_stop_rate_pct,val_n_profit_trail_stops,val_n_loss_stops,val_delta_mean_ret_pct,val_delta_std_ret_pct,test_n_trades,test_mean_ret_pct,test_std_ret_pct,test_median_ret_pct,test_win_rate_pct,test_risk_adj_mean_over_std,test_n_stopped,test_stop_rate_pct,test_n_profit_trail_stops,test_n_loss_stops,test_delta_mean_ret_pct,test_delta_std_ret_pct
trail_only,trail_only,none,,18024,0.5333292843868799,3.3692662973323326,0.9003,61.98402130492676,0.1582924106679105,6475,35.92432312472259,6475,0,0.2290803818125346,-1.3721936199932943,5902,0.5566197793099132,3.542262274005743,0.8736057432633948,61.809556082683834,0.15713680587532092,2107,35.6997627922738,2107,0,0.18246023881516577,-1.3371317078467126,5961,0.7384994267883269,3.3416748101970697,1.0928961748633892,65.64334843147122,0.22099679613791479,2189,36.722026505619866,2189,0,0.2400372345387044,-1.4250609677161377
trail_plus_vol_loss_3x,dynamic_loss,vol,3.0,18024,0.52397588918474,3.389205978270097,0.8989976203067158,61.93963604083444,0.15460137051103204,6533,36.24611628939192,6470,63,0.21972698661039475,-1.35225393905553,5902,0.5338207138995604,3.5852659476263358,0.8712863153904505,61.75872585564216,0.14889291943683627,2126,36.02168756353778,2105,21,0.15966117340481295,-1.2941280342261199,5961,0.7229336665778358,3.377619681486653,1.0915,65.59302130515015,0.2140364323847254,2203,36.956886428451604,2188,15,0.22447147432821324,-1.3891160964265543
trail_plus_vol_loss_2.5x,dynamic_loss,vol,2.5,18024,0.5169017216350621,3.39874864885055,0.897392152917507,61.884154460719046,0.15208589249748644,6571,36.45694629383045,6465,106,0.2126528190607168,-1.3427112684750768,5902,0.5216169146394511,3.5967163412673804,0.86745,61.640121992544906,0.14502586947283372,2147,36.37749915282955,2104,43,0.14745737414470367,-1.2826776405850753,5961,0.715187410504445,3.3940396726860147,1.091362126245854,65.57624559637645,0.21071863604306418,2215,37.15819493373595,2187,28,0.2167252182548225,-1.3726961052271927
trail_plus_vol_loss_2x,dynamic_loss,vol,2.0,18024,0.5097860086028787,3.403185181094291,0.89433618090452,61.806480248557484,0.14979672908629602,6662,36.9618286728806,6464,198,0.20553710602853342,-1.338274736231336,5902,0.5190995646037122,3.586770156568937,0.8613500000000001,61.57234835648933,0.14472618594002043,2178,36.90274483226025,2102,76,0.14494002410896473,-1.2926238252835187,5961,0.7041671225438145,3.406617096407747,1.086,65.47559134373428,0.20670568561590139,2242,37.61113907062573,2185,57,0.205704930294192,-1.3601186815054604
trail_plus_vol_loss_1.5x,dynamic_loss,vol,1.5,18024,0.4856105956488807,3.408075314175194,0.8801,61.529072347980474,0.14248822308271256,6943,38.52086107412339,6449,494,0.18136169307453542,-1.3333846031504328,5902,0.5000467595826765,3.5735690163506253,0.8484784501061571,61.28431040325314,0.13992922965661111,2246,38.05489664520502,2092,154,0.12588721908792905,-1.3058249655018304,5961,0.6870227456333701,3.3893348136649863,1.0765,65.12330145948665,0.2027013509740787,2303,38.634457305821165,2182,121,0.18856055338374755,-1.377400964248221
trail_plus_vol_loss_1x,dynamic_loss,vol,1.0,18024,0.43941528802011326,3.370339070295865,0.82385,60.441633377718595,0.13037717536874982,7517,41.70550377274745,6389,1128,0.13516638544576798,-1.3711208470297618,5902,0.4540481794502899,3.5421794799345205,0.8093,60.352422907488986,0.1281832786910852,2435,41.2572009488309,2069,366,0.07988863895554243,-1.3372145019179351,5961,0.65492003752854,3.342506235988721,1.0396,64.15031035061232,0.19593681844988783,2467,41.38567354470727,2167,300,0.15645784527891748,-1.4242295419244861
trail_plus_vol_loss_0.5x,dynamic_loss,vol,0.5,18024,0.3846141109359448,3.1605742094457066,0.59965,56.84642698624057,0.12169121351002779,8721,48.385486018641814,6135,2586,0.0803652083615995,-1.5808857078799203,5902,0.39784619254848247,3.3970697253040183,0.55625,56.74347678752966,0.11711452066615369,2829,47.93290410030498,1993,836,0.02368665205373499,-1.4823242565484374,5961,0.5834155648466567,3.1665930605558823,0.8613,60.325448750209695,0.1842407766611604,2886,48.41469552088576,2094,792,0.08495337259703417,-1.600142717357325
trail_plus_static_loss_7,static_loss,static,7.0,18024,0.30350723840841265,3.511807602803056,0.8193918691208664,60.66910785619174,0.08642479108655016,7119,39.49733688415446,6393,726,-0.0007416641659326317,-1.2296523145225708,5902,0.22293909259184502,3.7490671754679012,0.75615,60.09827177228059,0.059465216854648964,2354,39.88478481870552,2069,285,-0.15122044790290246,-1.1303268063845544,5961,0.4206434178534836,3.608187636905879,1.0059612518628969,63.730917631269925,0.11658025030377771,2403,40.31202818319074,2164,239,-0.07781877439613893,-1.1585481410073282
trail_plus_static_loss_5,static_loss,static,5.0,18024,0.1601555208808337,3.402605112388795,0.6952,58.777185974256554,0.04706850063138732,7824,43.40878828229028,6276,1548,-0.14409338169351157,-1.3388548049368318,5902,0.123875522192456,3.626875289242084,0.6431,58.4717045069468,0.0341548887991521,2568,43.51067434767875,2026,542,-0.25028401830229147,-1.2525186926103715,5961,0.3114041175197084,3.4710181203950756,0.9174,62.03657104512666,0.0897154975048831,2628,44.086562657272275,2134,494,-0.1870580747299141,-1.2957176575181317
trail_plus_static_loss_4,static_loss,static,4.0,18024,0.07536261662264546,3.2874573411082406,0.5776743902439083,56.85197514425211,0.022924287314779218,8466,46.97070572569907,6153,2313,-0.22888628595169982,-1.4540025762173863,5902,0.04006325741753221,3.5130558193320947,0.5175879396984939,56.64181633344629,0.011404104995163178,2737,46.37411047102677,1980,757,-0.3340962830772153,-1.366338162520361,5961,0.2535259929960931,3.383215051637883,0.807,60.37577587653078,0.07493641081827063,2802,47.00553598389532,2098,704,-0.24493619925352944,-1.3835207262753242
