filing_bucket,trades,alt_extended_fill_rate_pct,baseline_mean_1d,alt_mean_1d,mean_delta_1d,median_delta_1d,win_rate_delta_1d_pct,baseline_mean_3d,alt_mean_3d,mean_delta_3d,median_delta_3d,win_rate_delta_3d_pct,baseline_mean_5d,alt_mean_5d,mean_delta_5d,median_delta_5d,win_rate_delta_5d_pct,baseline_mean_10d,alt_mean_10d,mean_delta_10d,median_delta_10d,win_rate_delta_10d_pct
after_hours,10482,68.91814539210075,1.0866472925222044,1.2778151265903201,0.19175216049142127,3.902439024472404e-05,52.93668226530417,1.2901465287752563,0.4006487074086272,-0.8899523281107972,0.05457723930319158,50.531456478023564,1.2626812470023983,0.1873764536716577,-1.0751794975729434,0.04060459121497373,50.36930455635492,1.4578650115919627,0.06898286049901568,-1.388531076732851,0.0186395592620284,50.02898550724638
pre_market,2243,62.28265715559519,0.8557070246085011,1.3009572914231398,0.4473014998154918,1.5384615384306244e-05,51.72259507829977,0.8885646953405018,0.314671946565291,-0.5681717225486946,-0.008175380417798833,49.551971326164875,1.0756107271095152,0.17157666885070955,-0.9019396028288434,0.04494721883439377,50.31418312387792,0.6120907039711191,-0.0038134682751443452,-0.6129506743700803,0.37063486378309274,51.87358916478555
overall,12725,67.74852652259332,1.0460246340311665,1.2818904763722003,0.23670358292092689,3.333333333660482e-05,52.723122934046906,1.2194301065088757,0.3854978419938723,-0.8332884770958376,0.031162656914595965,50.358974358974365,1.2297409863273532,0.18459265240442718,-1.0446745986960086,0.04060459121497373,50.35959851418635,1.3087373965626987,0.05616359892537614,-1.2518091832801224,0.06976974697653199,50.354158376442506
