split,ticker,buy_datetime,ret_1d_pct,entry_price,entry_bar_time,ret_15m_pct,checkpoint_15m_dt,ret_30m_pct,checkpoint_30m_dt,ret_60m_pct,checkpoint_60m_dt,ret_120m_pct,checkpoint_120m_dt,ret_same_day_close_pct,same_day_close_dt,selected_signal,selected_threshold_pct,flagged,strategy_ret_pct,improvement_pct
val,VRE,2024-06-24 09:45:00,-1.4701,14.625,2024-06-24 09:45:00,0.6495726495726606,2024-06-24 10:00:00,-0.23931623931624513,2024-06-24 10:16:00,-0.10256410256410664,2024-06-24 10:50:00,-0.27350427350426587,2024-06-24 11:53:00,-0.6495726495726495,2024-06-24 15:59:00,none,,False,-1.4701,0.0
val,CTTH,2024-06-24 13:53:42,-11.4638,0.069,2024-06-24 14:25:00,,,,,,,,,0.0,2024-06-24 14:25:00,none,,False,-11.4638,0.0
val,CTM,2024-06-24 09:45:00,-3.7056,0.188,2024-06-24 09:50:00,5.319148936170226,2024-06-24 10:51:00,4.78723404255319,2024-06-24 12:05:00,5.159574468085104,2024-06-24 14:49:00,,,2.5000000000000133,2024-06-24 15:57:00,none,,False,-3.7056,0.0
val,STCB,2024-06-25 09:45:00,10.5263,0.1025,2024-06-25 11:47:00,,,,,,,,,-1.170731707317063,2024-06-25 13:52:00,none,,False,10.5263,0.0
val,NAMS,2024-06-24 09:45:00,7.5122,18.315,2024-06-24 10:01:00,4.3953043953044,2024-06-24 11:49:00,5.10510510510509,2024-06-24 13:24:00,6.797706797706793,2024-06-24 15:45:00,,,7.125307125307123,2024-06-24 15:59:00,none,,False,7.5122,0.0
val,PODC,2024-06-24 09:45:00,0.6536,1.6447,2024-06-24 09:54:00,-5.757888976713077,2024-06-24 12:46:00,,,,,,,-6.365902596218154,2024-06-24 15:59:00,none,,False,0.6536,0.0
val,AESI,2024-06-25 09:45:00,-2.8218,20.07,2024-06-25 09:45:00,-0.09965122072744803,2024-06-25 10:03:00,0.09965122072745913,2024-06-25 10:20:00,0.24912805181864783,2024-06-25 10:57:00,0.39860488290981433,2024-06-25 12:25:00,0.5979073243647326,2024-06-25 15:59:00,none,,False,-2.8218,0.0
val,YORW,2024-06-20 14:58:49,-0.5822,36.05,2024-06-20 15:01:00,-0.11095700416088317,2024-06-20 15:49:00,,,,,,,0.027739251040226343,2024-06-20 15:59:00,none,,False,-0.5822,0.0
val,MCFT,2024-06-25 09:45:00,-0.6817,19.79,2024-06-25 09:45:00,-1.5159171298635754,2024-06-25 10:35:00,-1.9555330975240093,2024-06-25 11:15:00,-2.2991409802930685,2024-06-25 13:14:00,-3.4866093986861912,2024-06-25 15:56:00,-3.6382011116725566,2024-06-25 15:59:00,none,,False,-0.6817,0.0
val,BMNM,2024-06-21 09:45:00,18.0556,0.72,2024-06-21 12:02:00,,,,,,,,,0.0,2024-06-21 12:02:00,none,,False,18.0556,0.0
val,AEI,2024-06-25 09:45:00,5.1471,1.36,2024-06-25 09:52:00,0.007352941176463901,2024-06-25 11:37:00,-2.573529411764719,2024-06-25 15:14:00,,,,,-2.941176470588236,2024-06-25 15:59:00,none,,False,5.1471,0.0
val,ZDPY,2024-06-26 09:45:00,5.2632,0.601,2024-06-26 09:58:00,,,,,,,,,2.7454242928452777,2024-06-26 14:16:00,none,,False,5.2632,0.0
val,CSPI,2024-06-25 09:45:00,4.3642,13.445,2024-06-25 10:26:00,0.4834510970620931,2024-06-25 12:59:00,-3.599851245816288,2024-06-25 14:58:00,,,,,-2.1941242097433977,2024-06-25 15:59:00,none,,False,4.3642,0.0
val,FXNC,2024-06-21 15:24:34,0.0,14.905,2024-06-21 15:56:00,,,,,,,,,0.0,2024-06-21 15:56:00,none,,False,0.0,0.0
val,HQI,2024-06-25 09:45:00,-1.4423,12.48,2024-06-25 11:41:00,,,,,,,,,-2.243589743589758,2024-06-25 15:56:00,none,,False,-1.4423,0.0
val,NN,2024-06-25 09:45:00,-4.3584,8.49,2024-06-25 09:45:00,-3.062426383981154,2024-06-25 10:03:00,-1.6489988221437102,2024-06-25 10:22:00,-0.8244994110718551,2024-06-25 11:05:00,-3.239104829210837,2024-06-25 12:20:00,-2.5912838633686763,2024-06-25 15:59:00,none,,False,-4.3584,0.0
val,SST,2024-06-25 09:45:00,-1.4286,14.6,2024-06-25 09:46:00,0.0,2024-06-25 10:24:00,0.6849315068493178,2024-06-25 11:16:00,0.34246575342467,2024-06-25 13:43:00,-1.3698630136986245,2024-06-25 15:52:00,-2.73972602739726,2024-06-25 15:59:00,none,,False,-1.4286,0.0
val,GALT,2024-06-20 14:10:08,-3.3058,2.36,2024-06-20 14:12:00,1.6949152542372836,2024-06-20 15:01:00,2.330508474576276,2024-06-20 15:54:00,,,,,2.5423728813559254,2024-06-20 15:59:00,none,,False,-3.3058,0.0
val,JAKK,2024-06-24 12:03:28,-0.9434,18.1,2024-06-24 12:05:00,-0.5524861878453136,2024-06-24 13:09:00,-0.2762430939226568,2024-06-24 14:08:00,,,,,-0.22099447513813653,2024-06-24 15:59:00,none,,False,-0.9434,0.0
val,LILA,2024-06-26 09:45:00,2.3758,9.3,2024-06-26 09:45:00,0.0,2024-06-26 10:03:00,0.7526881720429923,2024-06-26 10:21:00,-0.10752688172044333,2024-06-26 10:56:00,-0.5376344086021612,2024-06-26 12:27:00,-0.33333333333334103,2024-06-26 15:59:00,none,,False,2.3758,0.0
val,CRM,2024-06-25 09:45:00,0.575,242.85,2024-06-25 09:45:00,-0.40354128062589645,2024-06-25 10:00:00,-0.3705991352686899,2024-06-25 10:15:00,-0.2635371628577299,2024-06-25 10:45:00,-0.4282478896438069,2024-06-25 11:45:00,-0.4570722668313709,2024-06-25 15:59:00,none,,False,0.575,0.0
val,HOFT,2024-06-24 10:29:18,2.9369,13.785,2024-06-24 10:30:00,-1.4145810663764968,2024-06-24 13:23:00,-0.6891548784911161,2024-06-24 15:08:00,,,,,-1.196953210010887,2024-06-24 15:59:00,none,,False,2.9369,0.0
