ticker,trade_day,bar_count,status
ADC,2021-12-07,301,fetched
ADC,2022-04-12,325,fetched
ADC,2022-12-23,321,fetched
ADC,2023-05-10,348,fetched
ADC,2023-09-25,379,fetched
ADC,2023-12-18,373,fetched
ADC,2023-12-25,0,fetched
ADI,2021-10-08,400,fetched
ADI,2022-06-22,394,fetched
ADIL,2021-11-30,205,fetched
ADIL,2022-01-03,123,fetched
ADIL,2023-10-03,21,fetched
ADMA,2023-08-25,368,fetched
ADMA,2023-08-31,389,fetched
ADTN,2021-11-12,244,fetched
ADV,2021-03-24,297,fetched
ADV,2022-03-09,241,fetched
ADV,2022-03-11,197,fetched
ADV,2022-09-21,338,fetched
ADV,2023-05-23,292,fetched
ADV,2023-05-25,212,fetched
ADV,2023-05-29,0,fetched
ADV,2023-05-31,257,fetched
ADV,2023-06-06,310,fetched
ADV,2023-08-18,126,fetched
ADV,2023-08-23,258,fetched
ADV,2023-08-28,217,fetched
ADV,2023-08-30,331,fetched
ADV,2023-09-01,297,fetched
ADV,2023-09-11,281,fetched
ADV,2023-11-16,233,fetched
ADV,2023-11-20,201,fetched
AEHR,2023-10-12,350,fetched
AEO,2021-06-09,391,fetched
AEO,2021-12-01,431,fetched
AEO,2022-03-11,402,fetched
AEO,2022-06-13,421,fetched
AEO,2022-06-15,411,fetched
AEO,2022-06-17,414,fetched
AEO,2022-06-22,409,fetched
AEO,2022-06-27,403,fetched
AES,2021-09-17,402,fetched
AES,2023-08-09,400,fetched
AES,2023-08-11,390,fetched
AES,2023-08-17,406,fetched
AEVA,2023-11-14,399,fetched
AEYE,2021-08-23,159,fetched
AEYE,2021-12-03,95,fetched
AEYE,2023-09-14,118,fetched
AFBI,2021-07-12,11,fetched
AFBI,2021-07-21,6,fetched
AFBI,2021-07-29,2,fetched
AFBI,2021-10-13,4,fetched
AFBI,2021-12-15,8,fetched
AFBI,2022-03-09,14,fetched
AFBI,2023-03-23,27,fetched
AFBI,2023-04-07,0,fetched
AFBI,2023-04-14,11,fetched
AFBI,2023-09-05,23,fetched
AFBI,2023-11-22,11,fetched
AFIB,2021-07-22,353,fetched
AFIB,2021-11-18,380,fetched
AFL,2021-06-04,383,fetched
AFL,2022-05-02,400,fetched
AFL,2024-02-07,397,fetched
AFRM,2022-04-22,488,fetched
AFRM,2022-04-25,462,fetched
AFRM,2022-04-26,489,fetched
AFRM,2022-04-28,517,fetched
AFRM,2022-05-02,477,fetched
AFRM,2022-05-04,491,fetched
AGAE,2023-08-31,52,fetched
AGAE,2023-12-15,57,fetched
AGAE,2023-12-19,79,fetched
AGAE,2023-12-21,31,fetched
AGAE,2024-01-23,156,fetched
AGAE,2024-01-25,28,fetched
AGAE,2024-02-05,45,fetched
AGEN,2023-11-20,387,fetched
AGL,2021-04-22,316,fetched
AGL,2023-12-01,398,fetched
AGM,2021-06-10,81,fetched
AGM,2022-03-09,51,fetched
AGM,2022-05-16,36,fetched
AGM,2023-03-17,136,fetched
AGM,2023-05-15,76,fetched
AGNC,2023-07-28,474,fetched
AGX,2022-04-25,149,fetched
AGX,2022-05-10,184,fetched
AGYS,2021-08-19,63,fetched
AGYS,2022-02-01,127,fetched
AGYS,2022-06-15,133,fetched
AGYS,2022-06-20,0,fetched
AGYS,2023-05-24,134,fetched
AGYS,2023-08-22,87,fetched
AGYS,2023-08-28,89,fetched
AHCO,2021-03-19,391,fetched
AHCO,2021-05-14,343,fetched
AHCO,2022-03-09,373,fetched
AHCO,2022-03-16,338,fetched
AHCO,2022-05-17,386,fetched
AHCO,2022-05-19,387,fetched
AHCO,2022-05-25,380,fetched
AHCO,2022-06-06,306,fetched
AHCO,2022-06-14,359,fetched
AHCO,2022-06-16,375,fetched
AHCO,2022-06-17,343,fetched
AHCO,2022-06-22,376,fetched
AHH,2022-10-07,286,fetched
AHT,2021-04-19,588,fetched
AHT,2021-07-21,484,fetched
AI,2021-06-14,473,fetched
AIMD,2023-04-27,4,fetched
AIP,2021-11-01,257,fetched
AIR,2021-07-29,276,fetched
AIRG,2021-11-17,139,fetched
AIRG,2021-11-30,113,fetched
AIRG,2022-03-04,127,fetched
AIRG,2022-03-18,184,fetched
AIRG,2022-06-14,134,fetched
AIRG,2022-06-17,188,fetched
AIRG,2022-12-19,46,fetched
AIRG,2023-11-15,81,fetched
AIRI,2021-05-19,95,fetched
AIRI,2021-08-10,91,fetched
AIRI,2021-08-25,62,fetched
AIRS,2022-05-20,245,fetched
AIRS,2022-11-18,211,fetched
AIRT,2022-08-19,8,fetched
AIRT,2022-09-14,46,fetched
AIRT,2022-09-16,30,fetched
AIV,2021-03-22,494,fetched
AIV,2021-03-25,428,fetched
AIV,2021-03-30,451,fetched
AIV,2021-04-02,0,fetched
AIV,2021-08-24,391,fetched
AIV,2021-10-01,393,fetched
AIV,2022-06-03,367,fetched
AKA,2021-12-21,270,fetched
AKA,2022-03-09,242,fetched
AKTS,2022-02-09,345,fetched
AL,2022-02-24,382,fetched
AL,2023-06-05,334,fetched
ALDX,2022-08-03,337,fetched
ALDX,2022-08-04,368,fetched
ALDX,2022-08-05,385,fetched
ALDX,2022-08-08,383,fetched
ALDX,2022-08-09,361,fetched
ALDX,2022-08-11,350,fetched
ALDX,2022-08-12,285,fetched
ALG,2022-03-07,53,fetched
ALG,2022-06-16,77,fetched
ALG,2023-09-01,55,fetched
ALGM,2023-02-07,403,fetched
ALGM,2023-11-16,372,fetched
ALGN,2022-05-16,374,fetched
ALGN,2023-06-01,355,fetched
ALGS,2023-10-30,98,fetched
ALID,2023-04-28,3,fetched
ALIT,2022-03-16,383,fetched
ALIT,2022-04-05,362,fetched
ALIT,2022-11-17,395,fetched
ALIT,2022-12-19,383,fetched
ALIT,2023-10-10,393,fetched
ALK,2021-06-10,406,fetched
ALKS,2021-08-25,328,fetched
ALKS,2022-03-09,364,fetched
ALKS,2022-11-17,388,fetched
ALLO,2022-01-14,400,fetched
ALLY,2022-10-28,409,fetched
ALOT,2021-12-20,44,fetched
ALOT,2023-03-31,33,fetched
ALOT,2023-04-13,26,fetched
ALRS,2023-02-02,104,fetched
ALSN,2021-11-17,378,fetched
ALT,2022-05-26,296,fetched
ALT,2022-06-17,366,fetched
ALT,2023-08-16,379,fetched
ALTG,2021-06-11,127,fetched
ALTG,2021-08-24,113,fetched
ALTG,2021-09-13,39,fetched
ALTG,2021-09-16,52,fetched
ALTG,2021-09-20,64,fetched
ALTG,2021-10-21,63,fetched
ALTG,2021-12-16,118,fetched
ALTG,2022-01-04,111,fetched
ALTG,2022-01-14,83,fetched
ALTG,2022-01-24,88,fetched
ALTG,2022-01-27,88,fetched
ALTG,2022-02-01,88,fetched
ALTG,2022-02-08,64,fetched
ALTG,2022-02-17,37,fetched
ALTG,2022-02-28,52,fetched
ALTG,2022-03-04,35,fetched
ALTG,2022-03-10,54,fetched
ALTG,2022-03-29,90,fetched
ALTG,2022-04-22,102,fetched
ALTG,2022-04-27,95,fetched
ALTG,2022-05-02,162,fetched
ALTG,2022-05-12,91,fetched
ALTG,2022-05-20,81,fetched
ALTG,2022-05-23,155,fetched
ALTG,2022-05-27,98,fetched
ALTG,2022-06-29,124,fetched
ALTG,2022-07-04,0,fetched
ALTG,2022-07-08,66,fetched
ALTG,2022-07-21,88,fetched
ALTG,2022-07-26,35,fetched
ALTG,2022-07-29,39,fetched
ALTG,2023-03-15,262,fetched
ALTG,2023-04-07,0,fetched
ALTG,2023-04-17,222,fetched
ALTG,2023-06-06,201,fetched
ALTG,2023-08-16,247,fetched
ALTG,2023-08-23,214,fetched
ALTG,2023-11-29,244,fetched
ALTI,2023-01-10,90,fetched
ALTI,2023-01-13,144,fetched
ALTI,2023-01-19,125,fetched
ALTI,2023-01-24,189,fetched
ALTO,2021-05-20,415,fetched
ALTO,2021-05-21,413,fetched
ALTO,2021-06-14,407,fetched
ALTO,2021-08-17,394,fetched
ALTO,2021-08-24,327,fetched
ALTO,2021-09-02,368,fetched
ALTO,2021-11-24,282,fetched
ALTO,2021-12-10,347,fetched
ALTO,2022-12-20,359,fetched
ALTO,2023-03-21,336,fetched
ALTO,2023-06-05,344,fetched
ALV,2022-08-26,356,fetched
ALV,2022-09-01,376,fetched
ALZN,2021-06-18,268,fetched
ALZN,2021-06-28,385,fetched
ALZN,2021-06-30,647,fetched
ALZN,2021-07-05,0,fetched
ALZN,2021-07-09,370,fetched
ALZN,2021-07-16,458,fetched
ALZN,2021-07-20,367,fetched
ALZN,2021-07-23,736,fetched
ALZN,2021-07-28,539,fetched
ALZN,2021-08-09,270,fetched
ALZN,2021-08-11,244,fetched
ALZN,2021-08-16,222,fetched
ALZN,2021-08-20,276,fetched
ALZN,2021-09-01,430,fetched
ALZN,2021-09-17,297,fetched
ALZN,2021-11-11,595,fetched
ALZN,2021-11-24,578,fetched
ALZN,2021-12-03,344,fetched
ALZN,2021-12-21,464,fetched
ALZN,2021-12-28,320,fetched
ALZN,2022-01-04,480,fetched
ALZN,2022-01-07,360,fetched
ALZN,2022-01-12,342,fetched
ALZN,2022-01-18,330,fetched
ALZN,2022-01-20,288,fetched
ALZN,2022-01-26,302,fetched
ALZN,2022-01-31,282,fetched
ALZN,2022-02-28,214,fetched
ALZN,2022-03-22,812,fetched
ALZN,2022-04-13,605,fetched
ALZN,2022-04-26,240,fetched
ALZN,2022-04-29,386,fetched
ALZN,2022-05-09,265,fetched
ALZN,2022-05-19,116,fetched
ALZN,2022-05-27,205,fetched
ALZN,2022-06-01,114,fetched
ALZN,2022-06-06,227,fetched
ALZN,2022-06-09,180,fetched
ALZN,2022-06-10,121,fetched
ALZN,2022-06-16,145,fetched
ALZN,2022-06-17,161,fetched
ALZN,2022-06-22,147,fetched
ALZN,2022-07-01,117,fetched
ALZN,2022-07-20,127,fetched
ALZN,2022-07-26,130,fetched
ALZN,2022-07-29,112,fetched
ALZN,2022-08-05,252,fetched
ALZN,2022-08-16,252,fetched
ALZN,2022-08-17,342,fetched
ALZN,2022-08-19,208,fetched
ALZN,2022-08-24,171,fetched
ALZN,2022-08-29,125,fetched
ALZN,2022-08-30,105,fetched
ALZN,2022-10-03,234,fetched
ALZN,2022-10-10,140,fetched
ALZN,2022-10-17,139,fetched
ALZN,2022-11-04,175,fetched
ALZN,2022-11-22,142,fetched
ALZN,2022-12-21,147,fetched
ALZN,2022-12-26,0,fetched
ALZN,2022-12-29,265,fetched
ALZN,2023-02-20,0,fetched
ALZN,2023-03-21,164,fetched
ALZN,2023-03-24,67,fetched
ALZN,2023-05-29,0,fetched
ALZN,2023-12-28,56,fetched
ALZN,2024-01-10,59,fetched
AM,2022-05-13,392,fetched
AM,2023-03-16,392,fetched
AM,2023-08-23,392,fetched
AMAL,2022-08-16,257,fetched
AMAL,2023-05-08,173,fetched
AMAL,2023-11-27,98,fetched
AMBA,2022-03-14,363,fetched
AMC,2023-03-07,721,fetched
AMG,2022-02-16,185,fetched
AMG,2022-02-24,200,fetched
AMG,2023-03-17,298,fetched
AMH,2021-03-10,359,fetched
AMH,2021-05-13,391,fetched
AMH,2022-03-17,400,fetched
AMH,2022-05-17,398,fetched
AMH,2022-05-20,401,fetched
AMH,2022-09-12,397,fetched
AMH,2022-11-23,378,fetched
AMH,2022-11-24,0,fetched
AMH,2023-03-06,382,fetched
AMH,2023-03-08,384,fetched
AMH,2023-05-26,383,fetched
AMH,2023-08-15,392,fetched
AMH,2023-09-15,390,fetched
AMH,2023-12-19,394,fetched
AMKR,2022-01-04,386,fetched
AMLX,2022-01-11,330,fetched
AMLX,2022-01-14,211,fetched
AMLX,2023-03-21,371,fetched
AMLX,2023-12-20,373,fetched
AMPE,2023-05-15,138,fetched
AMPE,2023-05-16,278,fetched
AMPE,2023-05-18,75,fetched
AMPE,2023-06-09,132,fetched
AMPE,2023-06-13,60,fetched
AMPG,2021-05-24,198,fetched
AMPG,2021-09-10,50,fetched
AMPG,2021-09-17,83,fetched
AMPG,2021-12-03,159,fetched
AMPG,2021-12-31,106,fetched
AMPG,2022-01-26,107,fetched
AMPG,2022-04-08,293,fetched
AMPG,2022-04-11,238,fetched
AMPG,2022-04-15,0,fetched
AMPG,2022-04-18,43,fetched
AMPG,2022-04-28,19,fetched
AMPG,2022-09-20,29,fetched
AMPG,2022-09-30,31,fetched
AMPL,2022-02-24,451,fetched
AMPY,2021-08-25,147,fetched
AMPY,2021-09-01,177,fetched
AMPY,2022-12-23,325,fetched
AMPY,2023-03-16,392,fetched
AMPY,2023-09-14,294,fetched
AMPY,2023-09-22,271,fetched
AMR,2021-08-20,148,fetched
AMRN,2021-06-08,431,fetched
AMRN,2021-12-17,412,fetched
AMRN,2022-06-16,373,fetched
AMSF,2021-05-13,134,fetched
AMSF,2021-08-24,56,fetched
AMSF,2021-08-27,70,fetched
AMST,2021-12-06,66,fetched
AMST,2021-12-09,80,fetched
AMST,2021-12-16,79,fetched
AMT,2022-05-04,388,fetched
AMTB,2022-05-04,143,fetched
AMTB,2022-05-25,96,fetched
AMTB,2022-05-26,84,fetched
AMTX,2021-12-22,363,fetched
AMWD,2021-09-16,186,fetched
AMWD,2021-11-30,191,fetched
AMWD,2022-04-04,169,fetched
AMWD,2022-06-08,83,fetched
AMZN,2023-05-29,0,fetched
ANAB,2021-03-11,368,fetched
ANAB,2021-04-28,252,fetched
ANAB,2022-05-09,231,fetched
ANEB,2021-12-03,20,fetched
ANEB,2021-12-06,4,fetched
ANEB,2021-12-16,12,fetched
ANEB,2021-12-22,1,fetched
ANF,2021-03-17,393,fetched
ANF,2021-08-31,397,fetched
ANF,2021-09-03,383,fetched
ANIK,2021-05-21,78,fetched
ANIP,2021-03-18,114,fetched
