candidate,arm_gain_pct,trail_drawdown_pct,reentry_mode,val_n_trades,val_n_stopped,val_stop_rate_pct,val_n_reentered,val_reentry_rate_among_stopped_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_stopped,test_stop_rate_pct,test_n_reentered,test_reentry_rate_among_stopped_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
trail_after_2_dd_0.5_stay_out,2.0,0.5,stay_out,5902,2107,35.6997627922738,0,0.0,0.3741595404947475,0.5566197793099132,0.18246023881516577,49.06811250423585,61.809556082683834,12.741443578447985,5961,2189,36.722026505619866,0,0.0,0.4984621922496225,0.7384994267883269,0.2400372345387044,51.63563160543533,65.64334843147122,14.007716826035896
trail_after_2_dd_1_stay_out,2.0,1.0,stay_out,5902,1961,33.22602507624534,0,0.0,0.3741595404947475,0.5047617482188357,0.1306022077240882,49.06811250423585,60.5557438156557,11.487631311419854,5961,2010,33.71917463512833,0,0.0,0.4984621922496225,0.6827656788798476,0.1843034866302251,51.63563160543533,64.09998322429122,12.464351618855893
trail_after_1_dd_0.5_stay_out,1.0,0.5,stay_out,5902,3113,52.74483226025076,0,0.0,0.3741595404947475,0.47194829456977366,0.09778875407502619,49.06811250423585,66.401219925449,17.33310742121315,5961,3317,55.645026002348594,0,0.0,0.4984621922496225,0.5632397671056598,0.0647775748560373,51.63563160543533,71.11222949169603,19.4765978862607
trail_after_2_dd_1.5_stay_out,2.0,1.5,stay_out,5902,1803,30.548966452050152,0,0.0,0.3741595404947475,0.4417329454408023,0.06757340494605485,49.06811250423585,58.53947814300238,9.471365638766528,5961,1798,30.162724375104847,0,0.0,0.4984621922496225,0.624305144185182,0.1258429519355595,51.63563160543533,61.58362690823688,9.947995302801552
trail_after_1_dd_1_stay_out,1.0,1.0,stay_out,5902,2810,47.610979329041,0,0.0,0.3741595404947475,0.40740371308021694,0.03324417258546947,49.06811250423585,59.86106404608608,10.792951541850229,5961,2972,49.85740647542359,0,0.0,0.4984621922496225,0.4981459518139856,-0.0003162404356369386,51.63563160543533,63.0263378627747,11.390706257339374
trail_after_2_dd_2_stay_out,2.0,2.0,stay_out,5902,1615,27.36360555743816,0,0.0,0.3741595404947475,0.3917768088673041,0.017617268372556616,49.06811250423585,55.032192477126394,5.964079972890545,5961,1609,26.99211541687636,0,0.0,0.4984621922496225,0.5784965907676053,0.08003439851798277,51.63563160543533,57.72521389028687,6.089582284851538
trail_after_0.5_dd_0.5_stay_out,0.5,0.5,stay_out,5902,3875,65.65570992883768,0,0.0,0.3741595404947475,0.3832356520914282,0.009076111596680703,49.06811250423585,62.06370721789224,12.995594713656388,5961,4136,69.38433148800537,0,0.0,0.4984621922496225,0.4345465586312224,-0.06391563361840014,51.63563160543533,66.1633954034558,14.527763798020466
trail_after_1_dd_1.5_stay_out,1.0,1.5,stay_out,5902,2493,42.23991867163674,0,0.0,0.3741595404947475,0.33526283798689127,-0.03889670250785621,49.06811250423585,52.28736021687563,3.2192477126397847,5961,2587,43.398758597550746,0,0.0,0.4984621922496225,0.4192484669668171,-0.0792137252828054,51.63563160543533,54.13521221271599,2.499580607280663
trail_after_0.5_dd_1_stay_out,0.5,1.0,stay_out,5902,3445,58.370044052863435,0,0.0,0.3741595404947475,0.31013379722421747,-0.06402574327053001,49.06811250423585,51.25381226702813,2.1856997627922823,5961,3614,60.62741150813622,0,0.0,0.4984621922496225,0.38092033814899623,-0.11754185410062629,51.63563160543533,53.464183861768156,1.8285522563328271
trail_after_1_dd_2_stay_out,1.0,2.0,stay_out,5902,2177,36.885801423246356,0,0.0,0.3741595404947475,0.27807950389059877,-0.09608003660414871,49.06811250423585,49.05116909522196,-0.016943409013890687,5961,2217,37.19174635128334,0,0.0,0.4984621922496225,0.3796166504252046,-0.11884554182441792,51.63563160543533,50.578761952692496,-1.056869652742833
trail_after_0.5_dd_1.5_stay_out,0.5,1.5,stay_out,5902,2982,50.5252456794307,0,0.0,0.3741595404947475,0.24733146999125838,-0.1268280705034891,49.06811250423585,47.20433751270755,-1.8637749915282953,5961,3077,51.61885589666163,0,0.0,0.4984621922496225,0.33024928268681925,-0.16821290956280327,51.63563160543533,49.13605099815467,-2.499580607280656
trail_after_2_dd_0.5_reclaim_entry_else_close,2.0,0.5,reclaim_entry_else_close,5902,2107,35.6997627922738,2107,100.0,0.3741595404947475,0.1992459518755238,-0.17491358861922368,49.06811250423585,48.508980006777364,-0.559132497458485,5961,2189,36.722026505619866,2189,100.0,0.4984621922496225,0.3802779339686459,-0.11818425828097662,51.63563160543533,51.11558463345076,-0.52004697198457
trail_after_0.5_dd_2_stay_out,0.5,2.0,stay_out,5902,2547,43.15486275838698,0,0.0,0.3741595404947475,0.1966435518715221,-0.17751598862322537,49.06811250423585,45.747204337512706,-3.320908166723143,5961,2601,43.63361852038249,0,0.0,0.4984621922496225,0.28498266757016577,-0.21347952467945674,51.63563160543533,47.290723033048145,-4.344908572387183
trail_after_2_dd_1_reclaim_entry_else_close,2.0,1.0,reclaim_entry_else_close,5902,1961,33.22602507624534,1961,100.0,0.3741595404947475,0.1928681939082108,-0.18129134658653667,49.06811250423585,48.11928159945781,-0.9488309047780419,5961,2010,33.71917463512833,2010,100.0,0.4984621922496225,0.3692674245822424,-0.12919476766738014,51.63563160543533,51.08203321590338,-0.553598389531949
