ticker,entry_time,exit_time,invested_eur,ret_pct,proceeds_eur,pnl_eur
SOFI,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,2.868174296745729,734.7726735481837,20.48695926246944
SXC,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,6.260575296108284,759.0041092579163,44.71839497220208
ABCL,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,-1.6574585635359185,702.4467245461719,-11.838989739542285
RBCAA,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,-2.637454646943904,695.4467525218292,-18.83896176388498
COFS,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,1.8717504332755652,727.6553602376825,13.369645951968323
PKBK,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,0.9074410163339319,720.7674358309566,6.481721545242408
TPL,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,714.2857142857142,0.9895171838568473,721.353694170406,7.067979884691795
ACOG,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,3.062117235345574,161.03455818022752,4.784558180227464
MQ,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-2.682926829268284,152.05792682926835,-4.192073170731703
DLPN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,1.8518518518518379,159.14351851851856,2.893518518518505
NOW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,5.093319379033678,164.20831152974017,7.958311529740115
BCAX,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,2.0122973728339932,159.39421464505318,3.1442146450531254
UUU,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,10.944206008583679,173.35032188841205,17.100321888411997
TFIN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-5.953351818626662,146.94788778339588,-9.302112216604172
INFU,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,3.683640303358615,162.0056879739979,5.755687973997851
HRI,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-8.552537013080341,142.88666091706202,-13.36333908293804
CTEV,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,2.7900146842878115,160.60939794419977,4.3593979441997135
ACIW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,0.6168446026097119,157.21381969157773,0.9638196915776689
HOG,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,0.5857294994675133,157.16520234291804,0.9152023429179792
ACIW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,0.6168446026097119,157.21381969157773,0.9638196915776689
MELI,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,0.18662563751887795,156.5416025586233,0.29160255862325357
TBBK,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-5.211902614968444,148.10640216411187,-8.143597835888187
ZURA,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,0.6917755572636519,157.3308993082245,1.0808993082244456
TNC,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-1.5639961698052929,153.8062559846793,-2.4437440153207604
KFS,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-6.978653530377665,145.34585385878495,-10.904146141215108
CSGP,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,2.5336584331601797,160.20884130181284,3.9588413018127824
LFVN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-4.564315352697113,149.1182572614108,-7.131742738589253
TNC,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-1.5639961698052929,153.8062559846793,-2.4437440153207604
GENB,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,1.398026315789469,158.4344161184211,2.1844161184210407
XMTR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,1.9659239842725995,159.321756225426,3.071756225425929
CTEV,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,2.7900146842878115,160.60939794419977,4.3593979441997135
LAW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,7.025761124121788,167.22775175644034,10.977751756440284
ISPR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-15.315315315315326,132.31981981981986,-23.9301801801802
EOSE,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,1.906845889340425,159.22944670209446,2.979446702094407
EDSA,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-26.790024135156887,114.3905872888174,-41.85941271118266
LRMR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-8.137432188065096,143.53526220614833,-12.714737793851725
EHTH,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,1.0790028525362594,157.93594195708798,1.6859419570879197
FOUR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-1.1222199551111922,154.4965313201388,-1.7534686798612427
PCB,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,156.25000000000006,-2.328705776981632,152.61139722346624,-3.6386027765338156
