trade_day,n_picks,mean_pred_mean4,mean_ret_pct
2025-03-12,1,0.6818978474869238,-5.287009063444115
2025-03-13,2,0.8358056463484358,-4.038261027245121
2025-03-14,7,1.14657226310059,3.0770027149950474
2025-03-17,1,0.9693150151137983,-6.689320388349518
2025-03-18,5,0.936266998127224,0.7338437299394229
2025-03-19,3,0.8334519947500086,0.1952208016665217
2025-03-20,3,1.0224382228412545,4.090378073848167
2025-03-21,2,1.1378028614448144,-12.926332926332922
2025-03-24,2,1.4560180760967487,-4.581877405981633
2025-03-25,3,1.6765704871668266,7.560807765243034
2025-03-26,1,1.2501385506422127,1.5037593984962516
2025-03-27,1,0.8156101126920003,-4.253409906676254
2025-03-31,3,1.5418288577872656,18.35941963569508
2025-04-01,1,1.1390530633695228,4.716981132075482
2025-04-02,6,0.834125179450253,18.152203918146757
2025-04-04,4,1.573462950972288,0.22277568823700644
2025-04-07,5,1.1220736480086742,6.10752107164207
2025-04-08,5,1.5404348806259773,-4.79664350092613
2025-04-09,3,1.701927436263767,10.259679928872956
2025-04-10,1,1.1659742876455965,13.508771929824537
2025-04-11,3,1.0790555825255572,1.968819389280771
2025-04-14,1,1.3700101940134948,3.703703703703698
2025-04-15,1,0.6352492414600746,-6.898430149061552
2025-04-22,2,1.7192558299378127,-0.6941023295094664
2025-04-23,2,0.718710893612512,-0.1339164867188769
2025-04-28,1,1.19164401363544,29.02407039214856
2025-04-29,4,0.9139243056592743,-2.734375
2025-05-01,1,1.6761067318981708,0.9592326139088669
2025-05-06,1,1.105784733605878,4.27553444180524
2025-05-07,4,1.1673957298989097,3.1103772348061467
2025-05-08,3,1.2067239214865981,10.954010957569958
2025-05-12,1,1.1872215505322672,63.19733555370526
2025-05-13,3,1.1229116247740674,8.722106163743522
2025-05-14,2,0.63839721960435,6.470930232558136
2025-05-15,5,1.0701857695213541,4.950769169313598
2025-05-16,4,0.901817963884278,-1.7133473903864687
2025-05-19,5,1.1093757597410796,3.565140165475107
2025-05-20,3,1.042679441520934,-5.52302004072972
2025-05-21,5,1.2533504088652574,6.020330338176771
2025-05-22,5,0.9402505405072799,0.15720506734126616
2025-05-23,5,1.0279835954789525,0.8854275308076922
2025-05-27,2,0.7391862327992347,-0.42867899938510146
2025-05-28,5,0.9880153947712731,9.507172670829824
2025-05-29,2,1.220131531455603,3.6956179506168807
2025-05-30,1,2.097649303577282,8.69565217391306
2025-06-02,1,0.7315540306686299,7.038834951456319
2025-06-03,2,1.2054775757188394,7.8620824311446675
2025-06-04,3,0.9728650542196439,8.260911174746854
2025-06-05,3,0.8512185333833351,10.496143832602852
