timestamp,cash_eur,invested_eur,budget_eur
2025-03-12 09:44:00-04:00,10000.0,0.0,10000.0
2025-03-12 09:45:00-04:00,7500.0,2500.0,10000.0
2025-03-13 09:45:00-04:00,2500.0,7500.0,10000.0
2025-03-13 12:30:28-04:00,0.0,10000.0,10000.0
2025-03-14 09:30:00-04:00,2367.824773413897,7500.0,9867.824773413897
2025-03-14 09:45:00-04:00,0.0,9867.824773413897,9867.824773413897
2025-03-14 15:36:42-04:00,0.0,9867.824773413897,9867.824773413897
2025-03-17 09:30:00-04:00,7610.021849180239,2367.824773413897,9977.846622594136
2025-03-17 09:45:00-04:00,2621.0985378831706,7356.7480847109655,9977.846622594136
2025-03-18 09:30:00-04:00,5354.963855979409,4988.923311297068,10343.887167276476
2025-03-18 09:45:00-04:00,0.0,10343.887167276476,10343.887167276476
2025-03-18 11:07:56-04:00,0.0,10343.887167276476,10343.887167276476
2025-03-19 09:30:00-04:00,4876.423823485802,5354.963855979409,10231.387679465211
2025-03-19 09:45:00-04:00,0.0,10231.387679465211,10231.387679465211
2025-03-20 09:30:00-04:00,5379.471566301117,4876.423823485802,10255.895389786918
2025-03-20 09:45:00-04:00,0.0,10255.895389786918,10255.895389786918
2025-03-20 10:57:03-04:00,0.0,10255.895389786918,10255.895389786918
2025-03-21 09:30:00-04:00,4843.63149667799,5379.471566301117,10223.103062979106
2025-03-21 09:45:00-04:00,0.0,10223.103062979106,10223.103062979106
2025-03-24 09:30:00-04:00,5759.840238187528,4843.63149667799,10603.471734865518
2025-03-24 09:45:00-04:00,458.10437075476875,10145.367364110749,10603.471734865518
2025-03-25 09:30:00-04:00,4639.015105920894,5301.735867432759,9940.750973353654
2025-03-25 09:45:00-04:00,0.0,9940.750973353654,9940.750973353654
2025-03-26 09:30:00-04:00,5058.816829598033,4639.015105920894,9697.831935518927
2025-03-26 09:45:00-04:00,2634.3588457183014,7063.4730898006255,9697.831935518927
2025-03-27 09:30:00-04:00,7789.223155704388,2424.4579838797317,10213.68113958412
2025-03-27 09:45:00-04:00,5235.802870808358,4977.878268775761,10213.68113958412
2025-03-28 09:45:00-04:00,2682.3825859123285,7531.2985536717915,10213.68113958412
2025-03-31 09:30:00-04:00,7588.111438126425,2553.42028489603,10141.531723022455
2025-03-31 09:45:00-04:00,2517.345576615198,7624.186146407257,10141.531723022455
2025-03-31 10:56:15-04:00,0.0,10141.531723022455,10141.531723022455
2025-04-01 09:30:00-04:00,2489.4782076448773,7588.111438126425,10077.589645771302
2025-04-01 09:45:00-04:00,0.0,10077.589645771302,10077.589645771302
2025-04-02 09:30:00-04:00,9223.766959514176,2489.4782076448773,11713.245167159053
2025-04-02 09:45:00-04:00,0.0,11713.245167159053,11713.245167159053
2025-04-03 09:30:00-04:00,2606.906424986617,9223.766959514176,11830.673384500793
2025-04-03 09:45:00-04:00,0.0,11830.673384500793,11830.673384500793
2025-04-04 09:30:00-04:00,13217.799933805005,2606.906424986617,15824.706358791622
2025-04-04 09:45:00-04:00,0.0,15824.706358791624,15824.706358791624
2025-04-07 09:30:00-04:00,2582.078744748649,13217.799933805007,15799.878678553656
2025-04-07 09:45:00-04:00,0.0,15799.878678553654,15799.878678553654
2025-04-07 12:34:57-04:00,0.0,15799.878678553654,15799.878678553654
2025-04-08 09:30:00-04:00,13661.584897572235,2582.078744748649,16243.663642320884
2025-04-08 09:45:00-04:00,0.0,16243.663642320884,16243.663642320884
2025-04-08 09:45:55-04:00,0.0,16243.663642320884,16243.663642320884
2025-04-08 11:45:03-04:00,0.0,16243.663642320884,16243.663642320884
2025-04-09 09:30:00-04:00,2650.5828747113683,13661.584897572235,16312.167772283603
2025-04-09 09:45:00-04:00,0.0,16312.167772283603,16312.167772283603
2025-04-09 10:57:04-04:00,0.0,16312.167772283603,16312.167772283603
2025-04-10 09:30:00-04:00,12738.199905498632,2650.5828747113683,15388.78278021
2025-04-10 09:45:00-04:00,8891.004210446132,6497.778569763868,15388.78278021
2025-04-10 10:03:55-04:00,5043.808515393632,10344.974264816368,15388.78278021
2025-04-11 09:30:00-04:00,8144.6938723804815,7694.391390105,15839.085262485482
2025-04-11 09:45:00-04:00,0.0,15839.085262485482,15839.085262485482
2025-04-14 09:30:00-04:00,4029.9157381814075,11991.889567432981,16021.805305614389
2025-04-14 09:45:00-04:00,24.464411777810255,15997.34089383658,16021.805305614389
2025-04-15 09:30:00-04:00,12403.634089574985,4005.4513264035972,16409.08541597858
2025-04-15 09:45:00-04:00,96.82002759104944,16312.265388387534,16409.08541597858
2025-04-16 09:30:00-04:00,4250.6214031207055,12306.814061983936,16557.43546510464
2025-04-17 09:30:00-04:00,16017.585053579462,0.0,16017.585053579462
2025-04-22 09:45:00-04:00,8008.792526789732,8008.792526789731,16017.585053579463
2025-04-22 13:15:36-04:00,4004.396263394866,12013.188790184597,16017.585053579463
2025-04-23 10:58:56-04:00,0.0,16017.585053579463,16017.585053579463
2025-04-23 11:01:08-04:00,0.0,16017.585053579463,16017.585053579463
2025-04-24 09:30:00-04:00,12471.925700264223,4004.396263394866,16476.321963659087
2025-04-24 09:45:00-04:00,8352.84520934945,8123.476754309638,16476.321963659087
