scenario,n_trades,avg_ret_pct,median_ret_pct,win_rate_pct,std_ret_pct,sum_ret_pct,avg_hold_hours,median_hold_hours,avg_hold_days,avg_ret_per_24h_linear_pct,median_ret_per_24h_linear_pct,avg_ret_per_24h_comp_pct
same_day_14_00,447,1.506706651843613,0.5291005291005346,53.691275167785236,7.455290457639054,673.497873374095,4.077300521998509,4.25,0.16988752174993782,9.997802150384455,3.018621822120296,47.68325130703537
same_day_15_00,442,1.4741880983287272,0.8617488959117625,56.334841628959275,7.406395836758143,651.5911394612974,5.0383924082453495,5.25,0.2099330170102229,8.3294379945678,4.291120977152283,15.792944394480429
same_day_15_30,427,1.2960352765157193,0.540540540540535,52.92740046838408,7.284042620884374,553.4070630722122,5.508188914910225,5.75,0.22950787145459278,8.493693873658952,2.2561692126909287,7719.38715876676
same_day_close,477,1.3887260675514175,0.591715976331364,54.71698113207547,8.23245219873147,662.4223342220262,5.939969718145818,6.25,0.24749873825607577,7.869370615390117,2.9515620988680933,303.2628148639595
next_day_open,477,2.393716967164497,1.1235955056179803,58.700209643605874,12.376538286430801,1141.802993337465,34.15695085022129,23.75,1.423206285425887,2.2469879744237247,0.7939879316952376,2.2440404564241967
next_day_10_30,471,2.3144973850050024,0.956844366334697,57.961783439490446,10.863088519025453,1090.128268337356,35.03541578202406,24.75,1.4598089909176692,2.0226550618311623,0.5818181818181823,1.9937807208495002
next_day_12_00,469,2.4756548536231167,1.0391409767925186,55.223880597014926,12.005760655838404,1161.0821263492417,36.579276830135036,26.25,1.52413653458896,2.047687126245778,0.5680809515355948,1.9876326263726383
next_day_14_00,452,2.6032267533059787,1.4226250801464446,58.4070796460177,10.760927101590829,1176.6584924943024,38.5473494346116,28.25,1.6061395597754835,2.058943692436541,0.9678659863304517,1.9831151540605167
next_day_15_30,431,2.244275357041266,1.4435695538057791,57.076566125290014,9.850548371269369,967.2826788847857,40.24876965712812,29.75,1.6770320690470053,1.6413176443831956,0.9118945242000299,1.563720000556207
next_day_close,477,2.8091208836580392,1.0632698178755673,55.9748427672956,11.258502669334694,1339.9506615048847,40.65695085022129,30.25,1.6940396187592206,2.0120021583473866,0.6347107438016534,1.9111011081701605
second_day_close,474,2.932226522627661,1.2276551185496531,55.907172995780584,12.990722473635948,1389.8753717255113,76.82408345053913,54.25,3.201003477105797,0.9169740643772281,0.33524166420951484,0.755601516216003
