segment,k,n,sum_ret,avg_ret,win_rate,n_stopped
Biotech_large_low,none,29,-7.466528000000001,-0.2574664827586207,51.724137931034484,0
Biotech_large_low,0.5,29,-13.95592222002917,-0.48123869724238516,34.48275862068966,17
Biotech_large_low,0.75,29,-33.712569868113775,-1.1625024092453027,37.93103448275862,14
Biotech_large_low,1.0,29,-36.50218334814541,-1.2586959775222555,41.37931034482759,10
Biotech_large_low,1.25,29,-18.252674027585677,-0.6294025526753682,48.275862068965516,5
Biotech_large_low,1.5,29,-24.11592229386515,-0.8315835273746603,48.275862068965516,4
Biotech_large_low,1.75,29,-30.285259342842675,-1.0443192876842302,48.275862068965516,4
Biotech_large_low,2.0,29,-36.4545963918202,-1.2570550479938,48.275862068965516,4
Biotech_large_low,2.25,29,-30.9919212868778,-1.0686869409268207,48.275862068965516,3
Biotech_large_low,2.5,29,-33.63178563376519,-1.159716745991903,48.275862068965516,2
Biotech_large_low,2.75,29,-36.29612419714171,-1.2515904895566106,48.275862068965516,2
Biotech_large_low,3.0,29,-38.960462760518226,-1.3434642331213182,48.275862068965516,2
Biotech_large_low,3.25,29,-41.62480132389474,-1.4353379766860255,48.275862068965516,2
Biotech_large_low,3.5,29,-17.488877104965724,-0.6030647277574388,51.724137931034484,1
Biotech_large_low,3.75,29,-19.321125469606145,-0.6662457058484877,51.724137931034484,1
Biotech_large_low,4.0,29,-7.466528000000001,-0.2574664827586207,51.724137931034484,0
Biotech_micro_high,none,115,820.309944,7.133129947826086,76.52173913043478,0
Biotech_micro_high,0.5,115,339.4333232652742,2.9515941153502108,41.73913043478261,61
Biotech_micro_high,0.75,115,477.45726209985105,4.151802279129139,56.52173913043478,36
Biotech_micro_high,1.0,115,543.9966962817807,4.73040605462418,61.73913043478261,28
Biotech_micro_high,1.25,115,615.6762016413046,5.3537061012287355,67.82608695652173,20
Biotech_micro_high,1.5,115,658.3887377972859,5.725119459106834,70.43478260869566,15
Biotech_micro_high,1.75,115,686.0285962272412,5.965466054149924,71.30434782608695,10
Biotech_micro_high,2.0,115,722.1520428373321,6.279582981194193,73.91304347826086,6
Biotech_micro_high,2.25,115,718.6596002968341,6.249213915624645,73.91304347826086,5
Biotech_micro_high,2.5,115,711.7672669964824,6.189280582578108,73.91304347826086,5
Biotech_micro_high,2.75,115,704.8749336961306,6.129347249531571,73.91304347826086,5
Biotech_micro_high,3.0,115,767.7448101985907,6.676041827813832,75.65217391304347,3
Biotech_micro_high,3.25,115,762.9607860484732,6.6344416178128105,75.65217391304347,3
Biotech_micro_high,3.5,115,811.1986320032003,7.0539011478539155,76.52173913043478,2
Biotech_micro_high,3.75,115,808.3150914320004,7.028826882017395,76.52173913043478,2
Biotech_micro_high,4.0,115,805.4315508608004,7.003752616180873,76.52173913043478,2
Biotech_micro_low,none,82,117.06490000000001,1.427620731707317,47.5609756097561,0
Biotech_micro_low,0.5,82,-4.21065810988917,-0.05134948914498988,23.170731707317074,56
Biotech_micro_low,0.75,82,-3.052215714778134,-0.037222142863147976,34.146341463414636,45
Biotech_micro_low,1.0,82,42.94904611993567,0.5237688551211668,40.243902439024396,29
Biotech_micro_low,1.25,82,56.080084078772416,0.6839034643752734,41.46341463414634,22
Biotech_micro_low,1.5,82,48.583567692857265,0.5924825328397227,43.90243902439025,18
Biotech_micro_low,1.75,82,64.01552036273148,0.7806770775942863,45.1219512195122,16
Biotech_micro_low,2.0,82,89.3405795673022,1.0895192630158805,46.34146341463415,9
Biotech_micro_low,2.25,82,109.94314701994881,1.3407700856091318,47.5609756097561,4
Biotech_micro_low,2.5,82,111.86348256976639,1.3641888118264194,47.5609756097561,1
Biotech_micro_low,2.75,82,110.78154082674303,1.3509944003261345,47.5609756097561,1
Biotech_micro_low,3.0,82,109.69959908371968,1.3377999888258496,47.5609756097561,1
Biotech_micro_low,3.25,82,108.61765734069631,1.3246055773255647,47.5609756097561,1
Biotech_micro_low,3.5,82,117.06490000000001,1.427620731707317,47.5609756097561,0
Biotech_micro_low,3.75,82,117.06490000000001,1.427620731707317,47.5609756097561,0
Biotech_micro_low,4.0,82,117.06490000000001,1.427620731707317,47.5609756097561,0
Biotech_small_high,none,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,0.5,101,477.82126508449784,4.730903614697999,57.42574257425742,38
Biotech_small_high,0.75,101,501.9737952987793,4.970037577215637,61.386138613861384,27
Biotech_small_high,1.0,101,517.1202688464837,5.120002661846373,64.35643564356435,20
Biotech_small_high,1.25,101,533.6072419949876,5.283240019752353,66.33663366336634,13
Biotech_small_high,1.5,101,535.5545363828023,5.302520162205964,66.33663366336634,8
Biotech_small_high,1.75,101,541.4920669373978,5.361307593439582,67.32673267326733,6
Biotech_small_high,2.0,101,538.0523055223376,5.327250549726116,67.32673267326733,5
Biotech_small_high,2.25,101,566.6168619917206,5.610067940512085,68.31683168316832,2
Biotech_small_high,2.5,101,564.6310195463561,5.590406134122338,68.31683168316832,2
Biotech_small_high,2.75,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,3.0,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,3.25,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,3.5,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,3.75,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_high,4.0,101,573.3038439999999,5.676275683168316,68.31683168316832,0
Biotech_small_low,none,114,158.96339999999998,1.394415789473684,51.75438596491229,0
Biotech_small_low,0.5,114,-23.596802554165713,-0.20698949608917291,29.82456140350877,73
