delay,n_trades,avg_ret,median_ret,win_rate,std_ret,sum_ret,pct_diff_bd
1m,17447,1.146892468619247,0.2545,52.57064251733823,16.97766959019996,20009.8329,0.9285263942225024
5m,17472,1.0393900641025642,0.1793,51.80288461538461,16.9173064801948,18160.2232,0.6467490842490842
10m,17486,0.9865718917991537,0.1442,51.46402836554959,16.822578863432394,17251.1961,0.33169392656982727
15m,17514,0.957061687792623,0.1475,51.376042023524036,16.917296233199558,16761.9784,0.0
30m,17445,0.869631418744626,0.0997,50.9658928059616,17.003734425686595,15170.7201,0.8426483233018056
60m,17348,0.7952666128660364,0.05355,50.44385519944662,15.639771961375263,13796.2852,3.2568595803550844
