signal,threshold_pct,val_n_trades,val_n_flagged,val_flag_rate_pct,val_loser_precision_pct,val_loser_recall_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,test_n_trades,test_n_flagged,test_flag_rate_pct,test_loser_precision_pct,test_loser_recall_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct
ret_15m_pct,-5.0,4918,84,1.7080113867425781,69.04761904761905,2.399669011170873,0.34572815697437975,0.26589351040494547,-0.07983464656943429,5273,66,1.2516593969277452,57.57575757575758,1.5529219452390683,0.5126342393324483,0.42935903578084594,-0.0832752035516024
ret_30m_pct,-5.0,4385,98,2.234891676168757,51.02040816326531,2.3191094619666046,0.3544249039908779,0.20002227291182134,-0.15440263107905655,4868,85,1.7460969597370584,69.41176470588235,2.6037069726390114,0.5122605513557928,0.42472226644753414,-0.08753828490825871
ret_15m_pct,-3.0,4918,228,4.636030906872712,66.22807017543859,6.247414149772445,0.34572815697437975,0.1993218185101883,-0.14640633846419146,5273,195,3.6980845818319743,57.43589743589743,4.577033101757253,0.5126342393324483,0.3344341077060705,-0.17820013162637782
ret_15m_pct,-2.0,4918,406,8.255388369255796,63.30049261083743,10.63301613570542,0.34572815697437975,0.12820820280149106,-0.2175199541728887,5273,400,7.585814526834819,52.75,8.622803432774827,0.5126342393324483,0.2279193531561392,-0.28471488617630913
ret_60m_pct,-5.0,3653,128,3.5039693402682723,60.9375,4.316546762589928,0.31841005529701605,0.09819963956502559,-0.22021041573199046,4193,113,2.6949678034819935,61.06194690265486,3.479576399394856,0.49792138802766517,0.34139516676222653,-0.15652622126543864
ret_30m_pct,-3.0,4385,297,6.7730900798175595,58.92255892255892,8.116883116883116,0.3544249039908779,0.08211765085474515,-0.27230725313613274,4868,274,5.628594905505341,60.21897810218978,7.281553398058252,0.5122605513557928,0.2963757207929789,-0.21588483056281393
ret_same_day_close_pct,-5.0,6060,345,5.693069306930694,64.05797101449275,7.514450867052023,0.37267034389438936,0.011716997300578125,-0.36095334659381123,6097,311,5.100869279973757,64.30868167202573,7.130124777183601,0.49745696703296705,0.1927959359466618,-0.30466103108630527
ret_120m_pct,-5.0,2844,113,3.9732770745428976,61.06194690265486,4.862579281183932,0.2556548059071729,0.0066117365724874646,-0.24904306933468542,3366,135,4.010695187165775,57.77777777777777,4.921135646687698,0.545291918003565,0.2702117855940135,-0.27508013240955154
ret_15m_pct,-1.0,4918,900,18.30012200081334,58.55555555555556,21.80388911874224,0.34572815697437975,-0.0008769725428383361,-0.3466051295172181,5273,914,17.33358619381756,51.42231947483589,19.207192480588475,0.5126342393324483,0.10090245130083114,-0.4117317880316172
ret_30m_pct,-2.0,4385,472,10.763968072976054,58.26271186440678,12.755102040816327,0.3544249039908779,-0.001900865664209843,-0.3563257696550877,4868,517,10.620377978635991,55.705996131528046,12.709620476610766,0.5122605513557928,0.19478059211894036,-0.31747995923685246
ret_60m_pct,-3.0,3653,306,8.37667670407884,58.82352941176471,9.96126175982291,0.31841005529701605,-0.04263752580573489,-0.3610475811027509,4193,310,7.393274505127594,60.967741935483865,9.531013615733738,0.49792138802766517,0.21733341838598272,-0.2805879696416824
