ticker,entry_time,exit_time,invested_eur,ret_pct,proceeds_eur,pnl_eur
SOFI,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,5000.0,2.868174296745729,5143.408714837286,143.40871483728642
EHTH,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,1341.0574637095024,1.0790028525362594,1355.5275119970784,14.470048287575992
LRMR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,893.1706307293028,-8.137432188065096,820.4894763299925,-72.68115439931034
EDSA,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,595.9972980399334,-26.790024135156887,436.3294780501523,-159.6678199897811
EOSE,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,487.9825628048183,1.906845889340425,497.28763824436004,9.305075439541724
ISPR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,461.023997077948,-15.315315315315326,390.41671824619016,-70.60727883175787
LAW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,382.89600599712344,7.025761124121788,409.7973647322844,26.901358735160954
CTEV,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,280.1700322408805,2.7900146842878115,287.98681728137495,7.8167850404944375
XMTR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,177.65809898489732,1.9659239842725995,181.15072216284418,3.4926231779468537
GENB,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,145.12892389415717,1.398026315789469,147.15786444201956,2.0289405478623905
TNC,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,140.71496734495275,-1.5639961698052929,138.51419064533493,-2.200776699617819
LFVN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,53.848986515444366,-4.564315352697113,51.39114895664814,-2.4578375587962284
CSGP,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,40.35103266103924,2.5336584331601797,41.37339000292288,1.022357341883641
