decile_score_threshold,raw_pred_mean4_cutoff
0.005,-1.0954734068458558
0.01,-0.7225588695329285
0.015,-0.4950515800488671
0.02,-0.35155603428798515
0.025,-0.2575596042932258
0.03,-0.20914795397347222
0.035,-0.16890493937530837
0.04,-0.15419877078474528
0.045,-0.13558096852241433
0.05,-0.12309828244180512
0.055,-0.11175291500336179
0.06,-0.09535431823938574
0.065,-0.08624999165874143
0.07,-0.07745246552318265
0.075,-0.066229580330014
0.08,-0.058536946487905514
0.085,-0.050983064974589924
0.09,-0.04597279474396151
0.095,-0.03968299439089737
0.1,-0.03399701993644322
0.105,-0.027806553061949634
0.11,-0.023719435069330424
0.115,-0.018132606820924855
0.12,-0.013316336681312007
0.125,-0.007646207455067226
0.13,-0.003429439876634566
0.135,0.0008000196453958369
0.14,0.005891432962205823
0.145,0.009783072198296584
0.15,0.01484239691801291
0.155,0.020033166515264576
0.16,0.023946690806797493
0.165,0.0273580969989737
0.17,0.03134101773633488
0.175,0.03420421524681131
0.18,0.0382843093942938
0.185,0.0413252063189621
0.19,0.044329621905665674
0.195,0.048282307963600155
0.2,0.05231259745295419
0.205,0.0568496778473577
0.21,0.060481761305581874
0.215,0.06370177035703455
0.22,0.06723266946905804
0.225,0.07105876100374908
0.23,0.07453257348639246
0.235,0.07786207889335961
0.24,0.08130040614399428
0.245,0.08507426432287024
0.25,0.08822017689856353
0.255,0.09175651939449392
0.26,0.09538600724027468
0.265,0.0976586227197322
0.27,0.09991967389130593
0.275,0.10238152693339057
0.28,0.1049136114426256
0.285,0.10719625317488198
0.29,0.1104502353561966
0.295,0.11371996746202039
0.3,0.11663741599953388
0.305,0.11919404373077404
0.31,0.12170226337650018
0.315,0.12451096981579778
0.32,0.12691878126334832
0.325,0.12928737112136923
0.33,0.1318694300338301
0.335,0.134266262931824
0.34,0.13623090282213762
0.345,0.1377909118092849
0.35,0.13999150875958213
0.355,0.14196351169799734
0.36,0.1440176895900673
0.365,0.14623645550993145
0.37,0.14863010396472986
0.375,0.15143462537040733
0.38,0.1535497341840277
0.385,0.15573293441611152
0.39,0.15818157312398734
0.395,0.1609400218576147
0.4,0.1639389956045963
0.405,0.16650552323049803
0.41,0.1701964877764957
0.415,0.17222621547809866
0.42,0.1752367483063673
0.425,0.1777955772842088
0.43,0.18026139594346746
0.435,0.18271557976072347
0.44,0.1856740609047159
0.445,0.18833147817308887
0.45,0.19097536100759605
0.455,0.19321967363168674
0.46,0.19587756554502878
0.465,0.19855949648727272
0.47,0.20081890356898346
0.475,0.20343022902810076
0.48,0.20606014885924737
0.485,0.20936554543135302
0.49,0.21244274674027758
0.495,0.215890198674227
0.5,0.21854643350524755
0.505,0.22152948776100906
0.51,0.22479113369500994
0.515,0.22782059755775902
0.52,0.23089755415074342
0.525,0.23389964873696842
0.53,0.23619781954482377
0.535,0.23981693086584221
0.54,0.24386195800063476
0.545,0.24773760854431437
0.55,0.2513784299082403
0.555,0.2549649512967049
0.56,0.25755241951635227
0.565,0.2609718849060076
0.57,0.26439324344570836
0.575,0.26803512188735834
0.58,0.27058005445651373
0.585,0.2739969852088573
0.59,0.277654056594597
0.595,0.2804342991033495
0.6,0.282814648547405
0.605,0.28566393653109057
0.61,0.28890438064070173
0.615,0.29186506281973496
0.62,0.2950331514638158
0.625,0.29809924853491543
0.63,0.3024421878752946
0.635,0.30760942269331454
0.64,0.31216916288670804
0.645,0.31660759396952903
0.65,0.3203447660325929
0.655,0.3238869231011443
0.66,0.32821926209820795
0.665,0.331886847890714
0.67,0.33649133140925225
0.675,0.3397902575014287
0.68,0.3432915219925475
0.685,0.34873471198941497
0.69,0.3541612663562381
0.695,0.3582125049017991
0.7,0.3622007751676306
0.705,0.36550369786190995
0.71,0.37014047930846355
0.715,0.3747478205937211
0.72,0.3792867961363032
0.725,0.38326917396973526
0.73,0.3881559253078653
0.735,0.3934230913293541
0.74,0.39946850324633437
0.745,0.4057569141189761
0.75,0.41218238063360546
0.755,0.41784468545192266
0.76,0.4246323683021077
0.765,0.4310397011030537
0.77,0.4380302926088093
0.775,0.4429187935496558
0.78,0.4480429097739982
0.785,0.45515895031933057
0.79,0.46310485030030896
0.795,0.4711696261708549
0.8,0.47979858059565317
0.805,0.487172703590659
0.81,0.49559763653346905
0.815,0.5023509031739055
0.82,0.5104306147015916
0.825,0.5209537813912064
0.83,0.5309950527113986
0.835,0.5404239451756836
0.84,0.5500055885553793
0.845,0.5581592902658904
0.85,0.5665430529727957
0.855,0.5762158648947215
0.86,0.5871645943981818
0.865,0.5950909620959872
0.87,0.6091125803233034
0.875,0.6279085703093543
0.88,0.6434910141247013
0.885,0.665602725145324
0.89,0.6820868675453808
0.895,0.7000293854919418
0.9,0.7173960083366158
0.905,0.7362268701934386
0.91,0.7570249301793345
0.915,0.7778209624006598
0.92,0.7977892064810521
0.925,0.8190024887052689
0.93,0.8478590918659518
0.935,0.8788506476238741
0.94,0.911715714953438
0.945,0.9704339625376625
0.95,1.0147530225471186
0.955,1.0686716116608717
0.96,1.1259989980296459
0.965,1.203754853616813
0.97,1.260750382528726
0.975,1.355934324159522
0.98,1.4942149850565614
0.985,1.6683279973424625
0.99,2.0299805412305054
0.995,2.5227208846112883
1.0,3.810402602389495
