ticker,entry_time,exit_time,invested_eur,ret_pct,proceeds_eur,pnl_eur
SOFI,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,5000.0,2.868174296745729,5143.408714837286,143.40871483728642
EHTH,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,507.13857460948475,1.0790028525362594,512.6106142958328,5.472039686348012
LRMR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,494.81155832515475,-8.137432188065096,454.5466033077371,-40.26495501741766
EDSA,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,478.084625963743,-26.790024135156887,350.00563928158175,-128.07898668216126
EOSE,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,466.6342694612515,1.906845889340425,475.5322658467271,8.897996385475608
ISPR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,462.4653154704633,-15.315315315315326,391.63729418219407,-70.82802128826921
LAW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,445.82850901219246,7.025761124121788,477.1513550786229,31.32284606643043
CTEV,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,421.4539676881574,2.7900146842878115,433.21259527417055,11.758627586013176
XMTR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,388.10508016137675,1.9659239842725995,395.73493101644965,7.6298508550729025
GENB,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,371.7762725345909,1.398026315789469,376.9738026604856,5.19753012589473
TNC,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,369.43854391961514,-1.5639961698052929,363.66053924292794,-5.778004676687203
LFVN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,303.1447828885973,-4.564315352697113,289.3082990223127,-13.836483866284595
CSGP,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,291.1184999653732,2.5336584331601797,298.4944483902353,7.375948424862088
