strategy,min_decile_score,min_alloc_fraction,max_alloc_fraction,w_score,w_price_edge,w_risk_quality,w_range_risk,w_sd_risk,w_vol_risk,w_mom_risk,raw_pred_mean4_cutoff,n_trades,return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,std_trade_ret_pct,sharpe_trade,sortino_trade,cvar5_trade_ret_pct,objective_val,avg_alloc_fraction,p95_alloc_fraction,max_alloc_fraction_realized,avg_sizing_signal
cfg_046,0.9,0.08,0.3,0.6,0.2,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,591,3128.0590141590296,-7.236668506607269,60.74450084602368,3.5270081285956,8.68408271461987,0.40614630750324315,0.9720853026408165,-11.742790000000001,3124.440679905726,0.17836838236880975,0.2557103496775074,0.2621827401095282,0.44712901076731715
cfg_076,0.9,0.05,0.4,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,566,3110.4003387967437,-6.984538475782842,60.42402826855123,3.510313279151943,8.629398545356544,0.406785393060891,0.9746039007091936,-11.572886206896552,3106.9080695588523,0.21447440190657685,0.3466884102040873,0.35636052916044686,0.46992686259021943
cfg_074,0.9,0.05,0.3,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,611,3105.808084604123,-7.3489593701404505,60.392798690671036,3.5043489361702123,8.659162502522173,0.4046983683640875,0.9608172549528982,-11.794096774193546,3102.1336049190527,0.1643013037075277,0.2617544435675303,0.26882894940031915,0.4572052148301108
cfg_031,0.9,0.08,0.35,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,566,3104.240323654013,-7.0814647665047525,60.95406360424028,3.5433410106007064,8.67777389136568,0.4083237308275921,0.9903635324909916,-11.572886206896552,3100.6995912707607,0.20327921216058478,0.2960139090218378,0.3068466803836295,0.4565896746688326
cfg_164,0.9,0.05,0.4,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,569,3101.8562521796694,-6.907499710466391,59.929701230228474,3.499241841827767,8.714448831909571,0.4015448262217851,0.9641402183951854,-11.741837931034482,3098.402502324436,0.20970360422729117,0.34446534460820455,0.35390720015101174,0.45629601207797466
cfg_035,0.9,0.05,0.35,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,587,3097.6249205175227,-7.095329178944421,60.98807495741057,3.5997747938671196,8.671587713070132,0.41512291785291044,0.9951383404254746,-11.631566666666664,3094.0772559280504,0.1846109308446894,0.28964444298777225,0.3074310092402657,0.4487031028156314
cfg_091,0.9,0.05,0.35,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,577,3093.400016180447,-7.0326202553883,60.65857885615251,3.5407719445407273,8.66440757157665,0.4086571315223134,0.9769650949056045,-11.741837931034482,3089.883706052753,0.18895027607506504,0.3028611959053675,0.31053821312019525,0.4631675869168834
cfg_015,0.9,0.08,0.35,0.5,0.2,0.3,0.25,0.2,0.4,0.15,0.7129917140924689,573,3090.004127710113,-7.122821286320691,61.60558464223386,3.6252143176265266,8.686185672638517,0.41735399797473255,1.0056387843278505,-11.572886206896552,3086.442717066953,0.1955791646552617,0.2743022869369873,0.29759080106498,0.428070980204673
cfg_162,0.9,0.05,0.3,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,614,3088.051890466016,-7.432100522558882,60.09771986970684,3.47609364169381,8.697936931556368,0.39964576301794524,0.9437434608476921,-11.939696774193546,3084.3358402047365,0.16138772826437797,0.2600830350468649,0.26707657153643694,0.4455509130575118
cfg_064,0.9,0.08,0.4,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,549,3080.8702053568095,-7.137509661499197,61.20218579234973,3.523507883424407,8.646622452013357,0.40750106795792407,0.9916898708569476,-11.510014285714286,3077.30145052606,0.23016367241640118,0.3359861194709871,0.3553425489067459,0.46926147630125375
cfg_047,0.9,0.08,0.35,0.6,0.2,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,568,3080.6851479080374,-7.069026290249248,61.09154929577465,3.5434082957746473,8.664581961077706,0.40895317416259,0.9903823386917917,-11.572886206896552,3077.150634762913,0.20230240437884245,0.2956510971239542,0.3035879083162391,0.452971868069787
cfg_007,0.9,0.08,0.35,0.5,0.2,0.3,0.3,0.2,0.3,0.2,0.7129917140924689,572,3078.412746541647,-7.117923808179882,61.18881118881119,3.558361552447552,8.679582326237899,0.4099692149575932,0.9912271447816883,-11.572886206896552,3074.853784637557,0.19521461841105206,0.27624275939045306,0.2903289591660656,0.42672080892982245
cfg_111,0.9,0.08,0.35,0.5,0.3,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,564,3076.658673552076,-7.068917828233623,61.347517730496456,3.5367624397163113,8.657046471579248,0.40854146403480296,0.9872740062208121,-11.572886206896552,3073.124214637959,0.2083503527570109,0.29621728848299794,0.31295264296389447,0.4753716768778182
cfg_110,0.9,0.08,0.3,0.5,0.3,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,589,3066.3191853474236,-7.127180138670852,60.78098471986417,3.5361482308998298,8.600717986483042,0.4111457016097108,0.9884424983635633,-11.519449999999999,3062.755595278088,0.1837400879006233,0.2561249763823779,0.2698132646372473,0.4715458540937423
cfg_059,0.9,0.05,0.35,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,582,3064.774247924318,-7.093734240509553,61.16838487972509,3.5608190859106523,8.64337472869034,0.4119709254408543,0.9826120636351703,-11.631566666666664,3061.227380804063,0.18795166153852985,0.2899648474676098,0.3081336396000742,0.4598388717950994
cfg_090,0.9,0.05,0.3,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,612,3051.743094669726,-7.364266248176454,60.29411764705882,3.482299509803921,8.659219678550137,0.4021493435984734,0.956849386313822,-11.794096774193546,3048.060961545638,0.16340617515605202,0.2604520632720592,0.26711517760016273,0.453624700624208
cfg_023,0.9,0.08,0.35,0.5,0.2,0.3,0.35,0.25,0.25,0.15,0.7129917140924689,575,3049.1600727405153,-7.099061900879267,61.21739130434782,3.5830005286956514,8.691995506408272,0.41221840554957073,0.9974642874334136,-11.572886206896552,3045.610541790076,0.19395709113134904,0.2736690661905223,0.28912467889775345,0.42206330048647794
