event_key,ticker,trade_date,transaction_date,scored_at,scored_at_et,entry_day,entry_dt_et,entry_price,entry_price_source,exit_dt_et,exit_open_price,ret_2d_open_pct,pred_mean4,estimated_decile_score,equal_weight_raw,score_weight_raw,advice_weight_raw
GENB|2026-03-02,GENB,2026-03-02,2026-03-02 17:47:29,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,12.16,minute_close_at_or_after,2026-03-06 09:30:00-0500,12.33,1.398026315789469,0.8326831683448644,0.9273704591222012,1.0,999.8326831683448,0.36032780600423303
TNC|2026-02-26,TNC,2026-02-26,2026-03-02 17:39:23,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,62.66,minute_close_at_or_after,2026-03-06 09:30:00-0500,61.68,-1.5639961698052929,0.8258834840729204,0.9261922739709411,1.0,999.825883484073,0.3580620653287328
LFVN|2026-02-26,LFVN,2026-02-26,2026-03-02 18:44:28,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.82,minute_close_at_or_after,2026-03-06 09:30:00-0500,4.6,-4.564315352697113,0.6920667513912506,0.8927810711616935,1.0,999.6920667513913,0.29380975223402594
CSGP|2026-02-27,CSGP,2026-02-27,2026-03-02 16:00:49,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,47.165,minute_close_at_or_after,2026-03-06 09:30:00-0500,48.36,2.5336584331601797,0.6712732017710659,0.8867199792649578,1.0,999.6712732017711,0.2821538062787651
ZURA|2026-02-26,ZURA,2026-02-26,2026-03-02 17:55:03,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,6.505,minute_close_at_or_after,2026-03-06 09:30:00-0500,6.55,0.6917755572636519,0.5945460933424435,0.8646562935418107,1.0,999.5945460933424,0.25
TNC|2026-03-02,TNC,2026-03-02,2026-03-02 17:39:56,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,62.66,minute_close_at_or_after,2026-03-06 09:30:00-0500,61.68,-1.5639961698052929,0.5880568134761595,0.8605628171137106,1.0,999.5880568134762,0.25
FOUR|2026-03-02,FOUR,2026-03-02,2026-03-04 06:07:24,2026-03-04 11:57:10,2026-03-04 06:57:10-0500,2026-03-04,2026-03-04 09:30:00-0500,49.01,minute_close_at_or_after,2026-03-06 09:30:00-0500,48.46,-1.1222199551111922,0.5741373374113666,0.8539255826019715,1.0,999.5741373374113,0.25
TBBK|2026-02-27,TBBK,2026-02-27,2026-03-02 16:02:13,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,55.45,minute_close_at_or_after,2026-03-06 09:30:00-0500,52.56,-5.211902614968444,0.5286215614894881,0.8288181321138401,1.0,999.5286215614894,0.25
CTEV|2026-03-02,CTEV,2026-03-02,2026-03-02 16:30:42,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,17.025,minute_close_at_or_after,2026-03-06 09:30:00-0500,17.5,2.7900146842878115,0.4973593208680362,0.8113043201374716,1.0,999.497359320868,0.25
ACOG|2026-02-26,ACOG,2026-02-26,2026-03-02 16:05:09,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,5.715,minute_close_at_or_after,2026-03-06 09:30:00-0500,5.89,3.062117235345574,0.4866612579075459,0.8046532159258399,1.0,999.4866612579076,0.25
MQ|2026-02-27,MQ,2026-02-27,2026-03-02 17:04:55,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.1,minute_close_at_or_after,2026-03-06 09:30:00-0500,3.99,-2.682926829268284,0.4458428311266328,0.7778532116066047,1.0,999.4458428311266,0.25
DLPN|2026-03-02,DLPN,2026-03-02,2026-03-02 20:15:33,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,1.62,minute_close_at_or_after,2026-03-06 09:30:00-0500,1.65,1.8518518518518379,0.4418214694202163,0.7738776476237627,1.0,999.4418214694202,0.25
NOW|2026-02-27,NOW,2026-02-27,2026-03-02 16:11:03,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,114.66,minute_close_at_or_after,2026-03-06 09:30:00-0500,120.5,5.093319379033678,0.4334390672511142,0.7667161395756604,1.0,999.4334390672511,0.25
BCAX|2026-02-26,BCAX,2026-02-26,2026-03-02 16:22:58,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,17.89,minute_close_at_or_after,2026-03-06 09:30:00-0500,18.25,2.0122973728339932,0.4089177278208113,0.7474595986101855,1.0,999.4089177278208,0.25
UUU|2026-02-26,UUU,2026-02-26,2026-03-02 16:30:27,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,4.66,minute_close_at_or_after,2026-03-06 09:30:00-0500,5.17,10.944206008583679,0.3987826111003065,0.7394327167813814,1.0,999.3987826111003,0.25
MELI|2026-02-27,MELI,2026-02-27,2026-03-02 17:18:08,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,1754.85,minute_close_at_or_after,2026-03-06 09:30:00-0500,1758.125,0.18662563751887795,0.3970316756764585,0.7379845644901124,1.0,999.3970316756764,0.25
INFU|2026-03-02,INFU,2026-03-02,2026-03-02 18:53:58,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,9.23,minute_close_at_or_after,2026-03-06 09:30:00-0500,9.57,3.683640303358615,0.3709026005075624,0.7108270726563468,1.0,999.3709026005075,0.25
HRI|2026-02-27,HRI,2026-02-27,2026-03-02 16:12:37,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,139.14,minute_close_at_or_after,2026-03-06 09:30:00-0500,127.24,-8.552537013080341,0.3591326535841079,0.6961535686161892,1.0,999.3591326535841,0.25
TFIN|2026-02-27,TFIN,2026-02-27,2026-03-02 16:15:22,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,61.31,minute_close_at_or_after,2026-03-06 09:30:00-0500,57.66,-5.953351818626662,0.3300006115165326,0.6624285040883904,1.0,999.3300006115165,0.25
ACIW|2026-03-02,ACIW,2026-03-02,2026-03-04 06:05:16,2026-03-04 11:57:10,2026-03-04 06:57:10-0500,2026-03-04,2026-03-04 09:30:00-0500,42.15,minute_close_at_or_after,2026-03-06 09:30:00-0500,42.41,0.6168446026097119,0.267807624199491,0.5746876643585003,1.0,999.2678076241995,0.25
HOG|2026-02-27,HOG,2026-02-27,2026-03-02 19:22:17,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,18.78,minute_close_at_or_after,2026-03-06 09:30:00-0500,18.89,0.5857294994675133,0.2613205845048041,0.5655095923077781,1.0,999.2613205845048,0.25
ACIW|2026-03-03,ACIW,2026-03-03,2026-03-04 06:08:11,2026-03-04 11:57:10,2026-03-04 06:57:10-0500,2026-03-04,2026-03-04 09:30:00-0500,42.15,minute_close_at_or_after,2026-03-06 09:30:00-0500,42.41,0.6168446026097119,0.2584712782909467,0.5613435708069663,1.0,999.2584712782909,0.25
KFS|2026-02-27,KFS,2026-02-27,2026-03-02 17:42:57,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,12.18,minute_close_at_or_after,2026-03-06 09:30:00-0500,11.33,-6.978653530377665,0.1413717343098732,0.3534995524687207,1.0,999.1413717343099,0.25
PCB|2026-02-27,PCB,2026-02-27,2026-03-02 17:02:34,2026-03-03 08:38:56,2026-03-03 03:38:56-0500,2026-03-04,2026-03-04 09:30:00-0500,22.33,minute_close_at_or_after,2026-03-06 09:30:00-0500,21.81,-2.328705776981632,0.0646452337813395,0.2163360101696085,1.0,999.0646452337813,0.25
