ticker,entry_time,exit_time,invested_eur,ret_pct,proceeds_eur,pnl_eur
SOFI,2026-03-03 09:30:00-05:00,2026-03-05 09:30:00-05:00,5000.0,2.868174296745729,5143.408714837286,143.40871483728642
EHTH,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,1.0790028525362594,421.1625118855677,4.495845218901081
LRMR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,-8.137432188065096,382.7606992163954,-33.90596745027125
EDSA,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,-26.790024135156887,305.04156610351293,-111.6251005631537
EOSE,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,1.906845889340425,424.61185787225173,7.945191205585104
ISPR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,-15.315315315315326,352.8528528528528,-63.81381381381385
LAW,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,7.025761124121788,445.9406713505074,29.274004683840758
CTEV,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,2.7900146842878115,428.2917278511992,11.62506118453257
XMTR,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,1.9659239842725995,424.8580166011358,8.191349934469145
GENB,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,1.398026315789469,422.4917763157894,5.825109649122794
TNC,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,-1.5639961698052929,410.1500159591446,-6.516650707522047
LFVN,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,-4.564315352697113,397.6486860304287,-19.01798063623795
CSGP,2026-03-04 09:30:00-05:00,2026-03-06 09:30:00-05:00,416.66666666666663,2.5336584331601797,427.22357680483407,10.556910138167439
