candidate,arm_gain_pct,trail_drawdown_pct,reentry_mode,val_n_trades,val_n_stopped,val_stop_rate_pct,val_n_reentered,val_reentry_rate_among_stopped_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_stopped,test_stop_rate_pct,test_n_reentered,test_reentry_rate_among_stopped_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
trail_after_2_dd_0.5_reclaim_entry_else_out,2.0,0.5,reclaim_entry_else_out,786,554,70.48346055979644,546,98.55595667870037,1.2549369312977097,0.7721265304390801,-0.4828104008586296,54.19847328244275,52.926208651399484,-1.2722646310432637,741,537,72.46963562753037,530,98.69646182495345,1.254448620782726,0.7903833265897173,-0.46406529419300857,52.4966261808367,50.742240215924426,-1.7543859649122737
trail_after_2_dd_0.5_reclaim_entry_else_close,2.0,0.5,reclaim_entry_else_close,786,554,70.48346055979644,554,100.0,1.2549369312977097,0.7494203100286946,-0.5055166212690151,54.19847328244275,52.67175572519084,-1.5267175572519065,741,537,72.46963562753037,537,100.0,1.254448620782726,0.7956263146465348,-0.4588223061361911,52.4966261808367,50.877192982456144,-1.6194331983805554
trail_after_2_dd_1_reclaim_entry_else_out,2.0,1.0,reclaim_entry_else_out,786,547,69.59287531806616,536,97.9890310786106,1.2549369312977097,0.7227830306129552,-0.5321539006847544,54.19847328244275,52.79898218829516,-1.399491094147585,741,534,72.06477732793523,525,98.31460674157303,1.254448620782726,0.6876477859247948,-0.5668008348579311,52.4966261808367,50.742240215924426,-1.7543859649122737
trail_after_2_dd_1_reclaim_entry_else_close,2.0,1.0,reclaim_entry_else_close,786,547,69.59287531806616,547,100.0,1.2549369312977097,0.7064207369336651,-0.5485161943640445,54.19847328244275,52.41730279898219,-1.7811704834605564,741,534,72.06477732793523,534,100.0,1.254448620782726,0.7205588066633098,-0.533889814119416,52.4966261808367,51.012145748987855,-1.4844804318488443
trail_after_0.5_dd_0.5_reclaim_entry_else_close,0.5,0.5,reclaim_entry_else_close,786,691,87.91348600508906,691,100.0,1.2549369312977097,0.6721774644025006,-0.5827594668952091,54.19847328244275,52.67175572519084,-1.5267175572519065,741,669,90.2834008097166,669,100.0,1.254448620782726,0.8235909934313576,-0.43085762735136834,52.4966261808367,50.337381916329285,-2.1592442645074144
trail_after_0.5_dd_0.5_reclaim_entry_else_out,0.5,0.5,reclaim_entry_else_out,786,691,87.91348600508906,662,95.80318379160637,1.2549369312977097,0.6691173233285761,-0.5858196079691336,54.19847328244275,51.908396946564885,-2.2900763358778633,741,669,90.2834008097166,641,95.81464872944694,1.254448620782726,0.7376004933373633,-0.5168481274453626,52.4966261808367,49.122807017543856,-3.3738191632928434
trail_after_2_dd_1.5_reclaim_entry_else_close,2.0,1.5,reclaim_entry_else_close,786,532,67.68447837150127,532,100.0,1.2549369312977097,0.6634971414112051,-0.5914397898865046,54.19847328244275,52.035623409669206,-2.162849872773542,741,527,71.12010796221323,527,100.0,1.254448620782726,0.6721578185298123,-0.5822908022529136,52.4966261808367,50.742240215924426,-1.7543859649122737
trail_after_1_dd_0.5_reclaim_entry_else_out,1.0,0.5,reclaim_entry_else_out,786,630,80.1526717557252,618,98.09523809523809,1.2549369312977097,0.6629738191135094,-0.5919631121842003,54.19847328244275,52.29007633587786,-1.908396946564885,741,626,84.4804318488529,609,97.28434504792332,1.254448620782726,0.7507643371923822,-0.5036842835903437,52.4966261808367,50.20242914979757,-2.2941970310391326
trail_after_2_dd_0.5_stay_out,2.0,0.5,stay_out,786,554,70.48346055979644,0,0.0,1.2549369312977097,0.6540390950806542,-0.6008978362170555,54.19847328244275,71.88295165394402,17.68447837150127,741,537,72.46963562753037,0,0.0,1.254448620782726,0.8803178785392198,-0.37413074224350606,52.4966261808367,71.12010796221323,18.623481781376526
trail_after_1_dd_0.5_reclaim_entry_else_close,1.0,0.5,reclaim_entry_else_close,786,630,80.1526717557252,630,100.0,1.2549369312977097,0.648796610976878,-0.6061403203208316,54.19847328244275,52.29007633587786,-1.908396946564885,741,626,84.4804318488529,626,100.0,1.254448620782726,0.816179808063062,-0.4382688127196639,52.4966261808367,51.012145748987855,-1.4844804318488443
