candidate,val_n_trades,val_n_flagged,val_flag_rate_pct,val_n_reentered,val_reentry_rate_among_flagged_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_flagged,test_flag_rate_pct,test_n_reentered,test_reentry_rate_among_flagged_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
fixed_close,4368,964,22.06959706959707,964,100.0,0.35182852655677654,0.022537710371014437,-0.3292908161857621,49.19871794871795,45.83333333333333,-3.3653846153846203,4849,1030,21.241493091359043,1030,100.0,0.5074602111775623,0.18115033166114894,-0.32630987951641344,51.639513301711695,48.711074448339865,-2.92843885337183
fixed_60m,4368,964,22.06959706959707,803,83.29875518672199,0.35182852655677654,-0.026653138965947863,-0.3784816655227244,49.19871794871795,45.467032967032964,-3.7316849816849853,4849,1030,21.241493091359043,865,83.98058252427184,0.5074602111775623,0.18410235339326142,-0.32335785778430093,51.639513301711695,48.56671478655393,-3.072798515157764
recover_+0.0pct_else_close,4368,964,22.06959706959707,964,100.0,0.35182852655677654,-0.04185860300544302,-0.3936871295622196,49.19871794871795,45.74175824175824,-3.456959706959708,4849,1030,21.241493091359043,1030,100.0,0.5074602111775623,0.17349902846833282,-0.33396118270922953,51.639513301711695,48.793565683646115,-2.84594761806558
recover_-0.5pct_else_close,4368,964,22.06959706959707,964,100.0,0.35182852655677654,-0.06341530700324412,-0.41524383356002065,49.19871794871795,45.74175824175824,-3.456959706959708,4849,1030,21.241493091359043,1030,100.0,0.5074602111775623,0.17040082397394432,-0.33705938720361805,51.639513301711695,48.75232006599299,-2.887193235718705
recover_-1.0pct_else_close,4368,964,22.06959706959707,964,100.0,0.35182852655677654,-0.0701255777025591,-0.42195410425933566,49.19871794871795,45.604395604395606,-3.594322344322343,4849,1030,21.241493091359043,1030,100.0,0.5074602111775623,0.1532942909343448,-0.3541659202432176,51.639513301711695,48.8554341101258,-2.784079191585896
fixed_120m,4368,964,22.06959706959707,593,61.51452282157677,0.35182852655677654,-0.10652455636092215,-0.4583530829176987,49.19871794871795,44.29945054945055,-4.899267399267401,4849,1030,21.241493091359043,696,67.57281553398057,0.5074602111775623,0.1501144133236809,-0.35734579785388143,51.639513301711695,47.41183749226644,-4.227675809445252
recover_-0.5pct_else_out,4368,964,22.06959706959707,454,47.0954356846473,0.35182852655677654,-0.13296132742733285,-0.4847898539841094,49.19871794871795,42.83424908424908,-6.3644688644688685,4849,1030,21.241493091359043,486,47.18446601941748,0.5074602111775623,0.098397402405579,-0.40906280877198337,51.639513301711695,45.865126830274285,-5.77438647143741
recover_-1.0pct_else_out,4368,964,22.06959706959707,587,60.89211618257261,0.35182852655677654,-0.1350231916643698,-0.48685171822114637,49.19871794871795,43.498168498168496,-5.7005494505494525,4849,1030,21.241493091359043,648,62.912621359223294,0.5074602111775623,0.10991562551197236,-0.39754458566559,51.639513301711695,46.958135698082074,-4.68137760362962
stay_out,4368,964,22.06959706959707,0,0.0,0.35182852655677654,-0.1394411856528914,-0.491269712209668,49.19871794871795,40.24725274725275,-8.951465201465197,4849,1030,21.241493091359043,0,0.0,0.5074602111775623,0.07482512188468307,-0.4326350892928793,51.639513301711695,42.689214270983705,-8.95029903072799
recover_+0.0pct_else_out,4368,964,22.06959706959707,372,38.589211618257266,0.35182852655677654,-0.1725075275145254,-0.5243360540713019,49.19871794871795,42.17032967032967,-7.028388278388277,4849,1030,21.241493091359043,385,37.37864077669903,0.5074602111775623,0.09350525711774335,-0.41395495405981897,51.639513301711695,45.28768818313054,-6.351825118581154
