bucket,scenario,n_trades,avg_ret_pct,median_ret_pct,win_rate_pct,avg_hold_hours,median_hold_hours,avg_ret_per_24h_linear_pct,median_ret_per_24h_linear_pct
intraday,second_day_close,55,5.471855958274634,3.9192399049881255,63.63636363636363,79.48846464646464,77.65277777777777,1.7178518706160633,0.7891918711775783
intraday,next_day_close,55,5.104394733672492,3.4997131382673574,63.63636363636363,38.906646464646464,28.27888888888889,4.221780554573284,2.021783366612516
intraday,next_day_14_00,51,3.7284222818887236,2.348336594911937,62.745098039215684,36.68925381263617,26.18055555555556,3.495400743063359,1.722165151385764
intraday,same_day_15_00,42,3.472505489421337,1.275794222094262,61.904761904761905,3.023082010582011,3.0741666666666667,32.61024513678072,16.262727573161193
intraday,next_day_15_30,46,3.2807651484478844,2.6610227176040113,58.69565217391305,38.379776570048314,27.72291666666667,2.957825001468902,1.1761195272181162
intraday,same_day_14_00,41,3.2294155793856536,0.2398081534772167,56.09756097560976,2.3671544715447155,2.265277777777778,34.474149809641744,2.24765401112588
intraday,next_day_10_30,54,2.8041009697043537,0.8340261282660411,57.407407407407405,33.572793209876544,22.772083333333335,2.8630369400518663,0.4468861460681474
intraday,next_day_open,55,2.793536070608008,1.7653167185877503,61.81818181818181,32.406646464646464,21.77888888888889,2.7554462003671043,0.8176003052522159
intraday,same_day_15_30,43,2.5445088037025214,0.1059322033898357,51.162790697674424,3.348759689922481,3.5297222222222224,41.246938139490595,0.6242356003875196
intraday,next_day_12_00,53,2.2954821411263517,0.248756218905477,52.83018867924528,35.23926100628931,24.26527777777778,2.22862091291167,0.0844470620427302
intraday,same_day_close,55,1.3380757692093352,0.3316749585406287,60.0,3.56119191919192,3.707777777777778,27.137993137918485,3.451395378379213
post_market_or_weekend,next_day_12_00,333,3.0838221638079206,1.3537414965986372,57.35735735735735,37.20495495495496,26.25,2.443221685526127,0.8625336927223819
post_market_or_weekend,next_day_open,339,3.0469237529031745,1.2605042016806678,59.882005899705014,34.86504424778761,23.75,2.7577859958530073,0.9463826058382244
post_market_or_weekend,next_day_close,339,3.010818130732481,1.12000000000001,56.342182890855455,41.36504424778761,30.25,1.986092809981958,0.652347946681278
post_market_or_weekend,next_day_14_00,321,2.9939862308391683,1.404494382022459,58.87850467289719,39.16588785046729,28.25,2.2094099803963627,1.0360457586876763
post_market_or_weekend,second_day_close,337,2.732728080161741,1.2156536219816827,55.19287833827893,77.11053412462908,54.25,0.7982996925588162,0.3060412209935428
post_market_or_weekend,next_day_10_30,334,2.696347245093382,1.0286425646920394,59.2814371257485,35.67215568862275,24.75,2.2249917897895353,0.7179236966696083
post_market_or_weekend,next_day_15_30,306,2.642626848656691,1.6257055850347646,58.496732026143796,40.88725490196079,29.75,1.7893657178491782,1.0772030146038045
post_market_or_weekend,same_day_close,339,1.6156475954664944,1.0119940029984953,55.45722713864307,6.25,6.25,6.204086766591339,3.8860569715142215
post_market_or_weekend,same_day_14_00,323,1.591089278030487,0.8254716981132004,54.4891640866873,4.25,4.25,8.984974746525104,4.661487236403955
post_market_or_weekend,same_day_15_00,319,1.5545862314995984,1.104972375690605,56.42633228840125,5.25,5.25,7.106679915426735,5.051302288871336
post_market_or_weekend,same_day_15_30,304,1.4461777544444372,0.6802721088435382,54.276315789473685,5.75,5.75,6.0362201924637375,2.839396628216507
pre_market,second_day_close,82,2.048706475681705,0.5550909225782275,53.65853658536586,73.85975609756098,54.25,0.8675226492512389,0.23200515598064
pre_market,same_day_close,83,0.4954654464141099,-0.4488200376429496,48.19277108433735,6.25,6.25,1.902587314230182,-1.7234689445489264
pre_market,next_day_close,83,0.46435668475405545,-0.4651162790697549,49.39759036144578,38.924698795180724,30.25,0.6535136921239656,-0.109171547165517
pre_market,next_day_10_30,83,0.45935947123049514,0.5791226292167551,53.01204819277109,33.424698795180724,24.75,0.6616780912044776,0.346133044889131
pre_market,same_day_14_00,83,0.32734937127031133,0.0,49.39759036144578,4.25,4.25,1.8485611554088162,0.0
pre_market,next_day_14_00,80,0.3179922002325575,0.5112968525532113,53.75,37.25,28.25,0.5394563422231609,0.3698836925312552
pre_market,next_day_12_00,83,0.15070834122298357,-0.2590673575129432,48.19277108433735,34.924698795180724,26.25,0.3452473800572447,-0.2140611412134601
pre_market,same_day_15_00,81,0.12139384021270858,0.0946969696969723,53.086419753086425,5.25,5.25,0.5549432695438098,0.4329004329004452
pre_market,next_day_15_30,79,0.09776792869918294,0.2947368421052587,50.63291139240506,38.86392405063291,29.75,0.30129170885745926,0.2377708978328138
pre_market,same_day_15_30,80,0.054439339523686,-0.0376222723852515,48.75,5.75,5.75,0.22722506931625652,-0.15703209343409325
pre_market,next_day_open,83,-0.5391402744596545,0.318517446069233,51.80722891566265,32.424698795180724,23.75,-0.17621361221980417,0.3218702612910144
