strategy,pred_threshold,vol_q,vol_cap,lr_q,lr_cap,val_n_trades,val_return_pct,val_max_drawdown_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
baseline,0.75,,,,,489,4984.838671321932,-10.632384851750087,4979.522478896058,477,1148.573419943083,-13.339807121902103,0.662477338910721,-12.015199999999998,1141.903516382132
baseline,0.7,,,,,515,5033.842788670409,-12.105165833506682,5027.790205753656,496,1123.520877580499,-13.339807121902092,0.6486969075232701,-12.04712,1116.850974019548
baseline,0.8,,,,,475,5277.3170903926075,-13.503263699380119,5270.565458542917,457,1087.119930981316,-10.613336977779596,0.6758440325326066,-11.853873913043477,1081.8132624924262
baseline,0.9,,,,,415,7159.659509255551,-6.740655229459214,7156.289181640821,397,1079.1510500706656,-10.726409176699757,0.7517650154387292,-12.051699999999999,1073.7878454823158
baseline,0.65,,,,,553,5373.71380400281,-11.197116576381916,5368.115245714619,520,1035.5592911283463,-15.326553744150463,0.5780383392925843,-12.434942307692307,1027.8960142562712
lossrate_cap,0.7,,,0.9,0.6899038461538461,495,3120.6994835118876,-13.676845400735637,3113.8610608115196,482,1009.3994146248874,-12.853595377449656,0.6262294885510667,-12.048676,1002.9726169361626
baseline,0.5,,,,,627,3751.7704491329214,-14.278072226785476,3744.6314130195287,580,998.1085342199151,-12.976979511116793,0.5621611688662768,-11.856137931034482,991.6200444643567
baseline,0.55,,,,,607,4319.810137233518,-14.560331644701874,4312.529971411167,563,939.2972968157469,-11.062747096727865,0.581553185514385,-11.89625172413793,933.765923267383
baseline,0.85,,,,,444,7563.018777266878,-9.775664998153587,7558.130944767801,418,925.482330936197,-12.390546717760575,0.7051256855384653,-12.135861904761905,919.2870575773167
lossrate_cap,0.7,,,0.8,0.6,476,2455.9955049362043,-12.35564522144622,2449.817682325481,471,886.5670985107162,-10.097369271059353,0.5780383471569218,-12.318095833333333,881.5184138751865
baseline,0.6,,,,,578,5508.696427054841,-14.560332461261849,5501.4162608242095,538,888.0518315776667,-15.93205175529613,0.5647448803780147,-12.421362962962961,880.0858057000187
lossrate_cap,0.65,,,0.9,0.6666666666666666,525,3062.6132757801865,-10.213809707666421,3057.506370926353,495,884.8815519952335,-16.41498589368592,0.558532212530928,-12.438391999999999,876.6740590483905
baseline,0.95,,,,,399,7389.2935212838,-6.316890458368762,7386.135076054616,384,880.570433815405,-10.72640917669977,0.7282476981466461,-12.10619,875.2072292270551
lossrate_cap,0.7,,,0.85,0.6363636363636364,476,2456.7411289536185,-12.891557685639654,2450.2953501107986,475,875.3352799940263,-11.005846640312445,0.5841704201601917,-12.276854166666666,869.8323566738701
lossrate_cap,0.7,,,0.75,0.5714285714285714,472,2014.6632817240236,-14.106569119354685,2007.6099971643462,466,823.4963281585755,-10.097369271059364,0.5653134105747759,-12.279470833333335,818.4476435230458
lossrate_cap,0.5,,,0.9,0.6981132075471698,597,2925.8011315177964,-12.025751840890742,2919.788255597351,566,821.8750090891812,-14.087999490619952,0.48431661464721176,-12.077193103448277,814.8310093438712
lossrate_cap,0.75,,,0.9,0.6666666666666666,473,3480.5969272595876,-8.11902216103827,3476.5374161790683,452,786.8853795933227,-11.005846640312445,0.6199866795450674,-12.188113043478257,781.3824562731664
lossrate_cap,0.6,,,0.9,0.7,549,3421.740677539847,-10.658751324978521,3416.411301877358,522,760.3834039281832,-12.908348314390484,0.492960262799397,-12.524888888888889,753.929229770988
lossrate_cap,0.8,,,0.9,0.6666666666666666,454,3747.623602622917,-8.451848128317396,3743.3976785587583,433,753.649431189457,-13.881660365557813,0.6472734485901861,-11.955145454545454,746.7086010066781
lossrate_cap,0.65,,,0.85,0.6363636363636364,509,2629.550017759942,-10.236008135115526,2624.4320136923843,492,753.9082389086675,-14.787579987565335,0.5616220885592169,-12.319112,746.5144489148848
lossrate_cap,0.75,,,0.85,0.6363636363636364,454,2628.683649568132,-8.11902216103828,2624.6241384876125,445,737.2525452112052,-11.005846640312445,0.5492598582959336,-12.555008695652173,731.749621891049
lossrate_cap,0.7,,,0.6,0.5,449,2267.6659852935336,-14.106569119354685,2260.6127007338564,440,698.2109836421844,-10.918493412973874,0.5295700705610787,-12.500859090909092,692.7517369356974
lossrate_cap,0.7,,,0.7,0.5454545454545454,463,1986.8270424953569,-14.106569119354672,1979.7737579356794,447,681.5066698698871,-13.777395739745401,0.5531322197732457,-12.31237391304348,674.6179720000144
lossrate_cap,0.65,,,0.8,0.6,504,2655.6555151673583,-10.236008135115537,2650.5375110998007,493,676.9347544074088,-14.78757998756539,0.5632940868481434,-12.358704,669.5409644136262
lossrate_cap,0.75,,,0.8,0.6,450,2709.8567076623144,-7.618317033120747,2706.047549145754,441,664.5155368655778,-10.097422958571567,0.5427049381118056,-12.433300000000001,659.466825386292
lossrate_cap,0.65,,,0.6,0.5,481,2502.2198137109267,-9.90287241261365,2497.26837750462,461,665.3450533447535,-16.55095127461479,0.5641599257578441,-12.342870833333334,657.0695777074461
lossrate_cap,0.6,,,0.85,0.65,543,2687.1708331858204,-10.658751324978532,2681.841457523331,518,662.8104758339925,-13.786023593686192,0.5033127175454768,-12.596157692307692,655.9174640371494
lossrate_cap,0.55,,,0.9,0.7,571,2736.8379536404273,-11.404044850094053,2731.1359312153804,541,661.4567680342418,-13.151039000080743,0.4706109139121228,-12.329135714285712,654.8812485342014
lossrate_cap,0.65,,,0.75,0.5714285714285714,500,2321.665810743344,-8.501249942556067,2317.4151857720663,488,662.0489079251295,-14.956367880427457,0.5603389108906592,-12.313596,654.5707239849157
lossrate_cap,0.5,,,0.85,0.65,595,2546.476437996936,-12.025751047822009,2540.463562473025,563,644.2727247263534,-15.580837064126563,0.45046873202485044,-12.331024137931035,636.4823061942901
lossrate_cap,0.75,,,0.75,0.5714285714285714,443,2134.479261316937,-7.618317033120736,2130.6701028003768,439,641.2439894042244,-10.097422958571556,0.5262631270296996,-12.513363636363637,636.1952779249386
lossrate_cap,0.9,,,0.9,0.6666666666666666,389,4846.899112518175,-6.744853118416172,4843.5266859589665,383,627.1174566612052,-12.581866050468339,0.66996168389823,-12.07599,620.8265236359711
lossrate_cap,0.85,,,0.9,0.6666666666666666,425,5161.075927516564,-6.744853118315963,5157.703500957406,404,626.9056548119378,-13.88037949889891,0.6493290783045018,-12.135861904761905,619.9654650624883
lossrate_cap,0.65,,,0.7,0.5483870967741935,493,2248.0718124547693,-8.501266567335087,2243.821179171102,466,627.9770312636748,-16.271695054969836,0.5496689998427823,-12.230083333333333,619.8411837361899
lossrate_cap,0.8,,,0.85,0.625,441,2936.990784562365,-8.32854939717329,2932.8265098637785,429,627.5890104785987,-16.80921842832841,0.5662691617326092,-12.346745454545454,619.1844012644344
lossrate_cap,0.6,,,0.8,0.6,538,2660.743148809883,-10.658751325551552,2655.4137731471073,512,592.5715680949247,-13.786023593686213,0.477587876057723,-12.531865384615385,585.6785562980816
lossrate_cap,0.8,,,0.8,0.6,436,3007.8372676293593,-8.32854939717328,3003.6729929307726,426,587.4603303764823,-16.807404221925427,0.5809708255973391,-12.346745454545454,579.0566282655195
lossrate_cap,0.6,,,0.75,0.5714285714285714,533,2227.7451783518745,-10.658751345706774,2222.415802679021,507,584.561271428194,-13.5604998521483,0.48406537065017513,-12.424357692307693,577.7810215021199
lossrate_cap,0.5,,,0.6,0.5,563,2290.431828915891,-11.637364065925304,2284.6131468829285,535,570.5497245510493,-12.875255035245093,0.4346353436035079,-12.318896296296296,564.1120970334267
lossrate_cap,0.5,,,0.5,0.5,563,2290.431828915891,-11.637364065925304,2284.6131468829285,535,570.5497245510493,-12.875255035245093,0.4346353436035079,-12.318896296296296,564.1120970334267
lossrate_cap,0.95,,,0.9,0.6666666666666666,378,4866.4077973711055,-6.316890458368729,4863.249352141921,373,561.4874110715657,-12.186286395397838,0.6474191777582698,-12.240494736842106,555.3942678738667
lossrate_cap,0.6,,,0.7,0.5483870967741935,527,2220.56501521708,-10.603166214078607,2215.263432110041,489,556.5411804531154,-13.798601566473923,0.5123005410302717,-12.268719999999998,549.6418796698784
lossrate_cap,0.6,,,0.6,0.5,511,2375.7467073826588,-9.839072857472875,2370.827170953922,487,555.3871452356012,-13.909284783211495,0.5107063087797141,-12.376995999999998,548.4325028439955
lossrate_cap,0.75,,,0.7,0.5454545454545454,434,2062.284539809462,-7.618317033120736,2058.4753812929016,421,545.8937519232107,-13.678355919380481,0.5111148106820139,-12.39239090909091,539.0545739635205
lossrate_cap,0.8,,,0.75,0.5641025641025641,424,2351.2555685238503,-8.32854939717328,2347.0912938252636,400,542.4711840928292,-17.623730729185283,0.5464961020707401,-12.334054999999998,533.6593187282365
lossrate_cap,0.75,,,0.6,0.5,422,2402.3511510809794,-7.543606717023499,2398.579347722468,415,538.5856770731775,-11.297936416401855,0.5111882422076318,-12.583800000000002,532.9367088649766
lossrate_cap,0.9,,,0.85,0.625,371,4012.2517526565302,-6.646334068993498,4008.9285856220336,380,530.9427994487387,-15.414882163988153,0.6160508297368416,-12.397442105263156,523.2353583667447
lossrate_cap,0.55,,,0.6,0.5,527,1947.0132710727785,-10.591556866684915,1941.717492639436,512,526.7488367608769,-12.67723407517961,0.4795953887829352,-12.192042307692306,520.4102197232871
lossrate_cap,0.8,,,0.7,0.5384615384615384,409,2484.8211337039484,-7.54539844719242,2481.048434480352,390,528.9530273975761,-17.6176562658219,0.5255653832363645,-12.459364999999998,520.1441992646651
lossrate_cap,0.8,,,0.6,0.5,403,2546.2967115590354,-7.561820076815673,2542.5158015206275,385,521.5076250997281,-14.552930687017652,0.5342168014065775,-12.459364999999998,514.2311597562193
lossrate_cap,0.85,,,0.85,0.625,404,3956.515345182047,-6.646334090735695,3953.192178136679,392,521.5268834849824,-16.78727941388307,0.575175443904441,-12.389745,513.1332437780409
lossrate_cap,0.5,,,0.8,0.6,596,2714.5414424039936,-12.025751083490011,2708.5285668622487,563,510.6761053051146,-15.580837064126596,0.4299666795771955,-12.331024137931035,502.8856867730513
lossrate_cap,0.55,,,0.85,0.65,565,2069.407426592246,-11.40404485008839,2063.705404167202,537,509.0039037288661,-13.936930479697496,0.45278001129460765,-12.517122222222222,502.03543848901734
vol_cap,0.75,0.9,2.0278556045998544,,,370,1027.5194456964202,-9.979846244773894,1022.5295225740333,390,506.75544726174974,-10.818971249413112,0.5557635732982081,-12.0001,501.34596163704316
vol_cap,0.7,0.9,1.9589731815770908,,,393,1351.1062774428988,-9.979846244773894,1346.1163543205118,424,505.81000308522937,-10.818971249413101,0.5639243564426611,-11.875263636363634,500.4005174605228
lossrate_cap,0.5,,,0.7,0.55,582,2221.951055561221,-12.386069381423749,2215.758020870509,545,501.61372738098373,-17.35542459158095,0.449164089225168,-12.089224999999999,492.9360150851933
lossrate_cap,0.5,,,0.75,0.5714285714285714,590,2541.869397140964,-12.025750608331709,2535.856521836798,557,488.4267773862903,-14.382234545869476,0.4142814267266331,-12.412285714285716,481.2356601133556
vol_and_lossrate_cap,0.7,0.9,1.9589731815770908,0.9,0.6899038461538461,378,989.552073111947,-9.832150000000006,984.6359981119471,412,482.29484317826564,-9.112939829176735,0.5410298022780287,-11.805833333333334,477.73837326367726
lossrate_cap,0.95,,,0.85,0.625,355,4346.352843964575,-6.31689045836874,4343.194398735391,362,471.6656984756728,-15.077236472555933,0.5983867025237477,-12.397442105263156,464.12708023939484
lossrate_cap,0.9,,,0.8,0.6,368,3942.967942766991,-6.64633406899352,3939.6447757324945,375,469.6376641099639,-15.419316947516293,0.5891191544654354,-12.397442105263156,461.92800563620574
lossrate_cap,0.9,,,0.7,0.5294117647058824,347,2575.3386593601736,-5.924472818706262,2572.3764229508206,338,465.94323834976194,-13.124372955903674,0.56990954348092,-12.579135294117647,459.3810518718101
lossrate_cap,0.9,,,0.6,0.5,341,2733.3093126301956,-5.924472818706272,2730.3470762208426,338,460.09345500195826,-13.124372955903674,0.5614528661617795,-12.579135294117647,453.5312685240064
lossrate_cap,0.85,,,0.8,0.6,404,3888.073393968495,-6.646334090735695,3884.7502269231272,391,451.09193666566654,-16.78605781975756,0.5438335072903501,-12.389745,442.6989077557878
lossrate_cap,0.85,,,0.7,0.5333333333333333,374,3342.4267518845836,-5.924472818706272,3339.4645154752307,365,446.15221426848916,-17.596280019157806,0.5165694971313535,-12.472721052631577,437.35407425891026
lossrate_cap,0.9,,,0.75,0.5555555555555556,361,3087.817018498982,-6.64633406899352,3084.4938514644855,347,442.49728561990224,-16.23307219850564,0.5785260857684461,-12.284905555555554,434.38074952064943
lossrate_cap,0.85,,,0.6,0.5,373,3285.0678142162396,-5.924472818706262,3282.1055778068867,360,438.13798111317936,-14.552930689802935,0.522141404228577,-12.572766666666665,430.8615157682779
lossrate_cap,0.55,,,0.7,0.5454545454545454,548,1810.7825170021297,-11.348910061853045,1805.1080619712031,513,422.2946067868383,-16.29844793916352,0.45122601248251853,-12.14266923076923,414.1453828172565
vol_and_lossrate_cap,0.7,0.9,1.9589731815770908,0.85,0.6363636363636364,364,731.2849269697768,-9.832150000000006,726.3688519697769,398,414.96963493701367,-9.205903868913467,0.5239813465973612,-11.950965000000002,410.36668300255695
