decile,n,mean_pred,mean_actual,median_actual,std_actual,pct_pos_actual
1,238,-0.10380765979754293,-0.26923349478754555,0.43615,3.861654832689233,55.46218487394958
2,238,0.0870485298525733,-0.1452401736812528,0.41400055187638085,3.6445646068553024,56.72268907563025
3,238,0.15266698313134142,0.3124376145786805,0.8339047619047688,3.3115445405294097,62.60504201680672
4,238,0.19776646044619195,0.42565966715672887,1.0532,3.114876456868648,65.54621848739495
5,238,0.24110667554349519,0.33079167540282434,0.6318857142857197,3.3007520355543467,59.66386554621849
6,238,0.2859918985528557,0.9797208422247269,1.4170021319594772,3.315497064684166,69.32773109243698
7,238,0.33783526809226466,0.9515916410413235,1.3712270858817543,3.4522042520721508,71.84873949579831
8,238,0.40896398063239353,0.3797101415069087,1.3517038283062635,3.730354768245473,67.22689075630252
9,238,0.5135641430147482,0.702196334246922,1.4707918050941404,3.6887683829536573,71.00840336134453
10,238,0.7545671761852407,0.8029418996126839,1.4671142896343414,4.477506595521987,69.74789915966386
