scenario,live_entry_bucket,rows,feature_coverage,r2,mae,top_decile_mean,decile_spread,top_decile_positive_rate
baseline,intraday,646,1.0,0.06780423724528784,1.6090196468485212,2.1032134265047455,1.9344696998710496,0.625
baseline,open,1785,1.0,0.024914183266858902,2.2482015303524276,0.9173097102931212,1.3667655508940284,0.5393258426966292
candidate,intraday,646,1.0,0.06981047770718851,1.603531007384594,2.0220948957938547,2.244087938160901,0.65625
candidate,open,1785,1.0,0.03216121750894074,2.2372175906378495,1.5823437673095255,2.023056676664249,0.5786516853932584
