group,horizon_days,status,rows_train,rows_val,rows_test,test_top_decile_used,test_bottom_decile_used,test_spread_used,predictive_power_flag
director,1,ok,100,33,33,-3.1343666666666663,-0.9454333333333333,-2.188933333333333,False
director,3,ok,99,33,33,-2.675923850093452,-0.5023542208648905,-2.173569629228562,False
director,5,ok,99,33,33,0.547089983120915,-0.7186299741299779,1.2657199572508928,True
director,10,ok,98,33,32,0.2580733972688254,-0.564052422000167,0.8221258192689924,True
ten_pct_owner,1,ok,1699,566,567,1.6592142698412709,1.2864939642857165,0.37272030555555435,True
ten_pct_owner,3,ok,1694,565,564,0.6053198062065837,-0.35031900498434976,0.9556388111909334,True
ten_pct_owner,5,ok,1690,563,564,0.12480633357165004,0.14597041912232508,-0.021164085550675046,False
ten_pct_owner,10,ok,1674,558,558,0.21164795144113477,0.24900847029270293,-0.03736051885156816,False
