event_key,ticker,trade_date,buy_price,pred_mean4,estimated_decile_score,prev_close_day,prev_close,trade_open,overnight_gap_pct,buy_open_slippage_pct,tplus2_close_day,tplus2_close,return_from_buyprice_to_tplus2_close_pct
SVRA|2021-03-15,SVRA,2021-03-15,1.76,0.9879857472565654,0.9469801621148054,2021-03-12,1.57,1.75,11.46496815286624,0.5714285714285783,2021-03-17,2.33,32.38636363636365
MRKR|2021-03-16,MRKR,2021-03-16,20.65,0.6314965970524196,0.8761513042452082,2021-03-15,19.0,19.1,0.5263157894736858,8.115183246073276,2021-03-18,18.0,-12.832929782082314
PAVM|2021-03-18,PAVM,2021-03-18,2070.0,0.6378010651038083,0.8781742436910669,2021-03-17,1944.0,1913.175,-1.5856481481481555,8.197106903445839,2021-03-22,2016.0,-2.608695652173909
JOB|2021-04-19,JOB,2021-04-19,0.6046,0.865246943458806,0.9328052563299296,2021-04-16,0.571,0.57,-0.17513134851138146,6.0701754385965145,2021-04-21,0.6088,0.694674164737008
ASRT|2021-05-20,ASRT,2021-05-20,23.838,0.6995201115827518,0.8948580818169706,2021-05-19,23.4,23.25,-0.6410256410256387,2.529032258064512,2021-05-24,22.65,-4.98363956707778
NGL|2021-06-15,NGL,2021-06-15,2.22,0.6908750641013862,0.8924489864193476,2021-06-14,2.34,2.34,0.0,-5.12820512820511,2021-06-17,2.24,0.9009009009008917
PTN|2021-06-30,PTN,2021-06-30,15.5725,0.6693503125405709,0.886136725012529,2021-06-29,16.97,15.6125,-7.999410724808476,-0.256204963971185,2021-07-02,15.8125,1.5411783592871986
NGL|2021-08-12,NGL,2021-08-12,1.565,0.7845538328880741,0.9166858944783296,2021-08-11,1.62,1.62,0.0,-3.395061728395077,2021-08-16,1.48,-5.4313099041533475
DMAC|2021-08-16,DMAC,2021-08-16,3.5601,0.6850487952544786,0.8908253935478619,2021-08-13,3.1,3.15,1.6129032258064502,13.019047619047619,2021-08-18,3.91,9.828375607426775
VTGN|2021-08-17,VTGN,2021-08-17,78.9,0.7426895375402444,0.9065536707152466,2021-08-16,79.8,79.2,-0.7518796992481147,-0.37878787878787845,2021-08-19,78.6,-0.38022813688214363
PPSI|2021-08-18,PPSI,2021-08-18,3.65,0.6437290228795179,0.8800538196149983,2021-08-17,3.57,3.52,-1.4005602240896309,3.693181818181812,2021-08-20,3.78,3.561643835616435
PED|2021-09-09,PED,2021-09-09,1.2787,0.8751935717519759,0.9344099883367484,2021-09-08,1.14,1.11,-2.631578947368407,15.198198198198188,2021-09-13,1.35,5.575975600218985
ADMA|2021-10-25,ADMA,2021-10-25,1.2999,0.6300633280936737,0.8756914056003838,2021-10-22,1.28,1.23,-3.90625,5.682926829268298,2021-10-27,1.35,3.854142626355883
MYO|2021-11-12,MYO,2021-11-12,9.2501,0.6875665532286129,0.8915270113424305,2021-11-11,9.57,9.75,1.880877742946696,-5.12717948717949,2021-11-16,8.63,-6.703711311229055
AIRI|2021-12-06,AIRI,2021-12-06,9.801,0.6760786935227915,0.8881775897475356,2021-12-03,9.296,9.2,-1.0327022375215211,6.532608695652176,2021-12-08,10.1,3.050709111315175
XPL|2021-12-06,XPL,2021-12-06,0.485,0.6863309911716662,0.8911827001201631,2021-12-03,0.45,0.4465,-0.7777777777777772,8.622620380739088,2021-12-08,0.53,9.278350515463929
AMRX|2021-12-15,AMRX,2021-12-15,4.455,0.6105592519969717,0.8703848351895117,2021-12-14,3.95,3.91,-1.0126582278481067,13.938618925831193,2021-12-17,4.27,-4.152637485970834
OSG|2021-12-16,OSG,2021-12-16,1.89,1.0564335947062673,0.953865139355855,2021-12-15,1.66,1.66,0.0,13.855421686746983,2021-12-20,1.71,-9.523809523809524
SVRA|2021-12-17,SVRA,2021-12-17,1.17,0.9338511438365742,0.9418848850054138,2021-12-16,1.14,1.12,-1.754385964912264,4.464285714285698,2021-12-21,1.21,3.418803418803429
XSNX|2022-01-20,XSNX,2022-01-20,0.2805,0.7334884213712,0.9042728827700348,2022-01-19,0.29,0.29584,2.0137931034482692,-5.185235262303934,2022-01-24,0.3,6.951871657753994
RYES|2022-01-28,RYES,2022-01-28,0.5503,0.9501801031676946,0.9432753351638332,2022-01-27,0.41,0.415,1.2195121951219523,32.60240963855423,2022-02-01,0.592,7.57768489914592
TMQ|2022-02-24,TMQ,2022-02-24,0.95,0.6904039334594413,0.8923176975324287,2022-02-23,0.98,0.98,0.0,-3.0612244897959218,2022-02-28,0.96,1.0526315789473717
YAYO|2022-03-08,YAYO,2022-03-08,0.4003,0.752947144676642,0.90901967166518,2022-03-07,0.4399,0.44,0.022732439190731313,-9.022727272727272,2022-03-10,0.3801,-5.046215338496129
STRO|2022-03-14,STRO,2022-03-14,83.0,0.6165001901298981,0.8719652090185399,2022-03-11,79.6,80.7,1.3819095477387133,2.850061957868655,2022-03-16,85.0,2.4096385542168752
WOLV|2022-03-14,WOLV,2022-03-14,0.078,1.7999428726477278,0.98681963154317,2022-03-11,0.072,0.072,0.0,8.333333333333348,2022-03-16,0.11,41.025641025641036
CRVS|2022-03-15,CRVS,2022-03-15,1.78,0.7954565398044351,0.9194159059085952,2022-03-14,1.5,1.5,0.0,18.666666666666675,2022-03-17,1.62,-8.98876404494382
BTCS|2022-03-16,BTCS,2022-03-16,1.865,1.0506769355541894,0.9533313105551854,2022-03-15,1.77,1.85,4.519774011299438,0.8108108108108025,2022-03-18,1.86,-0.2680965147452974
CRVS|2022-03-16,CRVS,2022-03-16,1.78,0.8067118671557453,0.9221030834786396,2022-03-15,1.46,1.49,2.0547945205479534,19.463087248322154,2022-03-18,1.76,-1.1235955056179803
HGBL|2022-03-23,HGBL,2022-03-23,1.4195,0.8057512462825713,0.9218766638084016,2022-03-22,1.34,1.3,-2.985074626865669,9.192307692307677,2022-03-25,1.37,-3.4871433603381408
RCAT|2022-03-23,RCAT,2022-03-23,2.34,0.7062628266644053,0.8967946612960433,2022-03-22,1.98,1.94,-2.020202020202022,20.618556701030922,2022-03-25,2.17,-7.264957264957261
LCTX|2022-03-25,LCTX,2022-03-25,1.485,1.448994040199051,0.9783648854234512,2022-03-24,1.44,1.44,0.0,3.125,2022-03-29,1.51,1.683501683501687
SKKY|2022-03-29,SKKY,2022-03-29,0.165,1.5161931614139306,0.98063114686458,2022-03-23,0.2777,0.1701,-38.746849117752966,-2.998236331569659,2022-03-31,0.16,-3.0303030303030276
