section,rows,events,positive_rate,mean_rows_per_event
overall,7173,989,0.09382406245643385,7.25278058645096
train,4320,596,0.10439814814814814,7.248322147651007
val,1449,198,0.07315389924085576,7.318181818181818
test,1201,164,0.06827643630308076,7.323170731707317
snapshot_kind=close,6614,950,0.08542485636528575,6.962105263157895
snapshot_kind=open,559,559,0.19320214669051877,1.0
