model,feature,importance_mean,importance_std,rank
ElasticNet,max_intraday_runup_so_far_pct,0.0,0.0,20
ElasticNet,n_insiders_in_cluster,0.0,0.0,21
ElasticNet,n_insiders_x_10pct,0.0,0.0,22
ElasticNet,n_insiders_x_director,0.0,0.0,23
ElasticNet,n_insiders_x_officer,0.0,0.0,24
ElasticNet,price_drift_filing_pct,0.0,0.0,25
ElasticNet,return_since_first_snapshot_pct,0.0,0.0,26
ElasticNet,sector_enc,0.0,0.0,27
ElasticNet,snapshot_is_open,-6.261237239790773e-08,4.4731552721325654e-05,28
ElasticNet,prior_10d_vol,-2.033709473047568e-05,5.029843351570135e-06,29
ElasticNet,prior_5d_vol,-0.0008242000536852603,0.0005127184205848131,30
SplineElasticNet,prior_30d_pct,0.0009709307701031899,0.00035759597148913306,1
SplineElasticNet,officer_type_enc,0.0006789353145708569,0.0003814872553204351,2
SplineElasticNet,log_buy_price,0.00020268100423300462,0.0004060840683182224,3
SplineElasticNet,days_remaining_in_10d_cycle,0.00014448545791747452,0.00014806121185572595,4
SplineElasticNet,days_since_last_buy_any,7.761934429447448e-05,7.25270946018651e-05,5
SplineElasticNet,is_10pct,7.081081755631602e-05,2.3242075289705645e-05,6
SplineElasticNet,insider_prior_buys_log,6.440884741618912e-05,5.288119923028273e-05,7
SplineElasticNet,snapshot_day_idx,5.4152973823648476e-05,0.00012151907825109796,8
SplineElasticNet,same_ticker_insider_count_365d,4.368768853248162e-05,9.385871292350983e-05,9
SplineElasticNet,n_insiders_x_10pct,4.1995099506003664e-05,1.5447575841441736e-05,10
SplineElasticNet,filing_hour_et,6.270097721092216e-06,6.0721055792082715e-05,11
SplineElasticNet,filing_gap_days,0.0,0.0,12
SplineElasticNet,is_director,0.0,0.0,13
SplineElasticNet,is_officer,0.0,0.0,14
SplineElasticNet,log_value_usd,0.0,0.0,15
SplineElasticNet,n_insiders_in_cluster,0.0,0.0,16
SplineElasticNet,n_insiders_x_director,0.0,0.0,17
SplineElasticNet,n_insiders_x_officer,0.0,0.0,18
SplineElasticNet,snapshot_is_open,-1.910696284209007e-05,8.138812058284722e-05,19
SplineElasticNet,days_since_last_buy_same_ticker,-3.104040598088942e-05,3.682116100420052e-05,20
SplineElasticNet,return_since_first_snapshot_pct,-6.820560486898719e-05,3.084717623708036e-05,21
SplineElasticNet,sector_enc,-7.411671272262027e-05,0.00015982564539936632,22
SplineElasticNet,market_type_enc,-0.00023229659697548283,5.5758763643590274e-05,23
SplineElasticNet,prior_10d_pct,-0.0002965432619215183,0.0001696139362725712,24
SplineElasticNet,prior_30d_vol,-0.0004715950440144223,0.00036635017248045314,25
SplineElasticNet,price_drift_filing_pct,-0.0005019466756621307,0.00017150654678111356,26
SplineElasticNet,prior_5d_pct,-0.0005688136154476386,0.0002043703261772875,27
SplineElasticNet,prior_5d_vol,-0.0007190959661502197,0.000337328392572608,28
SplineElasticNet,prior_10d_vol,-0.0007759877992981057,0.0006511238069256768,29
SplineElasticNet,max_intraday_runup_so_far_pct,-0.0008846089341389626,0.0003147187791744373,30
