decile_score_threshold,raw_pred_mean4_cutoff,val_n_trades,val_return_pct,val_max_drawdown_pct,val_win_rate_pct,val_mean_trade_ret_pct,val_std_trade_ret_pct,val_sharpe_trade,val_sortino_trade,val_cvar5_trade_ret_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_win_rate_pct,test_mean_trade_ret_pct,test_std_trade_ret_pct,test_sharpe_trade,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
0.005,-0.750842894278294,578,418.331186733426,-16.575708546028157,52.7681660899654,1.2283552418746928,7.14188727301666,0.1719930873896093,0.3327192210219531,-12.371820854205351,410.04333246041193,547,255.09077378903493,-16.59676655492103,48.9945155393053,1.0625696274618788,7.4516473140478245,0.14259526554064436,0.285559205071952,-12.662512985431638,246.7923905115744
0.01,-0.655349201441618,584,430.1143962680393,-16.88684310154567,53.42465753424658,1.3166656065707623,7.263785103221389,0.1812643942325385,0.35498293020133503,-12.327370045263399,421.67097471726646,554,243.767046035674,-16.601814578626072,48.73646209386281,1.0430637757677146,7.4597473184181595,0.13982561757720452,0.28124022348111205,-12.662512985431638,235.46613874636097
0.015,-0.6268085970887011,579,430.2663088029366,-16.88684310154567,53.54058721934369,1.2662323951998669,7.1600908600394835,0.17684585572324488,0.3431381865919475,-12.371820854205351,421.82288725216375,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.02,-0.607029531487254,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.025,-0.5898540647113575,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.03,-0.5788113285637178,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.035,-0.5642358585056175,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.04,-0.5440181610609243,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.045,-0.5135176949867014,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,543,245.6085358845912,-16.7436801605785,49.171270718232044,1.049462630592834,7.4326207405927684,0.14119684929721532,0.2822646898801833,-12.662512985431638,237.23669580430195
0.05,-0.4684624602983436,576,431.2244931436748,-16.886843101545658,53.645833333333336,1.27964059172052,7.175130829302962,0.1783438688664068,0.345941065441375,-12.371820854205351,422.781071592902,541,249.3746182570343,-17.06638926696089,48.98336414048059,1.0338340409500295,7.44694146574503,0.1388266640345614,0.2785119527679635,-12.662512985431638,240.84142362355388
0.055,-0.41638790092803607,581,428.9873986532421,-16.886843101545633,52.49569707401033,1.2203750514163152,7.170233838233433,0.17020017463154105,0.329587249143183,-12.31325567927633,420.5439771024693,541,249.3746182570343,-17.06638926696089,48.98336414048059,1.0338340409500295,7.44694146574503,0.1388266640345614,0.2785119527679635,-12.662512985431638,240.84142362355388
0.06,-0.3764994089914219,581,428.9873986532421,-16.886843101545633,52.49569707401033,1.2203750514163152,7.170233838233433,0.17020017463154105,0.329587249143183,-12.31325567927633,420.5439771024693,541,249.3746182570343,-17.06638926696089,48.98336414048059,1.0338340409500295,7.44694146574503,0.1388266640345614,0.2785119527679635,-12.662512985431638,240.84142362355388
0.065,-0.34275944640657985,581,428.9873986532421,-16.886843101545633,52.49569707401033,1.2203750514163152,7.170233838233433,0.17020017463154105,0.329587249143183,-12.31325567927633,420.5439771024693,541,251.06819946703305,-17.06638926696089,48.79852125693161,1.005934114169486,7.435654348027081,0.13528521729044501,0.27213274336326954,-12.662512985431638,242.53500483355262
