horizon,target,scenario,n_train,n_val,n_test,r2_test,top_decile_mean,bottom_decile_mean,decile_spread,top_decile_win_rate,n_decile,delta_top_decile_mean,delta_decile_spread,delta_top_decile_win_rate
1,return_1d_pct,baseline,8896,2965,2965,0.021573953545029778,2.877083783783784,0.007829138513513417,2.8692546452702703,0.581081081081081,296,0.0,0.0,0.0
1,return_1d_pct,plus_cluster_buy,8896,2965,2965,0.021573953545029778,2.877083783783784,0.007829138513513417,2.8692546452702703,0.581081081081081,296,0.0,0.0,0.0
1,return_1d_pct,plus_insider_bought_ticker,8896,2965,2965,0.019840812131052488,2.8400720439189184,0.03239797297297296,2.8076740709459456,0.5709459459459459,296,-0.0370117398648655,-0.06158057432432473,-0.010135135135135087
1,return_1d_pct,plus_days_since_last_buy_any,8896,2965,2965,0.021582250851193474,3.304408361486486,0.5807796452702702,2.723628716216216,0.5878378378378378,296,0.42732457770270216,-0.14562592905405447,0.006756756756756799
1,return_1d_pct,plus_days_since_last_buy_same_ticker,8896,2965,2965,0.024349794546922765,3.0950575168918917,0.007321368243243023,3.0877361486486485,0.5878378378378378,296,0.21797373310810775,0.21848150337837824,0.006756756756756799
1,return_1d_pct,plus_filing_hour_et,8896,2965,2965,0.02283768593249047,3.1569896959459456,0.08354586148648638,3.073443834459459,0.5777027027027027,296,0.27990591216216165,0.2041891891891887,-0.0033783783783782884
1,return_1d_pct,plus_is_after_close,8896,2965,2965,0.021582772302326858,2.877083783783784,0.0524767736486485,2.8246070101351353,0.581081081081081,296,0.0,-0.04464763513513503,0.0
1,return_1d_pct,plus_filing_weekday,8896,2965,2965,0.023531877492793285,2.70242027027027,0.07545160472972968,2.6269686655405406,0.5743243243243243,296,-0.17466351351351372,-0.24228597972972965,-0.006756756756756688
1,return_1d_pct,plus_momentum_slope,8896,2965,2965,0.014779586224473062,2.776919341216216,-0.30270244932432444,3.0796217905405405,0.543918918918919,296,-0.10016444256756785,0.21036714527027023,-0.03716216216216206
1,return_1d_pct,plus_vol_regime,8896,2965,2965,0.013877498204746597,2.196218074324324,-0.1421853885135136,2.338403462837838,0.5405405405405406,296,-0.6808657094594599,-0.5308511824324325,-0.04054054054054046
1,return_1d_pct,plus_qty_log,8896,2965,2965,0.018000334583684774,2.431815287162162,0.29619045608108097,2.135624831081081,0.5540540540540541,296,-0.44526849662162205,-0.7336298141891895,-0.027027027027026973
1,return_1d_pct,plus_value_per_share_delta,8896,2965,2965,0.012856868415970446,2.7747027027027023,-0.3469884290540541,3.1216911317567564,0.5574324324324325,296,-0.10238108108108168,0.2524364864864861,-0.023648648648648574
1,return_1d_pct,plus_ticker_buy_count_30d,8896,2965,2965,0.011650310699152677,2.347718243243243,-0.012984290540540592,2.3607025337837833,0.5506756756756757,296,-0.5293655405405411,-0.508552111486487,-0.030405405405405372
1,return_1d_pct,plus_ticker_buy_count_90d,8896,2965,2965,0.0232244121134485,2.963648057432432,-0.052641807432432575,3.0162898648648646,0.5608108108108109,296,0.08656427364864827,0.1470352195945943,-0.020270270270270174
1,return_1d_pct,plus_same_ticker_insider_count_365d,8896,2965,2965,0.019590724775030766,2.8702379222972967,-0.09930228040540542,2.969540202702702,0.5641891891891891,296,-0.006845861486487248,0.10028555743243173,-0.016891891891891886
1,return_1d_pct,plus_overnight_gap_to_entry,8896,2965,2965,0.019997021984778818,2.0972760979729728,-0.08448876689189194,2.181764864864865,0.5472972972972973,296,-0.7798076858108112,-0.6874897804054054,-0.03378378378378377
1,return_1d_pct,plus_open_to_buy_move,8896,2965,2965,0.016289472354377388,1.9822727195945944,0.14218581081081078,1.8400869087837837,0.5236486486486487,296,-0.8948110641891895,-1.0291677364864866,-0.057432432432432345
